method_id,seed,fold,condition,repeat,pearson,rmse,mae
M3_E0,1,2,random,11,0.3008657709509562,4.915096884320459,4.279725723613699
M3_E0,1,2,random,12,0.28352940332060816,4.942682110462239,4.29018817130731
M3_E0,1,2,random,13,0.2442051888663857,4.891691976978556,4.228296044417758
M3_E0,1,2,random,14,0.27012742270069035,5.2572499545930365,4.566525146709079
M3_E0,1,2,random,15,0.18643906827389628,4.842417723706146,4.009831129694414
M3_E0,1,2,random,16,0.2996293453925215,5.061233449953975,4.401348955955176
M3_E0,1,2,random,17,0.3333650397563256,4.843394992434978,4.143353563008305
M3_E0,1,2,random,18,0.31984823073547786,4.820461564819695,4.1684519090441485
M3_E0,1,2,random,19,0.28363730143820837,4.755171902690528,4.036019987122234
M3_E0,1,2,top,-1,0.2367600965673775,4.7737489936875965,3.968667176109497
M3_E0,1,2,bottom,-1,0.29989529292266426,4.818341197352127,4.058458225159892
M3_E0,1,2,prior_true_top,-1,0.3276760966906994,4.782748181363959,4.054615772202601
M3_E0,1,2,prior_random_top,-1,0.24994726116803667,4.891183366691319,4.2194565874600505
M3_E0,1,3,random,0,0.26844015704698937,5.074420983855965,4.4192894174121236
M3_E0,1,3,random,1,0.26873661628645257,7.54738469583622,6.419207465574123
M3_E0,1,3,random,2,0.35307775453270357,4.958491270122719,4.307475556138505
M3_E0,1,3,random,3,0.30346018673250436,4.884690551767524,4.0178467777478755
M3_E0,1,3,random,4,0.289113267058909,9.170400527240295,7.988663688251269
M3_E0,1,3,random,5,0.328074787562142,6.467519181124865,5.4969627692875545
M3_E0,1,3,random,6,0.33509669888304694,7.394875447364234,6.258359256633951
M3_E0,1,3,random,7,0.2959684849061089,13.048010669625286,12.13305937142297
M3_E0,1,3,random,8,0.3045397776064096,6.048640478789049,5.123350397379443
M3_E0,1,3,random,9,0.38224830667707366,11.18042108472914,10.149685622455134
M3_E0,1,3,random,10,0.35131712005120574,5.39052107162599,4.622012436367064
M3_E0,1,3,random,11,0.3094115176555232,9.813361039118076,8.660979635758432
M3_E0,1,3,random,12,0.3931115230858597,9.326647060037642,8.214335440451292
M3_E0,1,3,random,13,0.22688331529359929,4.904305867107537,4.2771612721021
M3_E0,1,3,random,14,0.3372072364169517,8.168766343966533,6.985646892655209
M3_E0,1,3,random,15,0.3050284666057435,4.790327995536096,4.115120412323561
M3_E0,1,3,random,16,0.2793842847401974,6.272122361199878,5.3607726043794415
M3_E0,1,3,random,17,0.3323441296426214,8.289415408166946,7.106718529830798
M3_E0,1,3,random,18,0.30195581887062717,4.962510880078049,4.318120495132185
M3_E0,1,3,random,19,0.3213563703919367,6.774839941901824,5.766039429755561
M3_E0,1,3,top,-1,0.3812207440940424,11.100512848336693,10.070433227456851
M3_E0,1,3,bottom,-1,0.2462055249139841,6.3315534206544735,5.434162158558126
M3_E0,1,3,prior_true_top,-1,0.23525866213033067,5.267121277144192,4.5691174972275626
M3_E0,1,3,prior_random_top,-1,0.29136588399648344,8.312646428013357,7.152574816643713
M3_E0,1,4,random,0,0.12453672216302752,4.742354653891043,4.08586315243441
M3_E0,1,4,random,1,0.1575453915661595,4.57814776671286,3.8373136683615274
M3_E0,1,4,random,2,0.10103013760247329,5.01752223418317,4.41045408706361
M3_E0,1,4,random,3,0.16993560025988158,4.562904311111891,3.8374301610293307
M3_E0,1,4,random,4,0.11541361273171494,4.926746744045749,4.327720034532137
M3_E0,1,4,random,5,0.16927723390532093,4.593272578142138,3.9368374845033873
M3_E0,1,4,random,6,0.20687697683378248,4.533494201806124,3.849162094083048
M3_E0,1,4,random,7,0.1541313900823096,5.114023968678444,4.485283789394613
M3_E0,1,4,random,8,0.16832059121434967,4.574336994399488,3.846559624031688
M3_E0,1,4,random,9,0.19786657539603858,4.708067854059435,4.072312556234922
M3_E0,1,4,random,10,0.18520308760893858,4.600915817075667,3.8244172058791546
