seed,outer_fold,model,pearson,rmse,mae,lf0_w_f0,lf0_w_s,lf1_w_fp,lf1_w_s,lf2_w_f0,lf2_w_s,lf2_w_fp
0,4,A3,0.3450773909776842,12.918952394128409,10.81435242866259,,,,,,,
0,4,LF0,0.32715097770078894,12.985317414797976,10.76909433395524,,,,,,,
0,4,LF1,0.3699804832083834,12.724088118456455,10.647441852583217,,,,,,,
0,4,LF2,0.3699804832083834,12.724088118456455,10.647441852583217,0.5,0.5,0.6,0.4,0.0,0.4,0.6
1,0,A4,0.509141728152724,9.648872104838691,8.2522526584182,,,,,,,
1,0,A3,0.4739722793874128,10.61366603509873,8.768685471069032,,,,,,,
1,0,LF0,0.5133941073542583,9.639946319253301,8.198466875427712,,,,,,,
1,0,LF1,0.501622402422987,9.688844868165281,8.107226113264632,,,,,,,
1,0,LF2,0.5133941073542583,9.639946319253301,8.198466875427712,0.6,0.4,0.55,0.45,0.6,0.4,-0.0
1,1,A4,0.0979364921355603,12.420899911423751,10.010215226408576,,,,,,,
1,1,A3,0.06972149125385793,12.050213326643208,9.811190466822708,,,,,,,
1,1,LF0,0.11033173989727155,12.486699723260385,10.038062595895731,,,,,,,
1,1,LF1,0.0594437434808327,12.022390340226375,9.794644299511342,,,,,,,
1,1,LF2,0.09216700127359724,12.099260003489896,9.85209892065547,0.6,0.4,0.8,0.2,0.25,0.25,0.5
1,2,A4,0.15998479994610393,11.873500868710915,10.011202504754728,,,,,,,
1,2,A3,0.23693673681147692,11.562909000664622,9.718897616348805,,,,,,,
1,2,LF0,0.15998479994610393,11.873500868710915,10.011202504754728,,,,,,,
1,2,LF1,0.20547852385907278,11.460614967109601,9.76063299870133,,,,,,,
1,2,LF2,0.20547852385907278,11.460614967109601,9.76063299870133,0.5,0.5,0.6,0.4,0.0,0.4,0.6
1,3,A4,0.2632385657583108,11.844944967138595,9.614217953448868,,,,,,,
1,3,A3,0.2886735371517098,11.950972113601367,9.568889008783213,,,,,,,
1,3,LF0,0.27330645406979,11.853579568205893,9.653505973105743,,,,,,,
1,3,LF1,0.29334577207199375,11.646034419549045,9.428980031726885,,,,,,,
1,3,LF2,0.29334577207199375,11.646034419549045,9.428980031726885,0.6,0.4,0.7,0.3,0.0,0.3,0.7
1,4,A4,0.28409661219047955,10.648422094055407,8.271327825245347,,,,,,,
1,4,A3,0.32093969275603756,10.292721817163079,8.01877882042898,,,,,,,
1,4,LF0,0.28564096850158316,10.67189710298615,8.272095431186203,,,,,,,
1,4,LF1,0.3348470098780701,10.223919342604448,8.029679922169938,,,,,,,
1,4,LF2,0.32889934628222794,10.256503839592536,8.021442596028102,0.55,0.45,0.8,0.2,0.15,0.25,0.6
2,0,A4,0.33729981548513344,11.846892763815655,9.636909653740995,,,,,,,
2,0,A3,0.38287556383401244,11.63840685674353,9.43483877740756,,,,,,,
2,0,LF0,0.34178684171813045,11.858179704805428,9.614756991399718,,,,,,,
2,0,LF1,0.3778203927898254,11.494277070117542,9.52711443889816,,,,,,,
2,0,LF2,0.34178684171813045,11.858179704805428,9.614756991399718,0.55,0.45,0.6,0.4,0.55,0.45,-0.0
2,1,A4,0.3785460393910671,10.416475580420656,8.500115549309525,,,,,,,
2,1,A3,0.4016744105212515,10.145378059338258,8.181949096859029,,,,,,,
2,1,LF0,0.3729702966518845,10.411350060683388,8.520747149125233,,,,,,,
2,1,LF1,0.38659022929058323,10.2165122362736,8.46554202820701,,,,,,,
2,1,LF2,0.3984212555257963,10.149904784353364,8.387683052842425,0.45,0.55,0.65,0.35,0.25,0.4,0.35
2,2,A4,0.2714956718480903,11.510851495725902,9.0531672989888,,,,,,,
2,2,A3,0.22420238761265737,11.374099799865766,8.802424600068754,,,,,,,
2,2,LF0,0.2747527387595511,11.66070861759317,9.1419419801695,,,,,,,
2,2,LF1,0.24625249676290845,11.24074822548814,8.773054881207262,,,,,,,
2,2,LF2,0.2748145948318588,11.432070719252287,8.912542492922642,0.6,0.4,0.8,0.2,0.45,0.3,0.25
2,3,A4,0.3217508318711204,10.999045187330855,9.235804026336208,,,,,,,
2,3,A3,0.35360963493219244,10.74861172193549,9.27094629663143,,,,,,,
2,3,LF0,0.27429204345693114,12.110199729884691,9.853876113749525,,,,,,,
2,3,LF1,0.3520643347518803,10.754400836870401,9.275357625539467,,,,,,,
2,3,LF2,0.31067144571818456,11.059677532058094,9.28609245083882,1.0,0.0,1.0,0.0,0.5,0.0,0.5
2,4,A4,0.19375360506499184,11.178589644003177,8.911311901004439,,,,,,,
2,4,A3,0.20611320176030828,10.690178062979413,8.65735287995941,,,,,,,
2,4,LF0,0.20319696761808456,11.181580623750795,8.94542819906076,,,,,,,
2,4,LF1,0.17949547759481613,10.753710195617366,8.558731156636362,,,,,,,
2,4,LF2,0.19593454123724413,10.768528496061432,8.580275844650782,0.55,0.45,0.75,0.25,0.15,0.3,0.55
