method,target,N,seed,fold,n_train,n_val,n_test,runtime_seconds,pearson,rmse,mae
no_prior_ridge,working_memory,50,1,2,34,6,10,0.0909807682037353,0.4248567724251771,12.19553311062895,10.937074599948762
ncr_contrastive,working_memory,50,1,3,34,6,10,11.302531719207764,-0.4041259750134829,11.579020221106036,9.32936235721024
no_prior_ridge,working_memory,50,1,3,34,6,10,0.3133320808410644,-0.4041259750134829,11.579020221106036,9.32936235721024
ncr_contrastive,working_memory,50,1,4,34,6,10,14.180301666259766,0.6065934376578923,13.10335128549017,11.248746834890309
no_prior_ridge,working_memory,50,1,4,34,6,10,0.1664731502532959,0.5317128533062799,14.542177523864506,10.87925713098823
ncr_contrastive,working_memory,50,2,0,34,6,10,12.075703382492064,-0.6613831752882878,16.15952991258401,13.184294184600205
no_prior_ridge,working_memory,50,2,0,34,6,10,0.1303050518035888,-0.6610992949927039,16.159523168987295,13.184288685080958
ncr_contrastive,working_memory,50,2,1,34,6,10,12.571753740310667,0.056732955562305,13.094633874427473,11.95766275455176
no_prior_ridge,working_memory,50,2,1,34,6,10,0.1148138046264648,0.0564406096439009,13.094632993565126,11.957659845240736
ncr_contrastive,working_memory,50,2,2,34,6,10,11.211938619613647,0.1487767097558587,8.336729840681746,6.000598346322792
no_prior_ridge,working_memory,50,2,2,34,6,10,0.2286586761474609,0.1493996630411,8.336721304236713,6.000594181417808
ncr_contrastive,working_memory,50,2,3,34,6,10,12.613345623016356,-0.0660548412186454,7.594638138387549,6.484720415151142
no_prior_ridge,working_memory,50,2,3,34,6,10,0.1002833843231201,-0.0660548412186467,7.594638138387554,6.484720415151143
ncr_contrastive,working_memory,50,2,4,34,6,10,10.20500349998474,-0.22000503374165,14.817502382405443,12.28100851662742
no_prior_ridge,working_memory,50,2,4,34,6,10,0.1573338508605957,-0.3186667797966271,14.628963869162476,12.40772515370585
ncr_contrastive,fluid_intelligence,100,0,0,68,12,20,11.764337301254272,0.1519889566270822,4.737026491957438,3.711441201532736
no_prior_ridge,fluid_intelligence,100,0,0,68,12,20,0.4509990215301513,0.109974915203265,4.590504280328123,3.7119603255749833
ncr_contrastive,fluid_intelligence,100,0,1,68,12,20,13.530143022537231,0.2440235806501579,4.536408689465831,3.905668759416808
no_prior_ridge,fluid_intelligence,100,0,1,68,12,20,0.1474268436431884,0.2631476475024919,4.49313180421495,3.8607364148530072
ncr_contrastive,fluid_intelligence,100,0,2,68,12,20,11.879953861236572,0.3652381643400362,4.1141679390000805,3.532960302530667
no_prior_ridge,fluid_intelligence,100,0,2,68,12,20,0.2173774242401123,0.3652381643400342,4.114167939000084,3.5329603025306704
ncr_contrastive,fluid_intelligence,100,0,3,68,12,20,12.444093227386476,-0.0601760784365133,5.597569432783825,4.642039540615997
