model_id,prior_type,evaluation_type,seed,pearson,rmse,mae,n_folds
A4_iso_same_solver,uniform,retuned_base,6,0.22239290971693534,11.317676190310543,9.16504636958403,5
A4_iso_same_solver,uniform,retuned_base,7,0.22152464205506836,11.495769773961289,9.37371526178205,5
A4_iso_same_solver,uniform,retuned_base,8,0.26862118532018714,11.077315776159793,9.049589199438396,5
A4_iso_same_solver,uniform,retuned_base,9,0.2562676041840918,11.16081815726545,9.029903507516652,5
A4_modality_ridge,none,retuned_base,0,0.2191157623449405,12.200818061687103,9.962261412385443,5
A4_modality_ridge,none,retuned_base,1,0.27842852892463804,11.172737319226467,9.089790550136295,5
A4_modality_ridge,none,retuned_base,2,0.30685865452523775,11.44618959500506,9.249354137751402,5
A4_modality_ridge,none,retuned_base,3,0.23291536414147607,11.435457488272322,9.385972900571781,5
A4_modality_ridge,none,retuned_base,4,0.23965643264885386,11.729119517280738,9.58835943671105,5
A4_modality_ridge,none,retuned_base,5,0.256848037589243,11.558752478387174,9.253161602370328,5
A4_modality_ridge,none,retuned_base,6,0.20976237195009445,11.814346515413057,9.647586109296896,5
A4_modality_ridge,none,retuned_base,7,0.1979700036342793,11.900982114238214,9.622065987931158,5
A4_modality_ridge,none,retuned_base,8,0.28438248612944617,11.373129463320817,9.316702810783559,5
A4_modality_ridge,none,retuned_base,9,0.2844447831058703,11.513266057601266,9.160003505134672,5
