model_id,prior_type,evaluation_type,seed,pearson,rmse,mae,n_folds,n_fold_pairs,wm_alignment,rank_stability,top10_jaccard
A3_msancr,unrelated,fixed_prior_swap,3,0.22152327494447888,11.536662411870878,9.4648941271083,5,10,0.5049581592964814,0.6699150424787605,0.2569974143503555
A3_msancr,unrelated,fixed_prior_swap,4,0.21055445792441135,11.87594138171268,9.766926511000818,5,10,0.3452321727612752,0.6706062353438665,0.210233918128655
A3_msancr,unrelated,fixed_prior_swap,5,0.24119268765938,11.599525616829498,9.362367722726258,5,10,0.4461171693192359,0.7521354707261754,0.3295518207282913
A3_msancr,unrelated,fixed_prior_swap,6,0.20565731979736562,11.878576653478394,9.709532713886373,5,10,0.3327636901245875,0.8300319071233615,0.351255117431588
A3_msancr,unrelated,fixed_prior_swap,7,0.21968795922814052,11.953616010540467,9.624727458505514,5,10,0.3953338381507053,0.675272363818091,0.2198400412796697
A3_msancr,unrelated,fixed_prior_swap,8,0.28653770622983876,11.330329362035638,9.317404119832116,5,10,0.3782598799455113,0.634447391688771,0.2102531025905639
A3_msancr,unrelated,fixed_prior_swap,9,0.2739385546474458,11.490085065065424,9.148730339186233,5,10,0.3207529852966638,0.636776996117326,0.2683583959899749
A2_fc_laplacian,matched,retuned_base,0,0.233936567818891,11.954887496903305,9.781726050098055,5,10,-0.1106468198144269,0.6971806404490063,0.2589169000933706
A2_fc_laplacian,matched,retuned_base,1,0.2780341806210783,11.143358997612168,9.076771819120323,5,10,0.0216448119226172,0.643567447045708,0.2165376676986584
A2_fc_laplacian,matched,retuned_base,2,0.3062435409688028,11.39918981487995,9.222108306142943,5,10,-0.1368971073055504,0.7670618536885403,0.3200280112044817
A2_fc_laplacian,matched,retuned_base,3,0.23566931026704122,11.396580735675874,9.348042975417709,5,10,0.0730205614319012,0.4333733133433283,0.1937908496732026
A2_fc_laplacian,matched,retuned_base,4,0.24866473966921507,11.605802107476979,9.51723092001211,5,10,-0.0385741277277311,0.6505124360896476,0.3155408317173023
A2_fc_laplacian,matched,retuned_base,5,0.24577453958944373,11.703102227355581,9.362610525932194,5,10,-0.1117108647043775,0.747884519278822,0.3178571428571429
A2_fc_laplacian,matched,retuned_base,6,0.2110854026377127,11.78809380030826,9.602523522631715,5,10,-0.0699430635578576,0.5750693883827317,0.2273342670401494
A2_fc_laplacian,matched,retuned_base,7,0.20380784249354122,11.830900895028279,9.55779046303075,5,10,0.0064165830673809,0.4885203552070119,0.2446958270487682
A2_fc_laplacian,matched,retuned_base,8,0.2610003319448427,11.388835157448709,9.392357456601138,5,10,0.0111536216700025,0.4964302464152538,0.2019607843137255
A2_fc_laplacian,matched,retuned_base,9,0.27054049131272934,11.473559185231478,9.107835033794743,5,10,-0.0666209046028275,0.6864667666166917,0.2394257703081232
A3_msancr,matched,retuned_base,0,0.2380143703087711,11.92106137385396,9.73560916424898,5,10,0.4644967559974929,0.6848275862068967,0.2837537849147756
A3_msancr,matched,retuned_base,1,0.29133434517324597,11.1093215156728,8.993407567179975,5,10,0.5841598752083992,0.7538369276900012,0.4086080586080586
A3_msancr,matched,retuned_base,2,0.3094109040164902,11.508546475990645,9.27704868273052,5,10,0.3583184630961772,0.7909083919578672,0.38507326007326
A3_msancr,matched,retuned_base,3,0.24277982784420277,11.425869587686618,9.361562110580037,5,10,0.6278249537942668,0.684327067235613,0.2950749800595001
A3_msancr,matched,retuned_base,4,0.23521533692523536,11.74586437947747,9.626809835250475,5,10,0.4942946291629201,0.6970337907969093,0.2971868774500353
A3_msancr,matched,retuned_base,5,0.2565861150813853,11.517901433736295,9.205699103285948,5,10,0.5992457697869609,0.7271448890939147,0.4424908424908424
A3_msancr,matched,retuned_base,6,0.23224662670605314,11.74488235484304,9.546272425849432,5,10,0.4999572252511603,0.8102433398685273,0.4272893772893772
A3_msancr,matched,retuned_base,7,0.23461798073787268,11.876820197973055,9.5536962387223,5,10,0.5512529598157193,0.6617491254372814,0.2591903968064959
A3_msancr,matched,retuned_base,8,0.30978424741803795,11.20214093577653,9.159924580585514,5,10,0.5177374692184473,0.6411432745165879,0.2996444731738849
A3_msancr,matched,retuned_base,9,0.2819991504916917,11.450916499870042,9.081607581089337,5,10,0.4396136469369132,0.6701218621458501,0.2698179271708684
A4_modality_ridge,none,retuned_base,0,0.2191157623449405,12.200818061687103,9.962261412385443,5,10,0.1011388901325692,0.6295413831545765,0.2580999066293183
A4_modality_ridge,none,retuned_base,1,0.27842852892463804,11.172737319226467,9.089790550136295,5,10,0.1566507967845679,0.6931572675200861,0.2725957049486461
A4_modality_ridge,none,retuned_base,2,0.30685865452523775,11.44618959500506,9.249354137751402,5,10,0.0770913217447924,0.726801983623573,0.2664332399626516
A4_modality_ridge,none,retuned_base,3,0.23291536414147607,11.435457488272322,9.385972900571781,5,10,0.1845290806510604,0.4529712067043401,0.1928104575163398
A4_modality_ridge,none,retuned_base,4,0.23965643264885386,11.729119517280738,9.58835943671105,5,10,0.1351852491131137,0.6425856302617923,0.2743930905695611
A4_modality_ridge,none,retuned_base,5,0.256848037589243,11.558752478387174,9.253161602370328,5,10,0.1313206811577834,0.6636443316803138,0.3069974143503555
A4_modality_ridge,none,retuned_base,6,0.20976237195009445,11.814346515413057,9.647586109296896,5,10,0.0961225685978781,0.5649613654711106,0.2420401493930905
A4_modality_ridge,none,retuned_base,7,0.1979700036342793,11.900982114238214,9.622065987931158,5,10,0.1458757073530727,0.5182424172529121,0.2624649859943977
A4_modality_ridge,none,retuned_base,8,0.28438248612944617,11.373129463320817,9.316702810783559,5,10,0.1098828309671956,0.6187967554684197,0.3383699633699634
A4_modality_ridge,none,retuned_base,9,0.2844447831058703,11.513266057601266,9.160003505134672,5,10,0.0913886074931305,0.7380694268250491,0.3669413919413918
