seed,outer_fold,inner_fold,stage,model_id,prior_type,candidate_id,cache_key,lambda_fc,lambda_sc,lambda_l,gamma,lifting,n_inner_train,n_inner_val,inner_train_indices_hash,inner_val_indices_hash,scaler_fc_mean_hash,scaler_sc_mean_hash,pearson,rmse,mae
0,0,2,C,A2_fc_laplacian,matched,c42a24a0046a62f4,matched|g=0|lift=prod,0.1,10.0,0.1,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2747197714391776,10.742351731970746,8.785050919881893
0,0,0,C,A2_fc_laplacian,matched,fb3fdd65bec483ed,matched|g=0|lift=prod,0.1,1.0,0.1,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.3018776132848184,12.342988511477186,10.06623469506792
0,0,1,C,A2_fc_laplacian,matched,fb3fdd65bec483ed,matched|g=0|lift=prod,0.1,1.0,0.1,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2249378956103878,12.283027121485008,9.843009657648455
0,0,2,C,A2_fc_laplacian,matched,fb3fdd65bec483ed,matched|g=0|lift=prod,0.1,1.0,0.1,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2896247166412272,10.64557707238343,8.787841015628937
0,0,0,B,A3_msancr,matched,045193054e93eecd,matched|g=0.5|lift=prod,0.01,1.0,1.0,0.5,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2488972710135971,13.431345858001094,11.052602591577172
0,0,1,B,A3_msancr,matched,045193054e93eecd,matched|g=0.5|lift=prod,0.01,1.0,1.0,0.5,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2465361081322302,12.939736608778713,10.35377054949021
0,0,2,B,A3_msancr,matched,045193054e93eecd,matched|g=0.5|lift=prod,0.01,1.0,1.0,0.5,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.3226009255911898,11.392072412022609,9.215931761372362
0,0,0,B,A3_msancr,matched,0828e4b67fc21f56,matched|g=2|lift=mean,0.01,1.0,1.0,2.0,mean,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2356852592650219,14.188951499153044,11.494265691305106
0,0,1,B,A3_msancr,matched,0828e4b67fc21f56,matched|g=2|lift=mean,0.01,1.0,1.0,2.0,mean,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2111031334473184,13.628634740409696,10.927006663750314
0,0,2,B,A3_msancr,matched,0828e4b67fc21f56,matched|g=2|lift=mean,0.01,1.0,1.0,2.0,mean,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2862328842741892,12.111486468328785,9.686734396192389
