model,prior,target,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,parameters,pearson,rmse,mae,runtime_seconds,I_XZ_final,I_ZY_final,probe_r2_final,bypass_alpha,selected_alpha,best_alpha1,best_alpha2,best_val_rmse
llm_gated,random_control,fluid_intelligence,0,0,seed00_fold00,279,50,83,16.0,0.2,0.001,11.0,61505.0,0.3301698460648171,4.263278442179612,3.359303428466061,84.19474744796753,2.3697681427001958,0.4267028272151947,,1.0,1.0,,,
llm_gated,random_control,fluid_intelligence,0,1,seed00_fold01,279,50,83,16.0,0.2,0.001,10.0,61505.0,0.1727019251890184,5.076019670044103,4.234296476984599,71.95302844047546,2.273805618286133,0.473398357629776,,0.25,0.25,,,
llm_gated,random_control,fluid_intelligence,0,2,seed00_fold02,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.1752504033729734,5.139855499000853,4.560466975700565,82.50110173225403,2.231196403503418,0.4160382747650146,,1.0,1.0,,,
llm_gated,random_control,fluid_intelligence,0,3,seed00_fold03,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.2293478228797419,4.61562696075412,3.943305352839028,89.51003241539001,2.7847325801849365,0.470960795879364,,1.0,1.0,,,
llm_gated,random_control,fluid_intelligence,0,4,seed00_fold04,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.2882456363412322,4.92190618805922,4.114701759524461,73.69647264480591,2.1723618507385254,0.4697085618972778,,0.25,0.25,,,
llm_gated,no_prior,fluid_intelligence,0,0,seed00_fold00,279,50,83,16.0,0.2,0.001,11.0,61505.0,0.3284990805490052,4.266206435649231,3.3620122656764755,73.86273241043091,2.1715340614318848,0.4174021184444427,,1.0,1.0,,,
llm_gated,no_prior,fluid_intelligence,0,1,seed00_fold01,279,50,83,16.0,0.2,0.001,10.0,61505.0,0.1712394411667442,5.078360704722519,4.237621215452631,81.32940936088562,2.0945746898651123,0.440492033958435,,0.25,0.25,,,
llm_gated,no_prior,fluid_intelligence,0,2,seed00_fold02,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.1742089953529932,5.140688997118446,4.56302973119224,83.79300546646118,2.21558141708374,0.4140668511390686,,1.0,1.0,,,
llm_gated,no_prior,fluid_intelligence,0,3,seed00_fold03,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.2261558598122707,4.616298017730396,3.944718930779434,85.91861891746521,2.830140829086304,0.4547899961471557,,1.0,1.0,,,
llm_gated,no_prior,fluid_intelligence,0,4,seed00_fold04,280,50,82,16.0,0.2,0.001,10.0,61505.0,0.2873978204168744,4.923265771535379,4.116893535707055,83.41641902923584,1.9071452617645264,0.457482099533081,,0.25,0.25,,,
ncr,llm_wm,fluid_intelligence,0,0,seed00_fold00,279,50,83,,,,,,0.4962832114030745,3.843738707108964,3.002361822389205,11.232609748840332,0.2479472160339355,1.9421405792236328,,0.0,,0.1,0.0,4.111604269600375
ncr,llm_wm,fluid_intelligence,0,1,seed00_fold01,279,50,83,,,,,,0.3286328727925058,4.795932997629167,4.114937418996483,9.963767766952516,0.2961206138134002,0.9276964664459229,,0.0,,1.0,0.0,4.585671672609958
ncr,llm_wm,fluid_intelligence,0,2,seed00_fold02,280,50,82,,,,,,0.3166020072821794,5.00491669877754,4.207126024377002,12.61509084701538,0.2284646034240722,1.779411792755127,,0.0,,0.1,0.0,4.671799948076553
ncr,llm_wm,fluid_intelligence,0,3,seed00_fold03,280,50,82,,,,,,0.1680819883211552,4.910270413330271,4.199452165433157,9.664456367492676,0.1942033767700195,2.39054274559021,,0.0,,0.01,0.0,4.5099650040488966
ncr,llm_wm,fluid_intelligence,0,4,seed00_fold04,280,50,82,,,,,,0.2884136055809193,4.968241642118769,4.002391678079598,8.463751792907715,0.2016332745552063,1.39461350440979,,100.0,,0.1,10.0,4.792076333311165
ncr,llm_fluid,fluid_intelligence,0,0,seed00_fold00,279,50,83,,,,,,0.4962832114030741,3.843738707108965,3.002361822389205,9.671252012252808,0.2479472160339355,1.9421405792236328,,0.0,,0.1,0.0,4.11160426960037
ncr,llm_fluid,fluid_intelligence,0,1,seed00_fold01,279,50,83,,,,,,0.3286328727925056,4.795932997629168,4.114937418996482,8.778871059417725,0.2961206138134002,0.9276964664459229,,0.0,,1.0,0.0,4.585671672609961
ncr,llm_fluid,fluid_intelligence,0,2,seed00_fold02,280,50,82,,,,,,0.3166020072821797,5.00491669877754,4.207126024377002,17.766182899475098,0.2284646034240722,1.779411792755127,,0.0,,0.1,0.0,4.671799948076537
ncr,llm_fluid,fluid_intelligence,0,3,seed00_fold03,280,50,82,,,,,,0.1680819883211552,4.910270413330272,4.199452165433157,10.96284818649292,0.1942033767700195,2.39054274559021,,0.0,,0.01,0.0,4.50996500404881
ncr,llm_fluid,fluid_intelligence,0,4,seed00_fold04,280,50,82,,,,,,0.3851598328572968,4.744372015097964,3.770329049831639,11.13272786140442,0.2046429812908172,1.41176176071167,,100.0,,0.1,10.0,4.7970068150043055
ncr,random_control,fluid_intelligence,0,0,seed00_fold00,279,50,83,,,,,,0.4962832114030742,3.843738707108965,3.002361822389207,10.3636212348938,0.2479472160339355,1.9421405792236328,,0.0,,0.1,0.0,4.111604269600367
ncr,random_control,fluid_intelligence,0,1,seed00_fold01,279,50,83,,,,,,0.3286328727925063,4.795932997629167,4.114937418996481,13.651468992233276,0.2961206138134002,0.9276964664459229,,0.0,,1.0,0.0,4.585671672609963
ncr,random_control,fluid_intelligence,0,2,seed00_fold02,280,50,82,,,,,,0.3166020072821796,5.00491669877754,4.207126024377002,10.402369260787964,0.2284646034240722,1.779411792755127,,0.0,,0.1,0.0,4.67179994807654
