experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,alignment_node_pearson,alignment_node_spearman,alignment_node_topk_jaccard,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard
E10,node_unrelated_visual,node,unrelated_visual,2,0,seed02_fold00,279,50,83,31,4.605204105377197,67.12152242660522,16.82078853046595,4.928535674452275,False,0.2545640766620636,4.792819023132324,3.853466033935547,0.9021426439285278,0.7593125470958593,0.5384615384615384,0.07627783715724945,0.12078644373013198,0.0,0.14980857074260712,0.04761904761904763,0.2,0.08651545643806458,0.12078644373013198,0.0
E10,node_unrelated_visual,node,unrelated_visual,2,1,seed02_fold01,279,50,83,26,4.509399890899658,61.353519916534424,16.85663082437276,4.911498188445885,False,0.14517579972743988,5.153791427612305,4.329896926879883,0.7936962842941284,0.7198794138909836,0.42857142857142855,0.2943119704723358,0.35227631498717343,0.0,0.3049498200416565,0.28571428571428575,0.2,0.2989836037158966,0.35227631498717343,0.0
E10,node_unrelated_visual,node,unrelated_visual,2,2,seed02_fold02,280,50,82,16,4.571000576019287,45.238850831985474,16.985714285714284,4.787611564214031,False,0.08728331327438354,5.536403656005859,4.594985008239746,0.8992067575454712,0.7593075530313703,0.6666666666666666,0.15178321301937103,0.22044300060744873,0.0,0.2097516804933548,0.2142857142857143,0.2,0.16036449372768402,0.22044300060744873,0.0
E10,node_unrelated_visual,node,unrelated_visual,2,3,seed02_fold03,280,50,82,23,4.573801517486572,54.256473541259766,16.760714285714286,4.9774376142832395,False,0.14271940290927887,4.71890926361084,3.8589515686035156,0.883620023727417,0.7521360764252152,0.6666666666666666,0.15159805119037628,0.22461304445573532,0.05263157894736842,0.19245925545692444,0.04761904761904763,0.2,0.1649351418018341,0.22461304445573532,0.05263157894736842
E10,node_unrelated_visual,node,unrelated_visual,2,4,seed02_fold04,280,50,82,3,4.941257476806641,38.14300346374512,16.892857142857142,4.926164008306533,False,0.027666227892041206,4.766170978546143,3.9727299213409424,0.6489025354385376,0.6222154887447644,0.25,-0.04612243175506592,-0.04346833731196016,0.0,0.07093589752912521,-0.023809523809523815,0.2,-0.04666391760110855,-0.04346833731196016,0.0
E10,node_unrelated_visual,node,unrelated_visual,3,0,seed03_fold00,279,50,83,10,5.082497596740723,38.226223945617676,16.863799283154123,4.829280604484002,False,0.3006677031517029,4.893259525299072,4.1152520179748535,0.8914938569068909,0.7540388149955112,0.42857142857142855,0.15492315590381622,0.26082500606522785,0.0,0.21080246567726135,0.2142857142857143,0.2,0.1596335470676422,0.26082500606522785,0.0
E10,node_unrelated_visual,node,unrelated_visual,3,1,seed03_fold01,279,50,83,30,4.566273212432861,84.3665976524353,16.878136200716845,4.925923173060801,False,0.05279136449098587,5.264265537261963,4.267154216766357,0.9038411974906921,0.7565358472399942,0.6666666666666666,0.12192288041114807,0.28075631744069124,0.0,0.1705254316329956,0.2142857142857143,0.2,0.12984149158000946,0.28075631744069124,0.0
E10,node_unrelated_visual,node,unrelated_visual,3,2,seed03_fold02,280,50,82,7,4.70029354095459,53.74582767486572,16.92142857142857,4.903450471924056,False,0.17583270370960236,4.870974063873291,4.152599811553955,0.8342306613922119,0.7387469895302973,0.42857142857142855,0.17833994328975677,0.21413050309339568,0.0,0.17196333408355713,0.28571428571428575,0.2,0.1806354522705078,0.21413050309339568,0.0
E10,node_unrelated_visual,node,unrelated_visual,3,3,seed03_fold03,280,50,82,9,5.138449192047119,41.02429676055908,16.939285714285713,4.768935137631752,False,0.2840173542499542,5.066503047943115,4.301297187805176,0.8340837359428406,0.7402252326190313,0.5384615384615384,0.05446779727935791,0.09027770376703859,0.05263157894736842,0.13851353526115417,0.11904761904761905,0.2,0.0702645480632782,0.09027770376703859,0.05263157894736842
E10,node_unrelated_visual,node,unrelated_visual,3,4,seed03_fold04,280,50,82,28,4.687584400177002,63.61065888404846,16.742857142857144,5.023333310762925,False,0.16387484967708588,4.611587047576904,3.9120945930480957,0.8900294899940491,0.7497439195350004,0.6666666666666666,0.06618005782365799,0.1499018397008038,0.0,0.12162938714027405,0.04761904761904763,0.2,0.07555064558982849,0.1499018397008038,0.0
E10,node_unrelated_visual,node,unrelated_visual,4,0,seed04_fold00,279,50,83,37,4.472312927246094,71.19558930397034,16.767025089605735,4.9404542587220295,False,0.09295249730348587,5.171597480773926,4.389553070068359,0.9142525792121887,0.7625337186912424,0.5384615384615384,0.060530565679073334,0.09389340645705,0.0,0.16508585214614868,0.14285714285714288,0.2,0.07226017117500305,0.09389340645705,0.0
E10,node_unrelated_visual,node,unrelated_visual,4,1,seed04_fold01,279,50,83,39,4.467743396759033,92.9093599319458,16.835125448028673,4.921759079786406,False,0.26728183031082153,4.700710296630859,3.764935255050659,0.8983289003372192,0.761405060116736,0.6666666666666666,0.14860957860946655,0.2695296604694956,0.0,0.1861095428466797,0.2380952380952381,0.2,0.15796925127506256,0.2695296604694956,0.0
E10,node_unrelated_visual,node,unrelated_visual,4,2,seed04_fold02,280,50,82,20,4.389875888824463,63.97836256027222,16.78214285714286,4.843888164586422,False,0.11636501550674438,5.293352127075195,4.4799370765686035,0.8804370760917664,0.7571650993656039,0.6666666666666666,0.21569526195526123,0.3336784188302641,0.0,0.2660609483718872,0.2380952380952381,0.2,0.2251647710800171,0.3336784188302641,0.0
E10,node_unrelated_visual,node,unrelated_visual,4,3,seed04_fold03,280,50,82,9,4.874904155731201,57.57126760482788,16.989285714285714,4.849509495499392,False,0.1834842562675476,4.988483905792236,4.09782600402832,0.8462769985198975,0.7401852801031196,0.5384615384615384,0.0873769074678421,0.11975766644540496,0.0,0.07682357728481293,0.0,0.2,0.09082484990358353,0.11975766644540496,0.0
