method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,best_val_rmse,parameters,runtime_seconds,device,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,1,0,seed01_fold00,279,50,83,32,0.5,0.003,10,4.951573371887207,35203,18.50379729270935,cuda,False,0.2786540383069312,4.993438409175414,4.2964210050651825,0.8324685794798559,0.7274803800431899,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,1,0,seed01_fold00,279,50,83,32,0.5,0.003,10,4.887718677520752,35203,18.613255262374878,cuda,False,0.3104478491388546,4.921136609319831,4.25436215228345,0.7676083886865254,0.7268461338530913,0.17647058823529413
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,1,0,seed01_fold00,279,50,83,32,0.5,0.003,10,4.921417236328125,35203,18.593000411987305,cuda,False,0.30923740975643366,4.915396250695432,4.230847990656474,0.6706339052195128,0.8086033906123862,0.17647058823529413
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,1,1,seed01_fold01,279,50,83,32,0.2,0.001,17,4.2405266761779785,35203,19.104601860046387,cuda,False,0.0679631840269964,5.016845498524876,4.240561646151256,0.8353628835080835,0.7289686112609017,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,1,1,seed01_fold01,279,50,83,32,0.2,0.001,19,4.21837043762207,35203,19.961666107177734,cuda,False,0.08842095535019012,4.999751824192318,4.184822898313223,0.7747350436729036,0.7270958370775396,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,1,1,seed01_fold01,279,50,83,32,0.2,0.001,19,4.221137523651123,35203,19.682175159454346,cuda,False,0.10189625240244571,4.999397838558168,4.210629945777985,0.6822471593483989,0.811117518163995,0.17647058823529413
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,1,2,seed01_fold02,280,50,82,16,0.5,0.003,13,4.547924995422363,16323,18.451756954193115,cuda,False,0.4250454418953792,4.440068626610817,3.681483326888666,0.7947034412807482,0.7150901060460652,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,1,2,seed01_fold02,280,50,82,16,0.5,0.003,13,4.592046737670898,16323,18.61608052253723,cuda,False,0.33585684733904536,4.613322800418889,3.8443051314935452,0.7248460091560862,0.7188756069287014,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,1,2,seed01_fold02,280,50,82,16,0.5,0.003,13,4.585015773773193,16323,19.328500509262085,cuda,False,0.3435368614508312,4.595010976119622,3.838418541885004,0.5984919581512606,0.770599315726752,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,1,3,seed01_fold03,280,50,82,32,0.5,0.003,10,4.5218353271484375,35203,21.206850290298462,cuda,False,0.3249894464351549,4.8188864292578275,4.097530411510933,0.7925962296003513,0.7093669081417102,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,1,3,seed01_fold03,280,50,82,16,0.2,0.001,32,4.475884914398193,16323,20.859477043151855,cuda,False,0.2852079494829224,4.892006209753666,4.113729593230457,0.7238895595046301,0.7198594376330277,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,1,3,seed01_fold03,280,50,82,16,0.2,0.001,32,4.456934928894043,16323,20.65000891685486,cuda,False,0.2806727592579891,4.891438857660678,4.114023057425895,0.6085008303720156,0.7712835889747434,0.1111111111111111
