model,prior,target,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,parameters,pearson,rmse,mae,runtime_seconds,I_XZ_final,I_ZY_final,probe_r2_final,bypass_alpha,best_alpha1,best_alpha2,best_val_rmse
llm_gated,llm_fluid,fluid_intelligence,2,2,seed02_fold02,280,50,82,16.0,0.5,0.003,16.0,61507.0,0.2015469626868054,5.084369128114249,3.966131884877275,116.05066514015198,2.1140289306640625,0.3497064709663391,,0.5048286318778992,,,
llm_gated,llm_fluid,fluid_intelligence,2,3,seed02_fold03,280,50,82,16.0,0.5,0.001,13.0,61507.0,0.29935315002842505,4.9530530517215245,4.094556145551728,91.69191145896912,2.1661429405212402,0.41896483302116394,,0.49997657537460327,,,
llm_gated,llm_fluid,fluid_intelligence,2,4,seed02_fold04,280,50,82,32.0,0.2,0.003,12.0,213123.0,0.2992031268680381,4.768078589627525,3.9797258028169957,95.94714212417603,2.2988853454589844,0.2917053997516632,,0.499723881483078,,,
llm_gated,llm_fluid,fluid_intelligence,3,0,seed03_fold00,279,50,83,32.0,0.5,0.001,10.0,213123.0,0.23236599883538536,5.078420649183024,4.218521727136819,96.97797131538391,2.488877058029175,0.31600964069366455,,0.4999168664216995,,,
llm_gated,llm_fluid,fluid_intelligence,3,1,seed03_fold01,279,50,83,16.0,0.2,0.001,13.0,61507.0,0.32238824243801123,4.580148570057624,3.683866167642984,82.27988171577454,2.03562068939209,0.4867694675922394,,0.49859586358070374,,,
llm_gated,llm_fluid,fluid_intelligence,3,2,seed03_fold02,280,50,82,16.0,0.2,0.001,12.0,61507.0,0.19973914064461,4.773351595554806,3.9387041766469073,89.94053936004639,2.0159311294555664,0.3831835389137268,,0.5018749237060547,,,
llm_gated,llm_fluid,fluid_intelligence,3,3,seed03_fold03,280,50,82,32.0,0.2,0.003,11.0,213123.0,0.17623793739663707,5.490426254500183,4.367983550560184,86.8403251171112,1.4989128112792969,0.26180317997932434,,0.5012831687927246,,,
llm_gated,llm_fluid,fluid_intelligence,3,4,seed03_fold04,280,50,82,16.0,0.5,0.003,16.0,61507.0,0.09141396552048575,5.879746747421705,4.782546217848615,124.99866199493408,1.8928272724151611,0.5330440998077393,,0.4956342875957489,,,
llm_gated,llm_fluid,fluid_intelligence,4,0,seed04_fold00,279,50,83,16.0,0.2,0.001,13.0,61507.0,0.2793092583234541,4.757295052411785,3.9683667837855325,106.85493564605713,1.8947677612304688,0.3919638991355896,,0.502902090549469,,,
llm_gated,llm_fluid,fluid_intelligence,4,1,seed04_fold01,279,50,83,16.0,0.2,0.003,14.0,61507.0,0.21003402242583044,5.1823506531269725,4.147306878882718,128.53329062461853,1.992113709449768,0.5794543027877808,,0.5027600824832916,,,
llm_gated,llm_fluid,fluid_intelligence,4,2,seed04_fold02,280,50,82,16.0,0.5,0.001,10.0,61507.0,0.21314702597023025,4.805559850355081,4.05778767422932,101.72399353981018,1.8307193517684937,0.35043609142303467,,0.49966593086719513,,,
llm_gated,llm_fluid,fluid_intelligence,4,3,seed04_fold03,280,50,82,32.0,0.2,0.003,32.0,213123.0,0.23822382950308887,5.370903715768156,4.246684376786395,194.2742142677307,2.08144474029541,0.6396661996841431,,0.5104564130306244,,,
llm_gated,llm_fluid,fluid_intelligence,4,4,seed04_fold04,280,50,82,32.0,0.2,0.001,15.0,213123.0,0.32937876451586334,4.921559568476466,3.802061871784489,136.4989881515503,2.3614912033081055,0.42026910185813904,,0.4995923191308975,,,
llm_gated,llm_fluid,fluid_intelligence,5,0,seed05_fold00,279,50,83,32.0,0.5,0.003,12.0,213123.0,0.14773914797022786,5.023632643659552,4.267857149422887,128.41855263710022,2.3667640686035156,0.2690240144729614,,0.5051703751087189,,,
llm_gated,llm_fluid,fluid_intelligence,5,1,seed05_fold01,279,50,83,32.0,0.2,0.003,30.0,213123.0,0.27636684436737247,5.24263592328307,3.9798642698540747,138.9883553981781,1.9002896547317505,0.5528618097305298,,0.49788565933704376,,,
llm_gated,llm_fluid,fluid_intelligence,5,2,seed05_fold02,280,50,82,32.0,0.5,0.001,10.0,213123.0,0.20139586681437838,5.570396476209834,4.6202758463417615,88.8229570388794,2.2943601608276367,0.353998601436615,,0.49836406111717224,,,
llm_gated,llm_fluid,fluid_intelligence,5,3,seed05_fold03,280,50,82,16.0,0.2,0.001,12.0,61507.0,0.3939027299349397,4.718139026964313,3.890717064462057,82.399582862854,1.7238866090774536,0.46273085474967957,,0.4997018575668335,,,
llm_gated,llm_fluid,fluid_intelligence,5,4,seed05_fold04,280,50,82,32.0,0.2,0.003,20.0,213123.0,0.18109894317451625,5.090851960506004,3.8824048856409585,113.1852114200592,1.8415319919586182,0.5424374341964722,,0.5041883885860443,,,
llm_gated,llm_fluid,fluid_intelligence,6,0,seed06_fold00,279,50,83,32.0,0.2,0.003,11.0,213123.0,0.2101002046748896,4.541872201826239,3.626892066863646,79.41389298439026,2.2222840785980225,0.31827467679977417,,0.5012933015823364,,,
llm_gated,llm_fluid,fluid_intelligence,6,1,seed06_fold01,279,50,83,32.0,0.5,0.001,10.0,213123.0,0.2693690559900884,4.884643741307965,4.0506541355546695,76.93071508407593,1.9177441596984863,0.34682419896125793,,0.5013032853603363,,,
llm_gated,llm_fluid,fluid_intelligence,6,2,seed06_fold02,280,50,82,32.0,0.2,0.001,13.0,213123.0,0.18054816920037906,4.877090955062114,4.089075565338135,116.0493278503418,2.986062526702881,0.41757893562316895,,0.5018178522586823,,,
llm_gated,llm_fluid,fluid_intelligence,6,3,seed06_fold03,280,50,82,16.0,0.2,0.001,11.0,61507.0,0.19592691350338848,4.675270102458283,3.8532233238220215,85.14943194389343,2.133457899093628,0.3981057405471802,,0.5014614760875702,,,
