target,seed,fold,prior_type,selected_variant,selected_alpha,selected_eta,inner_pearson
fluid_intelligence,5,1,unrelated,topk_0.05,1000000.0,0.0,0.3312670473030986
fluid_intelligence,5,1,shuffled,topk_0.05,1000000.0,0.0,0.3312670473030986
fluid_intelligence,5,1,random,topk_0.05,1000000.0,0.0,0.3312670473030986
fluid_intelligence,5,2,matched,topk_0.05,10000.0,0.0,0.29115251598540925
fluid_intelligence,5,2,unrelated,topk_0.05,10000.0,0.0,0.29115251598540925
fluid_intelligence,5,2,shuffled,topk_0.05,1000000.0,0.0,0.29115251598540925
fluid_intelligence,5,2,random,topk_0.05,10000.0,0.0,0.29115251598540925
fluid_intelligence,5,3,matched,pca_64,1000000.0,0.0,0.31949758754500057
fluid_intelligence,5,3,unrelated,topk_0.05,10000.0,0.0,0.31235413514154275
fluid_intelligence,5,3,shuffled,topk_0.05,1000000.0,0.0,0.31235413514154275
fluid_intelligence,5,3,random,topk_0.05,1000000.0,0.0,0.31235413514154275
fluid_intelligence,5,4,matched,topk_0.05,10000.0,0.0,0.340951057797709
fluid_intelligence,5,4,unrelated,topk_0.05,10000.0,0.0,0.340951057797709
fluid_intelligence,5,4,shuffled,topk_0.05,1000000.0,0.0,0.340951057797709
fluid_intelligence,5,4,random,topk_0.05,1000000.0,0.0,0.340951057797709
fluid_intelligence,6,0,matched,topk_0.05,1000000.0,0.0,0.3660664423392285
fluid_intelligence,6,0,unrelated,topk_0.05,1000000.0,0.0,0.3660664423392285
fluid_intelligence,6,0,shuffled,topk_0.05,1000000.0,0.0,0.3660664423392285
fluid_intelligence,6,0,random,topk_0.05,1000000.0,0.0,0.3660664423392285
fluid_intelligence,6,1,matched,topk_0.05,1000000.0,0.0,0.2926984494591222
fluid_intelligence,6,1,unrelated,topk_0.05,1000000.0,0.0,0.2926984494591222
fluid_intelligence,6,1,shuffled,topk_0.05,1000000.0,0.0,0.2926984494591222
fluid_intelligence,6,1,random,topk_0.05,1000000.0,0.0,0.2926984494591222
fluid_intelligence,6,2,matched,topk_0.05,1000000.0,0.0,0.34840549780466046
fluid_intelligence,6,2,unrelated,topk_0.05,1000000.0,0.0,0.34840549780466046
fluid_intelligence,6,2,shuffled,topk_0.05,1000000.0,0.0,0.34840549780466046
fluid_intelligence,6,2,random,topk_0.05,1000000.0,0.0,0.34840549780466046
fluid_intelligence,6,3,matched,pca_64,1000000.0,0.0,0.2963469763660077
fluid_intelligence,6,3,unrelated,topk_0.05,1000000.0,0.0,0.2863784274112649
fluid_intelligence,6,3,shuffled,pca_64,1000000.0,0.0,0.28739244299308725
fluid_intelligence,6,3,random,topk_0.05,1000000.0,0.0,0.2863784274112649
fluid_intelligence,6,4,matched,pca_16,1000000.0,0.0,0.3152161382241303
fluid_intelligence,6,4,unrelated,topk_0.05,1000000.0,0.0,0.31159210950513266
fluid_intelligence,6,4,shuffled,topk_0.05,1000000.0,0.0,0.31159210950513266
fluid_intelligence,6,4,random,topk_0.05,1000000.0,0.0,0.31159210950513266
