target,seed,fold,prior_type,selected_variant,selected_eta,selected_alpha,inner_pearson,inner_rmse,inner_mae
fluid_intelligence,8,0,random,topk_0.05,0.0,1000000.0,0.34920837107840763,0.0,0.0
fluid_intelligence,8,1,matched,pca_32,0.0,100.0,0.3614128036363174,0.0,0.0
fluid_intelligence,8,1,unrelated,topk_0.05,0.0,10000.0,0.36025958851343454,0.0,0.0
fluid_intelligence,8,1,shuffled,topk_0.05,0.0,1000000.0,0.36025958851343454,0.0,0.0
fluid_intelligence,8,1,random,topk_0.05,0.0,1000000.0,0.36025958851343454,0.0,0.0
fluid_intelligence,8,2,matched,topk_0.05,0.0,1000000.0,0.30944443130296273,0.0,0.0
fluid_intelligence,8,2,unrelated,pca_64,0.75,1000000.0,0.31776061077428724,0.0,0.0
fluid_intelligence,8,2,shuffled,topk_0.05,0.0,1000000.0,0.30944443130296273,0.0,0.0
fluid_intelligence,8,2,random,topk_0.05,0.0,1000000.0,0.30944443130296273,0.0,0.0
fluid_intelligence,8,3,matched,topk_0.05,0.0,10000.0,0.3182619891414636,0.0,0.0
fluid_intelligence,8,3,unrelated,topk_0.05,0.0,1000000.0,0.3182619891414636,0.0,0.0
fluid_intelligence,8,3,shuffled,topk_0.05,0.0,1000000.0,0.3182619891414636,0.0,0.0
fluid_intelligence,8,3,random,pca_8,0.0,100.0,0.31895134806613185,0.0,0.0
fluid_intelligence,8,4,matched,topk_0.05,0.0,1000000.0,0.3438973653973411,0.0,0.0
fluid_intelligence,8,4,unrelated,topk_0.05,0.0,1000000.0,0.3438973653973411,0.0,0.0
fluid_intelligence,8,4,shuffled,topk_0.05,0.0,1000000.0,0.3438973653973411,0.0,0.0
fluid_intelligence,8,4,random,topk_0.05,0.0,10000.0,0.3438973653973411,0.0,0.0
fluid_intelligence,9,0,matched,topk_0.05,0.0,1000000.0,0.35235500483943977,0.0,0.0
fluid_intelligence,9,0,unrelated,topk_0.05,0.0,1000000.0,0.35235500483943977,0.0,0.0
fluid_intelligence,9,0,shuffled,topk_0.05,0.0,1000000.0,0.35235500483943977,0.0,0.0
fluid_intelligence,9,0,random,topk_0.05,0.0,1000000.0,0.35235500483943977,0.0,0.0
fluid_intelligence,9,1,matched,topk_0.2,0.0,10000.0,0.2764139106005144,0.0,0.0
fluid_intelligence,9,1,unrelated,topk_0.05,0.0,10000.0,0.27638566214366467,0.0,0.0
fluid_intelligence,9,1,shuffled,weighted_0.5,0.0,10000.0,0.28071745414665494,0.0,0.0
fluid_intelligence,9,1,random,topk_0.05,0.0,10000.0,0.27638566214366467,0.0,0.0
