target,prior_type,lifting,seed,fold,fraction,k,observed_mean,null_mean,null_std,enrichment_ratio,z_score,p_value
fluid_intelligence,matched,mean,0,1,0.3,4002,0.032154695013308296,0.03247217576895402,0.0004300845824412592,0.9902229909721892,-0.738182135810653,0.765
fluid_intelligence,matched,max,0,1,0.05,667,0.03367705581335004,0.03252066831391153,0.0010940356923827559,1.0355585404419205,1.0569924797608306,0.145
fluid_intelligence,matched,max,0,1,0.1,1334,0.03277622326267921,0.03241441257681683,0.0007600865048767471,1.011162031241657,0.476012511129973,0.317
fluid_intelligence,matched,max,0,1,0.2,2668,0.03224930241571386,0.03244187719523157,0.0005165194379093824,0.994064006273163,-0.37283162139484355,0.627
fluid_intelligence,matched,max,0,1,0.3,4002,0.03150756367073859,0.03247217576895402,0.0004300845824412592,0.9702941957114659,-2.2428427746469426,0.985
fluid_intelligence,matched,bridge,0,1,0.05,667,0.033607861079999905,0.03252066831391153,0.0010940356923827559,1.0334308248401924,0.9937452440153225,0.166
fluid_intelligence,matched,bridge,0,1,0.1,1334,0.03203002131722641,0.03241441257681683,0.0007600865048767471,0.9881413473503654,-0.5057204109323687,0.685
fluid_intelligence,matched,bridge,0,1,0.2,2668,0.030905707554961116,0.03244187719523157,0.0005165194379093824,0.9526485588048449,-2.974079052064553,0.998
fluid_intelligence,matched,bridge,0,1,0.3,4002,0.030745864709161862,0.03247217576895402,0.0004300845824412592,0.9468372223630717,-4.0138873381445475,1.0
fluid_intelligence,unrelated,prod,0,1,0.05,667,0.03436175982065813,0.03252066831391153,0.0010940356923827559,1.0566129665287052,1.682844096920451,0.048
fluid_intelligence,unrelated,prod,0,1,0.1,1334,0.031733474622615485,0.03241441257681683,0.0007600865048767471,0.9789927411891969,-0.8958690225815297,0.82
fluid_intelligence,unrelated,prod,0,1,0.2,2668,0.032268793768794074,0.03244187719523157,0.0005165194379093824,0.9946648146962676,-0.3350956686897415,0.614
fluid_intelligence,unrelated,prod,0,1,0.3,4002,0.03243979842808462,0.03247217576895402,0.0004300845824412592,0.9990029204972354,-0.07528133346611511,0.523
fluid_intelligence,unrelated,mean,0,1,0.05,667,0.034311429238100995,0.03252066831391153,0.0010940356923827559,1.0550653174437814,1.6368395808817482,0.053
fluid_intelligence,unrelated,mean,0,1,0.1,1334,0.03240178725156195,0.03241441257681683,0.0007600865048767471,0.999610502728533,-0.016610379442167762,0.519
fluid_intelligence,unrelated,mean,0,1,0.2,2668,0.032254390833303045,0.03244187719523157,0.0005165194379093824,0.9942208534728046,-0.36298026399040356,0.623
fluid_intelligence,unrelated,mean,0,1,0.3,4002,0.03287081143098612,0.03247217576895402,0.0004300845824412592,1.0122762227227542,0.9268773592611859,0.177
fluid_intelligence,unrelated,max,0,1,0.05,667,0.03384587448755056,0.03252066831391153,0.0010940356923827559,1.0407496599038877,1.2113006758973242,0.114
fluid_intelligence,unrelated,max,0,1,0.1,1334,0.033200961946784624,0.03241441257681683,0.0007600865048767471,1.0242654210716855,1.0348155965423187,0.151
fluid_intelligence,unrelated,max,0,1,0.2,2668,0.03269758298535028,0.03244187719523157,0.0005165194379093824,1.0078819665267797,0.49505550295200346,0.307
fluid_intelligence,unrelated,max,0,1,0.3,4002,0.03334085434497991,0.03247217576895402,0.0004300845824412592,1.026751474314709,2.0197854363787506,0.021
fluid_intelligence,unrelated,bridge,0,1,0.05,667,0.03226823133745586,0.03252066831391153,0.0010940356923827559,0.9922376448719019,-0.23073925120840685,0.585
fluid_intelligence,unrelated,bridge,0,1,0.1,1334,0.033431059639679364,0.03241441257681683,0.0007600865048767471,1.031364044017557,1.337541261869125,0.093
fluid_intelligence,unrelated,bridge,0,1,0.2,2668,0.03255381806447244,0.03244187719523157,0.0005165194379093824,1.0034505053011336,0.21672150363586198,0.407
fluid_intelligence,unrelated,bridge,0,1,0.3,4002,0.03322000165163685,0.03247217576895402,0.0004300845824412592,1.0230297436181597,1.7387879343128232,0.04
fluid_intelligence,shuffled,prod,0,1,0.05,667,0.030418424661353465,0.03252066831391153,0.0010940356923827559,0.9353566897129608,-1.9215494221943377,0.978
fluid_intelligence,shuffled,prod,0,1,0.1,1334,0.030127219778510662,0.03241441257681683,0.0007600865048767471,0.929439017508465,-3.009121703426438,1.0
fluid_intelligence,shuffled,prod,0,1,0.2,2668,0.030250149401349877,0.03244187719523157,0.0005165194379093824,0.9324414003329056,-4.243262950089024,1.0
fluid_intelligence,shuffled,prod,0,1,0.3,4002,0.03080346251532624,0.03247217576895402,0.0004300845824412592,0.9486109811211604,-3.8799652946305963,0.999
fluid_intelligence,shuffled,mean,0,1,0.05,667,0.031045138644041036,0.03252066831391153,0.0010940356923827559,0.9546279413563189,-1.3487034108154776,0.903
fluid_intelligence,shuffled,mean,0,1,0.1,1334,0.030132214427329152,0.03241441257681683,0.0007600865048767471,0.9295931047931459,-3.0025505450300662,1.0
fluid_intelligence,shuffled,mean,0,1,0.2,2668,0.030881395320245583,0.03244187719523157,0.0005165194379093824,0.9518991498058148,-3.021148403053429,0.999
