target,seed,fold,prior_type,variant,inner_pearson,selected_eta
fluid_intelligence,0,3,unrelated,topk_0.1,0.37408646916077243,0.0
fluid_intelligence,0,3,unrelated,topk_0.2,0.37408646916077243,0.0
fluid_intelligence,0,3,unrelated,weighted_0.5,0.37408646916077243,0.0
fluid_intelligence,0,3,unrelated,weighted_1.0,0.37408646916077243,0.0
fluid_intelligence,0,3,unrelated,weighted_2.0,0.37408646916077243,0.0
fluid_intelligence,0,3,unrelated,pca_8,0.37408646916077243,0.0
fluid_intelligence,0,3,unrelated,pca_16,0.37408646916077243,0.0
fluid_intelligence,0,3,unrelated,pca_32,0.3744812609125335,0.25
fluid_intelligence,0,3,unrelated,pca_64,0.37408646916077243,0.0
fluid_intelligence,0,3,shuffled,topk_0.05,0.37408646916077243,0.0
fluid_intelligence,0,3,shuffled,topk_0.1,0.37408646916077243,0.0
fluid_intelligence,0,3,shuffled,topk_0.2,0.37408646916077243,0.0
fluid_intelligence,0,3,shuffled,weighted_0.5,0.37408646916077243,0.0
fluid_intelligence,0,3,shuffled,weighted_1.0,0.37408646916077243,0.0
fluid_intelligence,0,3,shuffled,weighted_2.0,0.37408646916077243,0.0
fluid_intelligence,0,3,shuffled,pca_8,0.37408646916077243,0.0
fluid_intelligence,0,3,shuffled,pca_16,0.37408646916077243,0.0
fluid_intelligence,0,3,shuffled,pca_32,0.37408646916077243,0.0
fluid_intelligence,0,3,shuffled,pca_64,0.37408646916077243,0.0
fluid_intelligence,0,3,random,topk_0.05,0.37408646916077243,0.0
fluid_intelligence,0,3,random,topk_0.1,0.37408646916077243,0.0
fluid_intelligence,0,3,random,topk_0.2,0.37408646916077243,0.0
fluid_intelligence,0,3,random,weighted_0.5,0.37408646916077243,0.0
fluid_intelligence,0,3,random,weighted_1.0,0.37408646916077243,0.0
fluid_intelligence,0,3,random,weighted_2.0,0.37408646916077243,0.0
fluid_intelligence,0,3,random,pca_8,0.37408646916077243,0.0
fluid_intelligence,0,3,random,pca_16,0.37408646916077243,0.0
fluid_intelligence,0,3,random,pca_32,0.37408646916077243,0.0
fluid_intelligence,0,3,random,pca_64,0.37408646916077243,0.0
fluid_intelligence,0,4,matched,topk_0.05,0.25409713387356503,0.0
fluid_intelligence,0,4,matched,topk_0.1,0.25409713387356503,0.0
fluid_intelligence,0,4,matched,topk_0.2,0.25409713387356503,0.0
fluid_intelligence,0,4,matched,weighted_0.5,0.25528847789736525,0.5
fluid_intelligence,0,4,matched,weighted_1.0,0.25409713387356503,0.0
fluid_intelligence,0,4,matched,weighted_2.0,0.25409713387356503,0.0
fluid_intelligence,0,4,matched,pca_8,0.25409713387356503,0.0
fluid_intelligence,0,4,matched,pca_16,0.25409713387356503,0.0
fluid_intelligence,0,4,matched,pca_32,0.25409713387356503,0.0
fluid_intelligence,0,4,matched,pca_64,0.25715234183087243,0.25
fluid_intelligence,0,4,unrelated,topk_0.05,0.25409713387356503,0.0
fluid_intelligence,0,4,unrelated,topk_0.1,0.25409713387356503,0.0
fluid_intelligence,0,4,unrelated,topk_0.2,0.25409713387356503,0.0
fluid_intelligence,0,4,unrelated,weighted_0.5,0.25409713387356503,0.0
fluid_intelligence,0,4,unrelated,weighted_1.0,0.25409713387356503,0.0
fluid_intelligence,0,4,unrelated,weighted_2.0,0.25409713387356503,0.0
fluid_intelligence,0,4,unrelated,pca_8,0.25409713387356503,0.0
fluid_intelligence,0,4,unrelated,pca_16,0.25409713387356503,0.0
fluid_intelligence,0,4,unrelated,pca_32,0.25409713387356503,0.0
fluid_intelligence,0,4,unrelated,pca_64,0.25409713387356503,0.0
fluid_intelligence,0,4,shuffled,topk_0.05,0.25409713387356503,0.0
fluid_intelligence,0,4,shuffled,topk_0.1,0.25409713387356503,0.0
fluid_intelligence,0,4,shuffled,topk_0.2,0.25409713387356503,0.0
fluid_intelligence,0,4,shuffled,weighted_0.5,0.25409713387356503,0.0
fluid_intelligence,0,4,shuffled,weighted_1.0,0.25409713387356503,0.0
fluid_intelligence,0,4,shuffled,weighted_2.0,0.25409713387356503,0.0
