method_id,seed,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,gap_pearson_prior_true_vs_random,gap_pearson_prior_true_vs_prior_random,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,gap_rmse_prior_true_vs_random,gap_rmse_prior_true_vs_prior_random,gap_mae_top_vs_random,gap_mae_top_vs_bottom,gap_mae_prior_true_vs_random,gap_mae_prior_true_vs_prior_random,delta_pearson_top,delta_pearson_bottom,delta_pearson_prior_true_top,delta_pearson_prior_random_top,delta_pearson_random,delta_rmse_top,delta_rmse_bottom,delta_rmse_prior_true_top,delta_rmse_prior_random_top,delta_rmse_random,delta_mae_top,delta_mae_bottom,delta_mae_prior_true_top,delta_mae_prior_random_top,delta_mae_random
M3_RANDOM,0,0.048873508585429895,0.04051411240470249,-0.012180482296519673,-0.09402536194985238,0.06295739965963723,-0.367215412214111,-0.15529469498508136,-0.11438539053591441,0.18020491109651324,-0.2782395598247603,-0.12283039678031873,-0.17839489681133927,0.07984114393029977,0.03932703152559728,0.018787153048350196,0.11281251499820258,0.03096763534486987,0.46590953403850366,0.8331249462526147,0.24765743939378507,0.3620428299296995,0.4029521343788664,0.6309574234342705,0.9091969832590309,0.3279221155574385,0.5063170123687778,0.45075251233775726
M3_RANDOM,1,0.004521320385083044,0.027204713843233752,0.0038884457448812916,-0.02835668810576289,0.3972443188294383,1.0626728388373936,-0.7714185815326131,-1.5309779187199863,0.38552616515728744,1.0054173327799911,-0.623084927071706,-1.3056510411541242,0.01690359234756126,-0.010301121495672494,0.016270717707359505,0.0446274058131224,0.012382271962478214,1.2759350013908084,0.21326216255341474,0.10727210102875695,1.638250019748743,0.8786906825613701,1.2628517945808295,0.2574344618008385,0.25424070235183616,1.5598917435059603,0.8773256294235422
M3_RANDOM,2,0.021709932793921593,0.01923437672303733,-0.012289495457697187,-0.05692836933154921,0.12774789340022358,-0.0938855706347903,-0.5539826928849158,-0.4534785244777956,0.2361678326541929,0.13175256997992113,-0.4585618021863825,-0.47258019702320764,0.052867790220045244,0.033633413497007915,0.01886836196842646,0.07579673129997566,0.031157857426123647,0.7934156247129531,0.8873011953477434,0.11168503842781377,0.5651635629056093,0.6656677313127295,0.8559554091970545,0.7242028392171334,0.16122577435647917,0.6338059713796869,0.6197875765428617
M3_RANDOM,3,0.055338489161402014,0.09100475998973653,-0.021380622783546892,-0.09369024198987794,0.15559204460070025,0.2881050689673776,-0.12773799741222636,-0.40188304308102296,0.1878525814098225,0.2855754391947607,-0.10407728288808613,-0.4260107918650625,0.09599030951693628,0.004985549527199739,0.01927119757198737,0.1129614395618653,0.04065182035553426,0.4425231217699775,0.15441805280259988,0.15919307975705088,0.5610761228380738,0.28693107716927724,0.5436412248730907,0.25806578567833005,0.2517113605751821,0.6777221524402447,0.3557886434632683
M3_RANDOM,4,0.0361368004661425,0.033795915373454936,-0.01617779307394441,-0.052407252777797717,0.32764890483225156,0.5843437861047727,-0.18351296471882605,-0.6906945372134279,0.31510384564338045,0.6058517244222178,-0.20478123267070378,-0.6863146698993849,0.05549870919714893,0.021702793823693993,0.0031841156570620198,0.05559136843485975,0.019361908731006426,0.7665586639982964,0.18221487789352367,0.25539679444721874,0.9460913316606467,0.4389097591660448,0.8486876453080573,0.2428359208858394,0.328802566993973,1.0151172368933579,0.5335837996646767
M3_RANDOM,5,0.03879153008728577,0.019872901313237445,-0.0022763384368573725,-0.04579903077856855,0.7431309254954336,0.9144648505380623,-0.39941162084070997,-1.078176831973074,0.7365044093535371,1.0795818253429086,-0.43691488821058055,-1.1333417752710364,0.05182625417496878,0.031953352861731336,0.010758385650825642,0.05655741642939418,0.013034724087683015,1.2166820203886994,0.3022171698506371,0.07413947405255587,1.1523163060256298,0.47355109489326586,1.2603461271643095,0.18076430182140105,0.08692682960019198,1.2202686048712283,0.5238417178107725
M3_RANDOM,6,0.09649823362587608,0.11202373778132438,0.009704257019152026,-0.07904241142830845,0.5684771186907186,0.35737244128627277,-0.31796181858649036,-0.8305300850813981,0.5375366614461541,0.338733167852512,-0.29952107754548696,-0.7927400363726929,0.13990192353316014,0.02787818575183577,0.0531079469264361,0.13215035835474453,0.04340368990728407,1.0858200501902275,0.7284476089039547,0.19938111291301847,1.0299111979944167,0.5173429314995088,1.0620018738717392,0.723268706019227,0.224944134880098,1.017684171252791,0.524465212425585
M3_RANDOM,7,0.01650186894445358,0.029457773470828053,0.0009971041564850458,-0.018871451111810805,1.0859814199756714,1.6525290376859938,-0.6327600072626088,-1.1108287616325838,1.0534583679777927,1.6051723240297604,-0.5616716600972429,-1.040086916479074,0.03664560468765279,0.007187831216824736,0.021140839899684256,0.04001229101149506,0.02014373574319921,1.8790540865443606,0.22652504885836677,0.16031265930608035,1.271141420938664,0.7930726665686892,1.8411353099479686,0.2359629859182081,0.22600528187293314,1.2660921983520073,0.787676941970176
M3_RANDOM,8,0.11681586886562886,0.09819178391123347,-0.016652213827185413,-0.11298721542470529,0.17659346826442643,0.3925105701801305,-0.3862249105266747,-1.2249043638327985,0.13917056628443375,0.3381791907122036,-0.4042944745610494,-1.2650511269599956,0.16994020438035407,0.07174842046912062,0.0364721216875398,0.14945933711224507,0.053124335514725216,0.7688640960107265,0.3763535258305959,0.20604571721962534,1.4309500810524238,0.5922706277463,0.7593088195854343,0.42112962887323063,0.21584377873995111,1.4808949056999468,0.6201382533010005
M3_RANDOM,9,0.0657227500572983,0.08897525366627321,-0.016246576184439004,-0.08750219177567634,-0.042476841625138914,0.1054399103293143,-0.3779000201222088,-0.8446188913797567,0.0607486503345128,0.12777470330888815,-0.31982254088983764,-0.8039110306251089,0.10929092443807134,0.020315670771798133,0.027321598196334018,0.11482378997201037,0.043568174380773025,0.4641366646986917,0.3586967543693774,0.12871348620162185,0.9733323775813785,0.5066135063238306,0.5044642146965762,0.376689511387688,0.12389302347222575,0.9278040540973347,0.4437155643620634
M3_TRUE,0,0.05291455907262168,0.05197689392231451,0.04571191018650731,0.04006100814122877,0.32961910289923446,0.39902451144176626,-0.026414280447255224,0.09717853089038311,0.3439683026235377,0.3241772516578104,-0.04027664861513456,0.1149271003658118,0.06947446333090182,0.0174975694085873,0.062271814444787445,0.02221080630355867,0.016559904258280127,0.6431156831945588,0.2440911717527925,0.28708229984806904,0.18990376895768596,0.3134965802953243,0.624392329753227,0.3002150780954166,0.2401473785145547,0.1252202781487429,0.2804240271296893
M3_TRUE,1,0.07274497209463818,0.08446044555456443,0.06075498613583953,0.06304259254242037,0.21136913348940353,0.26818929982058604,-0.16158037812040255,0.19948578721511723,0.3448286672024697,0.286584260172873,-0.04220393001973184,0.3070712143357608,0.08072132466117746,-0.0037391208933869715,0.06873133870237882,0.005688746159958458,0.00797635256653929,0.5785454265569197,0.3103561267363336,0.20559591494711354,0.006110127731996329,0.3671762930675161,0.6078214161452122,0.3212371559723392,0.22078881892301067,-0.08628239541275011,0.2629927489427425
M3_TRUE,2,0.021518882680103574,0.02366992794639603,0.02651458135456906,0.026786246868432322,0.13951151276665996,0.2712807319483046,-0.03274251050383174,0.1459310074228412,0.1524895664098432,0.3083747945325583,0.030290166909078133,0.1827652383866872,0.03589392272479258,0.012223994778396552,0.04088962139925807,0.014103374530825746,0.014375040044689008,0.35723327864823257,0.08595254669992798,0.18497925537774088,0.039048247954899654,0.2177217658815726,0.371849194541355,0.06347440000879674,0.24964979504058996,0.06688455665390274,0.21935962813151183
M3_TRUE,3,0.04081952004210425,0.03667977189744853,0.04974927118743453,0.04512880672281301,0.08700533632142111,0.10880066906007677,-0.19699480647900067,0.05143174666062755,0.23117040590389576,0.3034157915400589,-0.09020847218065109,0.22515794029604974,0.05252711668396175,0.015847344786513222,0.06145686782929203,0.016328061106479025,0.011707596641857504,0.42616701681908997,0.31736634775901323,0.1421668740186682,0.09073512735804065,0.33916168049766887,0.5322774059591298,0.22886161441907085,0.21089852787458288,-0.014259412421466866,0.30110700005523394
M3_TRUE,4,0.04233707559366155,0.037147056203865186,0.05069883877964916,0.07096441355938206,-0.1789232558356204,-0.2192026728923885,-0.5934077719723245,-0.011398326601097963,-0.10384205770139462,-0.20950170695335188,-0.4805497321492823,0.11959975985067599,0.05905502659891769,0.02190797039505251,0.0674167897849053,-0.0035476237744767602,0.016717951005256138,0.5917749385033192,0.8109776113957077,0.1772904223666151,0.18868874896771307,0.7706981943389396,0.6261162908390407,0.8356179977923925,0.24940861639115308,0.12980885654047708,0.7299583485404354
M3_TRUE,5,0.028691308071275522,0.03847086534305807,0.025017472626784228,0.0344401317605972,-0.11631127069119174,-0.6645187283660337,-0.25341618080428907,-0.1204470107256725,-0.055333565667047946,-0.30562498849848624,-0.267570030597245,0.03376648927701735,0.038683471036291474,0.00021260569323340307,0.03500963559180018,0.0005695038312029776,0.009992162965015955,0.29145273425053464,0.9559714626165683,0.15434782413743733,0.27479483486310985,0.4077640049417264,0.36763093372582506,0.6732559222243113,0.155394468795628,0.12162797951861064,0.422964499392873
M3_TRUE,6,0.01533002361160737,0.03466299480587097,0.03201485789540172,0.010590551314211055,-0.051099711911537504,0.17326500083637447,-0.2756913640358391,0.05752078259309403,0.059416716180038166,0.31737702030764925,-0.22620923736941423,0.06863352801065278,-0.0034877814121639567,-0.038150776218034935,0.013197052871630385,0.00260650155741933,-0.01881780502377133,0.3544879250433068,0.1812229242069323,0.12989627291900518,0.07237549032591115,0.4055876369548443,0.4335160203792632,0.1161390000716139,0.1478900668298108,0.07925653881915799,0.374099304199225
M3_TRUE,7,0.03259277788993075,0.03532544960424054,0.02642015762549138,0.03193078933993071,0.34187069955355087,0.1262751617012503,0.04000599460661736,0.1641837113631784,0.3751996702744463,0.3781632649065888,0.0909442350315878,0.21652777059305278,0.04590519755744853,0.01057974795320798,0.03973257729300915,0.007801787953078443,0.013312419667517773,0.4910748864906136,0.3647997247893633,0.1892101815436801,0.025026470180501727,0.14920418693706275,0.5335012768354115,0.15533801192882263,0.24924584159255297,0.03271807099950017,0.15830160656096517
M3_TRUE,8,0.0443119710510219,0.051562986350224174,0.03803110026384471,0.038868913106186766,0.1540207703637712,0.11369386147721947,-0.23563811896996736,0.02771403591164976,0.2979795196838248,0.3549287265579594,-0.14730918944605023,0.11026255354574444,0.05641727662487313,0.004854290274648945,0.05013640583769592,0.011267492731509163,0.012105305573851217,0.5534095771279051,0.43971571565068557,0.16375068779416643,0.13603665188251668,0.3993888067641338,0.6511755672535856,0.2962468406956263,0.2058868581237106,0.09562430457796615,0.3531960475697608
M3_TRUE,9,0.05203592859706709,0.04799958381318059,0.01936852540285978,0.029591713573171696,0.3453429170641703,0.4321131371624608,-0.3025106426065468,0.22882828756374315,0.3157386654430564,0.4333684111094131,-0.2619664332606705,0.20366405566639037,0.06761311087244923,0.01961352705926863,0.03494570767824191,0.0053539941050702086,0.015577182275382124,0.8898473512230991,0.4577342140606383,0.24199379155238193,0.013165503988638782,0.5445044341589288,0.8041607088341497,0.37079229772473665,0.22645561013042287,0.022791554464032516,0.4884220433910934
