target,seed,fold,model_id,prior_type,evaluation_type,n_train,n_test,test_indices_hash,selected_hyperparameter_hash,coefficient_artifact,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard,pearson,rmse,mae
fluid_intelligence,2,1,A4_iso_same_solver,uniform,retuned_base,329,83,1ad80dbf1d2cbf53,1a9d8a819b9f2772,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed02_fold01.npz,0.07235975091548122,0.107851695195516,0.1111111111111111,0.273396730746341,4.565123989568681,4.035505407778841
fluid_intelligence,2,1,A4_modality_ridge,none,retuned_base,329,83,1ad80dbf1d2cbf53,257abbcb8197a2b9,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed02_fold01.npz,0.10059760442370155,0.13779935195445697,0.0,0.23426218581513256,4.594605609150192,4.000367986333929
fluid_intelligence,2,2,A2_fc_laplacian,matched,retuned_base,330,82,87a120d2fb58d4fa,25a85a6104c2bb55,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed02_fold02.npz,-0.11889064869970146,-0.09498280777236588,0.0,0.4165122732085968,4.305404912859285,3.5787277652570735
fluid_intelligence,2,2,A3_msancr,matched,retuned_base,330,82,87a120d2fb58d4fa,0932c414b36049d3,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed02_fold02.npz,0.8377612662379739,0.8640830859905797,0.42857142857142855,0.4087816448103506,4.305445602942684,3.5679255567819337
fluid_intelligence,2,2,A4_iso_same_solver,uniform,retuned_base,330,82,87a120d2fb58d4fa,b2dc5dcbabcda78f,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed02_fold02.npz,0.13519861676990527,0.19311434482128065,0.05263157894736842,0.36452953420499407,4.533460098914955,3.6437758016958117
fluid_intelligence,2,2,A4_modality_ridge,none,retuned_base,330,82,87a120d2fb58d4fa,2f3e98a38e9abbf0,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed02_fold02.npz,0.013709154155637782,0.0774294138029776,0.0,0.4165563693503632,4.305488579384517,3.5771582372930704
fluid_intelligence,2,3,A2_fc_laplacian,matched,retuned_base,330,82,f2d768095732cd28,763a1cd3d6d634c5,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed02_fold03.npz,0.026099635932928966,0.07752202348758198,0.17647058823529413,0.4792738855514446,4.604482082992571,3.843144364206253
fluid_intelligence,2,3,A3_msancr,matched,retuned_base,330,82,f2d768095732cd28,79668b08f5849a3b,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed02_fold03.npz,0.19346591470094254,0.28771513764465345,0.17647058823529413,0.4795901384570981,4.604077365496253,3.8429154037066566
fluid_intelligence,2,3,A4_iso_same_solver,uniform,retuned_base,330,82,f2d768095732cd28,1a9d8a819b9f2772,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed02_fold03.npz,0.005369041391143685,0.025228421580976157,0.05263157894736842,0.4798086825361741,4.512212922986445,3.7246188562810887
fluid_intelligence,2,3,A4_modality_ridge,none,retuned_base,330,82,f2d768095732cd28,d9a73baa4c8f0a6e,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed02_fold03.npz,0.026249978675821788,0.07752202348758198,0.17647058823529413,0.4792739412382425,4.604481914562517,3.843144388733136
fluid_intelligence,2,4,A2_fc_laplacian,matched,retuned_base,330,82,0748e83f7d70cde3,9959f95f354cc234,outputs/iclr/msancr_fluid_verification/coefficients/A2_fc_laplacian__matched/seed02_fold04.npz,0.1840892736672483,0.23782938753776148,0.0,0.3178065843495814,4.604969523168895,3.9654019868435615
fluid_intelligence,2,4,A3_msancr,matched,retuned_base,330,82,0748e83f7d70cde3,497bf14fdb07a102,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__matched/seed02_fold04.npz,0.8052442224781385,0.8039485307874698,0.17647058823529413,0.3165131362314725,4.606428525287198,3.970379034010228
fluid_intelligence,2,4,A4_iso_same_solver,uniform,retuned_base,330,82,0748e83f7d70cde3,1a9d8a819b9f2772,outputs/iclr/msancr_fluid_verification/coefficients/A4_iso_same_solver__uniform/seed02_fold04.npz,0.0711064965705346,0.16219814511085223,0.0,0.31363718809696994,4.6178965515997294,3.975542917118991
fluid_intelligence,2,4,A4_modality_ridge,none,retuned_base,330,82,0748e83f7d70cde3,d9a73baa4c8f0a6e,outputs/iclr/msancr_fluid_verification/coefficients/A4_modality_ridge__none/seed02_fold04.npz,0.19384746697183772,0.24269139597949138,0.0,0.3178261521924336,4.604938509968244,3.965368928128241
