experiment_id,seed,pearson,rmse,mae,reference_alignment_node_pearson,reference_alignment_module_pearson,reference_alignment_edge_diagonal_pearson,alignment_node_pearson,alignment_module_pearson,alignment_edge_diagonal_pearson
E5,9,0.17104001641273495,4.954452323913574,4.166317272186279,-0.3299947798252105,-0.6333502173423767,-0.33280349522829056,,0.940524959564209,
E6,0,0.09837967753410337,4.904140186309815,4.155609655380249,-0.008656101673841477,0.18295705318450925,-0.0017769634723663386,,0.966764760017395,
E6,1,0.0316919855773449,5.042419147491455,4.2197568893432615,0.032849630899727325,0.2418706893920898,0.04519003517925736,,0.9870090246200561,
E6,2,0.19199120476841924,4.862992858886718,4.0021764755249025,0.031639092788100245,0.22253318727016444,0.045306697767227844,,0.9824092984199524,
E6,3,0.19668044745922086,4.938858604431152,4.1122785091400145,0.08745313659310339,0.2602791309356689,0.09802898168563838,,0.991941499710083,
E6,4,0.15807548165321347,4.912340545654297,4.107658910751343,0.09181752987205984,0.2831381380558014,0.09849802656099199,,0.9878885269165039,
E6,5,0.1445662662386894,4.946989822387695,4.099621391296386,0.06403538584709165,0.2667573869228363,0.07517465502023694,,0.980919623374939,
E6,6,0.19338510185480115,4.850539684295654,4.08900294303894,0.0209224863909185,0.2418903440237045,0.03102500895038244,,0.9876337051391602,
E6,7,0.13568170368671412,4.882198715209961,4.126812887191773,0.021630637347698194,0.2497979789972305,0.035361587628722185,,0.991523826122284,
E6,8,0.19898752272129056,4.84879093170166,4.060001611709595,0.006754952296614655,0.20171028971672053,0.019065376371145238,,0.9833787202835083,
E6,9,0.1481881642714143,4.993165111541748,4.161364364624023,0.0616133168339729,0.2435059905052185,0.07218370884656902,,0.990924870967865,
E7,0,0.17264483571052547,4.986702346801758,4.116178512573242,0.6921808958053589,0.8943042635917664,0.6977712035179138,,,0.6977712035179138
E7,1,0.11798922400921578,5.034415435791016,4.314489316940308,0.7458073854446411,0.9190940976142883,0.7574797391891479,,,0.7574797391891479
E7,2,0.20055640935897823,4.877010536193848,4.097902107238769,0.7464996099472045,0.9206715106964112,0.7563605308532715,,,0.7563605308532715
E7,3,0.1719022616744041,5.070740127563477,4.159876823425293,0.7537536859512329,0.9291672706604004,0.7630874156951905,,,0.7630874156951905
E7,4,0.18510272353887552,4.92641019821167,4.063320112228394,0.7214115500450134,0.8936614274978638,0.7303124308586121,,,0.7303124308586121
E7,5,0.1615706756711006,5.019589900970459,4.214539623260498,0.7423185706138611,0.9044585347175598,0.7549663424491883,,,0.7549663424491883
E7,6,0.10317775085568426,4.914409637451172,4.1043675422668455,0.69998859167099,0.8825196981430053,0.711086881160736,,,0.711086881160736
E7,7,0.13962422758340828,4.901215648651123,4.109271287918091,0.7469287753105164,0.913249135017395,0.7611348628997803,,,0.7611348628997803
E7,8,0.170490987598896,4.869199562072754,4.063076019287109,0.7259144067764283,0.8931833386421204,0.7366889357566834,,,0.7366889357566834
E7,9,0.15657891929149628,5.012156772613525,4.175136518478394,0.6986240327358246,0.8526162981987,0.7099178791046142,,,0.7099178791046142
E8,0,0.19700402021408076,4.867950820922852,4.085293579101562,-0.4698505401611328,-0.5769289970397949,-0.4689848780632019,,,0.20194777250289916
E8,1,0.07810216844081877,5.038240718841553,4.225888586044311,-0.43972830176353456,-0.5482152879238129,-0.4395323872566223,,,0.19643260836601253
E8,2,0.11049555838108058,4.942087841033936,4.119304609298706,-0.44090362191200255,-0.5277112782001495,-0.43892796635627745,,,0.22461980581283564
E8,3,0.1907897219061851,4.9104996681213375,4.09757809638977,-0.46264622211456297,-0.5378285467624664,-0.46071786880493165,,,0.19145387113094325
E8,4,0.1640805140137672,5.024900150299072,4.132343292236328,-0.48490960597991944,-0.5653300344944,-0.4884267389774323,,,0.20480497479438778
E8,5,0.15244407206773755,4.994339179992676,4.1641592502594,-0.37401771545410156,-0.4800450444221497,-0.37137379050254815,,,0.2274663746356964
E8,6,0.12486412636935706,4.979485893249512,4.19774055480957,-0.4303145229816437,-0.5164868950843811,-0.42518775463104247,,,0.21283553242683412
E8,7,0.11873106732964511,4.919999885559082,4.115816116333008,-0.3711383491754532,-0.4311861902475357,-0.3676156520843506,,,0.20892890989780427
E8,8,0.18779563009738917,4.874850749969482,4.131423759460449,-0.3800484031438827,-0.4867082118988037,-0.3766210064291954,,,0.2060534179210663
E8,9,0.18093346655368803,4.954198837280273,4.10946741104126,-0.47780250906944277,-0.5550563156604766,-0.4767977833747864,,,0.20017224550247187
