experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard,alignment_node_pearson,alignment_node_spearman,alignment_node_topk_jaccard,alignment_module_pearson,alignment_module_spearman,alignment_module_topk_jaccard,alignment_edge_diagonal_pearson,alignment_edge_diagonal_spearman,alignment_edge_diagonal_topk_jaccard
E10,node_unrelated_visual,node,unrelated_visual,0,4,seed00_fold04,280,50,82,19,4.83164644241333,61.762051582336426,16.8,5.010275156401806,False,0.2741383612155914,4.259134292602539,3.5229320526123047,0.1714114546775818,0.2852409873517827,0.0,0.2537209391593933,0.2857142857142857,0.2,0.17930269241333,0.2852409873517827,0.0,0.860931932926178,0.7440107335016675,0.5384615384615384,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,1,0,seed01_fold00,279,50,83,28,5.077617645263672,69.14080810546875,16.93548387096774,4.762020711139765,False,0.1907576620578766,5.056272029876709,4.365074634552002,0.2275658100843429,0.3276705592500379,0.0,0.217326283454895,0.261904761904762,0.2,0.230570986866951,0.3276705592500379,0.0,0.8707112669944763,0.7567406038840417,0.6666666666666666,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,1,1,seed01_fold01,279,50,83,33,3.838475227355957,77.09180212020874,16.620071684587813,4.945483294156645,False,0.0201745778322219,5.495707511901856,4.766745567321777,0.0946047455072403,0.16088378751204,0.0,0.2205705642700195,0.2142857142857143,0.2,0.1084581241011619,0.16088378751204,0.0,0.9212622046470642,0.7622790214023051,0.6666666666666666,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,1,2,seed01_fold02,280,50,82,2,5.047089099884033,52.02430510520935,16.932142857142857,4.8740239734615125,False,0.1224316284060478,4.86559534072876,4.046638011932373,0.1928399354219436,0.2372530216773083,0.0,0.2370737195014953,0.261904761904762,0.2,0.1909950822591781,0.2372530216773083,0.0,0.7515989542007446,0.7033940070129069,0.1764705882352941,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,1,3,seed01_fold03,280,50,82,38,4.733694076538086,94.6733214855194,17.017857142857142,4.853169330553016,False,0.2145043462514877,5.092274188995361,4.072183132171631,0.1816363185644149,0.3106707637295977,0.0,0.2616771459579468,0.261904761904762,0.2,0.1900614202022552,0.3106707637295977,0.0,0.9017316102981568,0.7608557130229499,0.6666666666666666,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,1,4,seed01_fold04,280,50,82,6,4.904548645019531,52.12469625473023,16.867857142857144,4.953393755182153,False,0.0361628755927085,4.644758701324463,3.868064403533936,0.0498808473348617,0.1411522387161353,0.0,0.0569932460784912,0.0952380952380952,0.2,0.05130086094141,0.1411522387161353,0.0,0.8522415161132812,0.7417534163526548,0.4285714285714285,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,2,0,seed02_fold00,279,50,83,31,4.605204105377197,67.12152242660522,16.82078853046595,4.928535674452275,False,0.2545640766620636,4.792819023132324,3.853466033935547,0.0762778371572494,0.1207864437301319,0.0,0.1498085707426071,0.0476190476190476,0.2,0.0865154564380645,0.1207864437301319,0.0,0.9021426439285278,0.7593125470958593,0.5384615384615384,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,2,1,seed02_fold01,279,50,83,26,4.509399890899658,61.35351991653442,16.85663082437276,4.911498188445885,False,0.1451757997274398,5.153791427612305,4.329896926879883,0.2943119704723358,0.3522763149871734,0.0,0.3049498200416565,0.2857142857142857,0.2,0.2989836037158966,0.3522763149871734,0.0,0.7936962842941284,0.7198794138909836,0.4285714285714285,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,2,2,seed02_fold02,280,50,82,16,4.571000576019287,45.238850831985474,16.985714285714284,4.787611564214031,False,0.0872833132743835,5.536403656005859,4.594985008239746,0.151783213019371,0.2204430006074487,0.0,0.2097516804933548,0.2142857142857143,0.2,0.160364493727684,0.2204430006074487,0.0,0.8992067575454712,0.7593075530313703,0.6666666666666666,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,2,3,seed02_fold03,280,50,82,23,4.573801517486572,54.256473541259766,16.760714285714286,4.97743761428324,False,0.1427194029092788,4.71890926361084,3.858951568603516,0.1515980511903762,0.2246130444557353,0.0526315789473684,0.1924592554569244,0.0476190476190476,0.2,0.1649351418018341,0.2246130444557353,0.0526315789473684,0.883620023727417,0.7521360764252152,0.6666666666666666,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,2,4,seed02_fold04,280,50,82,3,4.941257476806641,38.14300346374512,16.892857142857142,4.926164008306533,False,0.0276662278920412,4.766170978546143,3.9727299213409424,-0.0461224317550659,-0.0434683373119601,0.0,0.0709358975291252,-0.0238095238095238,0.2,-0.0466639176011085,-0.0434683373119601,0.0,0.6489025354385376,0.6222154887447644,0.25,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,3,0,seed03_fold00,279,50,83,10,5.082497596740723,38.22622394561768,16.863799283154123,4.829280604484002,False,0.3006677031517029,4.893259525299072,4.1152520179748535,0.1549231559038162,0.2608250060652278,0.0,0.2108024656772613,0.2142857142857143,0.2,0.1596335470676422,0.2608250060652278,0.0,0.8914938569068909,0.7540388149955112,0.4285714285714285,,,,,,
E10,node_unrelated_visual,node,unrelated_visual,3,1,seed03_fold01,279,50,83,30,4.566273212432861,84.3665976524353,16.878136200716845,4.925923173060801,False,0.0527913644909858,5.264265537261963,4.267154216766357,0.121922880411148,0.2807563174406912,0.0,0.1705254316329956,0.2142857142857143,0.2,0.1298414915800094,0.2807563174406912,0.0,0.903841197490692,0.7565358472399942,0.6666666666666666,,,,,,
