roi_index,roi_label,working_memory_prior,e1_saliency,prior_saliency_overlap,e10_visual_saliency
82,Temporal_Sup_R,0.0,0.31801182086892055,0.0,0.41707145662520845
83,Temporal_Pole_Sup_L,0.0,0.11550224450720556,0.0,0.2617741844703409
84,Temporal_Pole_Sup_R,0.0,0.09468295732707754,0.0,0.2657629585680002
85,Temporal_Mid_L,0.0,0.47520174760329736,0.0,0.5791302885337173
86,Temporal_Mid_R,0.0,0.45257352664249323,0.0,0.7937004571524837
87,Temporal_Pole_Mid_L,0.0,0.03354329263158614,0.0,0.3319299602039017
88,Temporal_Pole_Mid_R,0.0,0.08050751992883447,0.0,0.29709927286760507
89,Temporal_Inf_L,0.0,0.32060966904345356,0.0,0.7152560124383363
90,Temporal_Inf_R,0.0,0.28895086971943995,0.0,0.8652770458108444
91,Cerebelum_Crus1_L,0.7032870356985294,0.5491061239517704,0.41383873892825357,0.4865288743385704
92,Cerebelum_Crus1_R,0.761574513945503,0.5815608773911344,0.47462414528756713,0.25663011979324113
93,Cerebelum_Crus2_L,0.0,0.4788615132188033,0.0,0.3003133490959293
94,Cerebelum_Crus2_R,0.0,0.4743658673927119,0.0,0.17879895516002145
95,Cerebelum_3_L,0.0,0.07295187699378787,0.0,0.0888642538891946
96,Cerebelum_3_R,0.0,0.14726026567579012,0.0,0.11149822018910348
97,Cerebelum_4_5_L,0.0,0.053887230742932425,0.0,0.10469434047939523
98,Cerebelum_4_5_R,0.0,0.1233910627244916,0.0,0.12574432960087875
99,Cerebelum_6_L,0.0,0.3205949865078363,0.0,0.5325822379815013
100,Cerebelum_6_R,0.7502886231008687,0.44701816021009216,0.35941464639166776,0.471651630190193
101,Cerebelum_7b_L,0.0,0.2047840906892378,0.0,0.2706496691441726
102,Cerebelum_7b_R,0.0,0.2358055907939743,0.0,0.2040447107063117
103,Cerebelum_8_L,0.0,0.17036239274378207,0.0,0.2238978055225879
104,Cerebelum_8_R,0.0,0.2575893856057004,0.0,0.22460681847444017
105,Cerebelum_9_L,0.0,0.0765807658355755,0.0,0.09413319680971037
106,Cerebelum_9_R,0.0,0.16534910497335614,0.0,0.08255900948936944
107,Cerebelum_10_L,0.0,0.01114917060486306,0.0,0.09907255288814047
108,Cerebelum_10_R,0.0,0.07481016187409867,0.0,0.10262590889835245
109,Vermis_1_2,0.0,0.11313177789515434,0.0,0.11212190629153657
110,Vermis_3,0.0,0.13262317666784368,0.0,0.10750991477967642
111,Vermis_4_5,0.0,0.13642097175710574,0.0,0.09911067060434822
112,Vermis_6,0.0,0.08548832747711382,0.0,0.14819771807668713
113,Vermis_7,0.0,0.08259107246244318,0.0,0.12402893457390325
114,Vermis_8,0.0,0.07447687223406732,0.0,0.07872851671508735
115,Vermis_9,0.0,0.05173563846394526,0.0,0.09055879306440995
116,Vermis_10,0.0,0.06135636821840967,0.0,0.11393663095314753
