task,seed,fold,model,pearson,rmse,mae
working_memory,2,2,LF2,0.2541255813468849,11.618533512913553,9.055758076438591
working_memory,2,3,A4,0.3217508318711204,10.999045187330855,9.235804026336208
working_memory,2,3,A3,0.3139498751584386,11.244203082063342,9.452489188228991
working_memory,2,3,LF0,0.2742920434569311,12.110199729884693,9.853876113749523
working_memory,2,3,LF1,0.3137053528313788,11.246136493944974,9.45220699117358
working_memory,2,3,LF2,0.3033004022091712,11.436799085135387,9.528757473912156
working_memory,2,4,A4,0.1937536050649918,11.178589644003177,8.911311901004439
working_memory,2,4,A3,0.2376738401245487,11.262539763873262,9.165975874085458
working_memory,2,4,LF0,0.2031969676180845,11.181580623750795,8.94542819906076
working_memory,2,4,LF1,0.2162522278064273,10.995782936832152,8.836608053961418
working_memory,2,4,LF2,0.2162522278064273,10.995782936832152,8.836608053961418
fluid_intelligence,0,0,A4,0.3771,,
fluid_intelligence,0,0,A3,0.2593,,
fluid_intelligence,0,0,LF0,0.465,,
fluid_intelligence,0,0,LF1,0.4937,,
fluid_intelligence,0,0,LF2,0.465,,
fluid_intelligence,0,1,A4,0.3495,,
fluid_intelligence,0,1,A3,0.2706,,
fluid_intelligence,0,1,LF0,0.3507,,
fluid_intelligence,0,1,LF1,0.3686,,
fluid_intelligence,0,1,LF2,0.3686,,
fluid_intelligence,0,2,A4,0.2814,,
fluid_intelligence,0,2,A3,0.1541,,
fluid_intelligence,0,2,LF0,0.3285,,
fluid_intelligence,0,2,LF1,0.3311,,
fluid_intelligence,0,2,LF2,0.3311,,
fluid_intelligence,0,3,A4,0.1762,,
fluid_intelligence,0,3,A3,0.1074,,
fluid_intelligence,0,3,LF0,0.2161,,
fluid_intelligence,0,3,LF1,0.227,,
fluid_intelligence,0,3,LF2,0.227,,
fluid_intelligence,0,4,A4,0.4169,,
fluid_intelligence,0,4,A3,0.2452,,
fluid_intelligence,0,4,LF0,0.4505,,
fluid_intelligence,0,4,LF1,0.447,,
fluid_intelligence,0,4,LF2,0.447,,
fluid_intelligence,1,0,A4,0.3013,,
fluid_intelligence,1,0,A3,0.3063,,
fluid_intelligence,1,0,LF0,0.2699,,
fluid_intelligence,1,0,LF1,0.3089,,
fluid_intelligence,1,0,LF2,0.3089,,
fluid_intelligence,1,1,A4,0.3691,,
fluid_intelligence,1,1,A3,0.2215,,
fluid_intelligence,1,1,LF0,0.4063,,
fluid_intelligence,1,1,LF1,0.4032,,
fluid_intelligence,1,1,LF2,0.4032,,
fluid_intelligence,1,2,A4,0.354,,
fluid_intelligence,1,2,A3,0.3268,,
fluid_intelligence,1,2,LF0,0.388,,
fluid_intelligence,1,2,LF1,0.4421,,
fluid_intelligence,1,2,LF2,0.4449,,
fluid_intelligence,1,3,A4,0.2923,,
fluid_intelligence,1,3,A3,0.1431,,
fluid_intelligence,1,3,LF0,0.2923,,
fluid_intelligence,1,3,LF1,0.2826,,
fluid_intelligence,1,3,LF2,0.2805,,
fluid_intelligence,1,4,A4,0.1909,,
fluid_intelligence,1,4,A3,0.2847,,
fluid_intelligence,1,4,LF0,0.2778,,
fluid_intelligence,1,4,LF1,0.3517,,
fluid_intelligence,1,4,LF2,0.3354,,
fluid_intelligence,2,0,A4,0.3959,,
fluid_intelligence,2,0,A3,0.2523,,
fluid_intelligence,2,0,LF0,0.4561,,
fluid_intelligence,2,0,LF1,0.4564,,
fluid_intelligence,2,0,LF2,0.4564,,
fluid_intelligence,2,1,A4,0.2769,,
fluid_intelligence,2,1,A3,0.1797,,
fluid_intelligence,2,1,LF0,0.3102,,
fluid_intelligence,2,1,LF1,0.3197,,
fluid_intelligence,2,1,LF2,0.3197,,
fluid_intelligence,2,2,A4,0.3165,,
fluid_intelligence,2,2,A3,0.2141,,
fluid_intelligence,2,2,LF0,0.417,,
fluid_intelligence,2,2,LF1,0.4243,,
fluid_intelligence,2,2,LF2,0.4243,,
fluid_intelligence,2,3,A4,0.4565,,
fluid_intelligence,2,3,A3,0.4111,,
fluid_intelligence,2,3,LF0,0.4598,,
fluid_intelligence,2,3,LF1,0.4785,,
fluid_intelligence,2,3,LF2,0.4785,,
fluid_intelligence,2,4,A4,0.3021,,
fluid_intelligence,2,4,A3,0.1672,,
fluid_intelligence,2,4,LF0,0.3633,,
fluid_intelligence,2,4,LF1,0.3556,,
fluid_intelligence,2,4,LF2,0.3556,,
