task,seed,model,matched_alignment,unrelated_alignment,shuffled_alignment,random_alignment,rank_stability,top10_jaccard
fluid_intelligence,2,FP_random,0.19290751652566418,0.10946044438398317,-0.05513980621344707,0.8499181178641448,0.024327836081959018,0.05380116959064327
fluid_intelligence,3,FC_no_prior,0.1825074489445925,0.059601901326602626,-0.011816995755518723,-0.02140314458155538,0.055353861530773076,0.0654970760233918
fluid_intelligence,3,FP_matched,0.6700951231445311,0.4483075784310865,-0.18371677707605133,0.12239572521431592,0.11982162764771462,0.08571428571428572
fluid_intelligence,3,FP_unrelated,0.4995613346719131,0.6569688586614599,-0.11663109329601111,0.06884557721139431,0.06178756775458425,0.1746031746031746
fluid_intelligence,3,FP_shuffled,-0.052595355128941756,-0.0852243792514212,0.6400903570800842,-0.046003152270018846,-0.01990850728481913,0.09941520467836257
fluid_intelligence,3,FP_random,0.13164157967563747,0.07313673697664641,-0.031119169269186342,0.6024187906046976,0.09172644447007267,0.021052631578947368
fluid_intelligence,4,FC_no_prior,0.1993438896056685,0.062080056489676225,-0.03916463561919174,-0.02178910544727636,0.04902471841002576,0.04327485380116959
fluid_intelligence,4,FP_matched,0.8148486906654053,0.594030949639394,-0.2252599380948322,0.11037558144004919,0.12395494560412101,0.13333333333333333
fluid_intelligence,4,FP_unrelated,0.6329895095130433,0.8104482938868258,-0.17877759389715114,0.06957751893284128,0.06888709491408143,0.24102564102564106
fluid_intelligence,4,FP_shuffled,-0.07848053372323731,-0.11744347386925229,0.7876716069708786,-0.0017422058201668421,-0.006060046899627114,0.08771929824561403
fluid_intelligence,4,FP_random,0.1555140411245312,0.09028763262869147,-0.04254720434936667,0.7225033637027641,0.05854303617422059,0.05380116959064327
fluid_intelligence,5,FC_no_prior,0.18988535381807464,0.06161689305963267,-0.03972569595841994,-0.014486602852419945,0.04787452427632338,0.05380116959064327
fluid_intelligence,5,FP_matched,0.7654082387919859,0.547174505758143,-0.20995001373498495,0.11270826125398839,0.11285587975243147,0.17142857142857143
fluid_intelligence,5,FP_unrelated,0.5803378168259673,0.7489337276315051,-0.15690318639359688,0.06667743051551148,-0.008149771268212046,0.23809523809523808
fluid_intelligence,5,FP_shuffled,-0.07000057360296304,-0.10112658014107305,0.7270176657866124,-0.010150309460654292,-0.01744666128474224,0.08771929824561403
fluid_intelligence,5,FP_random,0.14023884539641066,0.08519283489821226,-0.04056227010934616,0.683755045554146,0.0375858224733787,0.031578947368421054
fluid_intelligence,6,FC_no_prior,0.17144213512911263,0.049527712035920844,-0.050651323499621516,0.008360435167031867,0.035900511282820124,0.031578947368421054
fluid_intelligence,6,FP_matched,0.7090598761944518,0.49572258817647635,-0.1993415743635534,0.13088225118210126,0.04229885057471265,0.08571428571428572
fluid_intelligence,6,FP_unrelated,0.5329208865611537,0.7003069530982106,-0.13415516086527468,0.07098604543881906,0.0029016261100219183,0.1965811965811966
fluid_intelligence,6,FP_shuffled,-0.06594349766991955,-0.10125275755390883,0.6866606804781393,-0.028133625494944837,-0.016279552531426593,0.07602339181286549
fluid_intelligence,6,FP_random,0.12530939249081308,0.07239736811240745,-0.026486369796852306,0.6384576942298082,0.03259293430207973,0.010526315789473684
fluid_intelligence,7,FC_no_prior,0.17423277362519124,0.052220522675709015,-0.03912759174534999,-0.01611501941337024,0.1015938184753777,0.042105263157894736
fluid_intelligence,7,FP_matched,0.8012821436182355,0.5889700043855293,-0.23486742112516473,0.10377580440548954,0.13034867181793722,0.13571428571428573
fluid_intelligence,7,FP_unrelated,0.6125667588156629,0.7934697381157273,-0.17774808290329913,0.060191442740168376,0.03888363510552416,0.23809523809523808
fluid_intelligence,7,FP_shuffled,-0.09830440846017627,-0.13159996408985292,0.775934872942017,0.00033983008495752225,0.05066851189789721,0.08888888888888888
fluid_intelligence,7,FP_random,0.14266521913304536,0.08832418898505164,-0.04049358459326458,0.7194741090992965,0.1457548149002422,0.010526315789473684
fluid_intelligence,8,FC_no_prior,0.1748656064699878,0.02600177953779447,-0.035217919560301805,-0.02754930227194095,0.0648029831238227,0.042105263157894736
fluid_intelligence,8,FP_matched,0.6749085115018436,0.46695029117757425,-0.2038863946355133,0.11799023565140507,0.005786337600430557,0.13333333333333333
fluid_intelligence,8,FP_unrelated,0.5070997629987095,0.6636931915162452,-0.14050123950278973,0.06893937646561335,0.03358474608849422,0.21904761904761907
fluid_intelligence,8,FP_shuffled,-0.05912356614617875,-0.09425837426067622,0.6601418972916756,-0.02266251489639795,0.05429439126590552,0.07602339181286549
fluid_intelligence,8,FP_random,0.11765674555300458,0.065309890508485,-0.03806798260400156,0.6306539038173222,0.061475416138084805,0.021052631578947368
fluid_intelligence,9,FC_no_prior,0.14999681916422533,0.028410690998702103,-0.0473698536751397,-0.04668742551801022,-0.01890746934225195,0.05497076023391813
fluid_intelligence,9,FP_matched,0.6214804409588344,0.4058611890033399,-0.18900015958273111,0.12735324645369622,0.06667896820820358,0.06666666666666667
fluid_intelligence,9,FP_unrelated,0.4462575154557479,0.6045706104835248,-0.11452885345549171,0.07398147080306,0.046682812439933885,0.1746031746031746
fluid_intelligence,9,FP_shuffled,-0.045424278551076044,-0.07259663609975177,0.5827549295941415,-0.061982854726482906,-0.0060477453580901844,0.08771929824561403
fluid_intelligence,9,FP_random,0.10264703092074992,0.0596003625776656,-0.05079872724761682,0.5509014723407527,0.11323876523276824,0.031578947368421054
