task,seed,fold,prior_type,pearson,rmse,mae,w_fp,w_s
fluid_intelligence,1,2,matched,0.4520422123898718,4.821243485026942,4.148839990954124,0.65,0.35
fluid_intelligence,1,2,unrelated,0.46595718302908173,4.815129790177263,4.14472643652915,0.65,0.35
fluid_intelligence,1,2,shuffled,0.41384176095985403,4.885703494128362,4.217422971697807,0.65,0.35
fluid_intelligence,1,2,random,0.43450343891806464,4.853763185362874,4.170004584242701,0.65,0.35
fluid_intelligence,1,3,matched,0.28331564139356413,4.977861063509075,4.24427489354662,0.65,0.35
fluid_intelligence,1,3,unrelated,0.27465541516277336,4.992076144692531,4.2566880151838955,0.65,0.35
fluid_intelligence,1,3,shuffled,0.289135530340899,4.945286804825035,4.240534782658578,0.65,0.35
fluid_intelligence,1,3,random,0.260950407799031,5.009082978785542,4.291783371252623,0.65,0.35
fluid_intelligence,1,4,matched,0.3517337366313573,4.569133962899343,3.8395470595341843,0.4,0.6
fluid_intelligence,1,4,unrelated,0.3429975391863982,4.584310163884051,3.842306529237442,0.4,0.6
fluid_intelligence,1,4,shuffled,0.3476980293849695,4.573317438057236,3.8508555685100725,0.4,0.6
fluid_intelligence,1,4,random,0.35178073349014227,4.568372908271978,3.8270233815715704,0.4,0.6
fluid_intelligence,2,0,matched,0.4548573823926859,4.687460837244794,4.0170641860468415,0.5,0.5
fluid_intelligence,2,0,unrelated,0.46263462465432015,4.67798597042643,4.002281539914389,0.5,0.5
fluid_intelligence,2,0,shuffled,0.4395639871205819,4.723328545584659,4.046280761577134,0.5,0.5
fluid_intelligence,2,0,random,0.4293714215107136,4.737065467721593,4.0455004544368895,0.5,0.5
fluid_intelligence,2,1,matched,0.3224290543571169,4.4666957844825195,3.840056849150298,0.45,0.55
fluid_intelligence,2,1,unrelated,0.3125977579669781,4.4832989078952465,3.8570142917065127,0.45,0.55
fluid_intelligence,2,1,shuffled,0.31957555438354135,4.479567298360729,3.8903492045121566,0.45,0.55
fluid_intelligence,2,1,random,0.3196853506881796,4.478881102480483,3.8655994991243134,0.45,0.55
fluid_intelligence,2,2,matched,0.43574407373714596,4.2483889002627615,3.4992249162995406,0.4,0.6
fluid_intelligence,2,2,unrelated,0.44318346422182875,4.2361537682709915,3.4914561878060226,0.4,0.6
fluid_intelligence,2,2,shuffled,0.42967435194145,4.267326419449497,3.514126707427246,0.4,0.6
fluid_intelligence,2,2,random,0.45032483044216354,4.2252006686260595,3.4648553463688283,0.4,0.6
fluid_intelligence,2,3,matched,0.4709397094838847,4.511768627865176,3.7062275334324437,0.4,0.6
fluid_intelligence,2,3,unrelated,0.45466803991738025,4.543712018521466,3.7352136562710156,0.4,0.6
fluid_intelligence,2,3,shuffled,0.4617864948528477,4.530238333428782,3.7114550210900648,0.4,0.6
fluid_intelligence,2,3,random,0.4587994501884347,4.540625034320033,3.7338212644037854,0.4,0.6
fluid_intelligence,2,4,matched,0.36645421068561046,4.528252834495875,3.8507614847583205,0.45,0.55
fluid_intelligence,2,4,unrelated,0.36083034945564374,4.536634448816139,3.8612704923892625,0.45,0.55
fluid_intelligence,2,4,shuffled,0.3614779560643291,4.536097682537079,3.857791064459289,0.45,0.55
fluid_intelligence,2,4,random,0.3641680583244527,4.531735072385852,3.8567217509178175,0.45,0.55
