method,target,seed,fold,split_id,n_train,n_val,n_test,best_lambda1,best_lambda2,best_lambda3,runtime_seconds,pearson,rmse,mae,jaccard
mt_ncr_joint_l21,fluid_intelligence,1,4,seed01_fold04,280.0,50.0,82.0,0.1,0.0,0.0,244.08968234062195,0.3384721003650359,4.661340602837849,3.8481167185632352,
mt_ncr_joint_l21,working_memory,1,4,seed01_fold04,280.0,50.0,82.0,0.1,0.0,0.0,244.0896933078766,0.2692972555770151,10.78933575550032,8.34863651624931,
mt_ncr_joint_l21,jaccard_top10pct,1,4,seed01_fold04,,,,,,,,,,,0.1219512195121951
no_prior_ridge,fluid_intelligence,1,4,seed01_fold04,280.0,50.0,82.0,0.0,0.0,0.0,6.827245712280273,0.3384709974981837,4.661343082181406,3.8481173736010654,
no_prior_ridge,working_memory,1,4,seed01_fold04,280.0,50.0,82.0,0.0,0.0,0.0,6.827248811721802,0.2692982908921556,10.789331636701132,8.348637748313097,
mt_ncr_independent,fluid_intelligence,2,0,seed02_fold00,279.0,50.0,83.0,0.0,0.0,0.0,60.16464304924011,0.4011024640728792,4.793346042779881,4.118076117508755,
mt_ncr_independent,working_memory,2,0,seed02_fold00,279.0,50.0,83.0,0.0,0.0,0.0,60.16464638710022,0.328654756354878,11.887243650625315,9.846202970658322,
mt_ncr_independent,jaccard_top10pct,2,0,seed02_fold00,,,,,,,,,,,0.1024793388429752
mt_ncr_joint_l21,fluid_intelligence,2,0,seed02_fold00,279.0,50.0,83.0,1.0,0.0,0.0,196.9518358707428,0.4011017893784478,4.7933471672957095,4.118077115749794,
mt_ncr_joint_l21,working_memory,2,0,seed02_fold00,279.0,50.0,83.0,1.0,0.0,0.0,196.9518392086029,0.3180920144794537,11.702971953860558,9.72551274650431,
mt_ncr_joint_l21,jaccard_top10pct,2,0,seed02_fold00,,,,,,,,,,,0.1681260945709282
no_prior_ridge,fluid_intelligence,2,0,seed02_fold00,279.0,50.0,83.0,0.0,0.0,0.0,6.140746116638184,0.4011024640728799,4.79334604277988,4.118076117508752,
no_prior_ridge,working_memory,2,0,seed02_fold00,279.0,50.0,83.0,0.0,0.0,0.0,6.140756845474243,0.3347788122285989,11.863549793560264,9.713097198939264,
mt_ncr_independent,fluid_intelligence,2,1,seed02_fold01,279.0,50.0,83.0,0.0,0.0,0.0,62.90683960914612,0.3010069787709812,4.621584247559408,4.018475221469582,
