method_id,seed,fold,condition,repeat,pearson,rmse,mae
M3_RANDOM,1,0,random,12,0.45658511556719494,6.896039525337736,5.96469039793295
M3_RANDOM,1,0,random,13,0.39274795150516917,7.813814121994115,6.7307509691628
M3_RANDOM,1,0,random,14,0.4594903375978167,4.679949638798736,4.046828911930192
M3_RANDOM,1,0,random,15,0.38871261923818956,11.701521125311283,10.68894904340469
M3_RANDOM,1,0,random,16,0.40941036257565755,4.765588373050164,4.134490537367429
M3_RANDOM,1,0,random,17,0.45444954254078535,5.356042054197267,4.656188857001584
M3_RANDOM,1,0,random,18,0.39597192386151103,9.588095372817385,8.420225066672876
M3_RANDOM,1,0,random,19,0.3228866148950355,5.730671220346673,5.0053319357215305
M3_RANDOM,1,0,top,-1,0.38854321082624327,6.619172152355645,5.7978306440927945
M3_RANDOM,1,0,bottom,-1,0.46007094818049504,4.919124619849125,4.344728045040901
M3_RANDOM,1,0,prior_true_top,-1,0.4330481041329429,4.928148882732794,4.332466060894713
M3_RANDOM,1,0,prior_random_top,-1,0.35729358010605583,7.92440872870944,6.846043612622418
M3_RANDOM,1,1,random,0,0.2592132714283122,4.927594073772359,4.440153453740032
M3_RANDOM,1,1,random,1,0.2552594424208003,4.784424207218434,4.2107610358371295
M3_RANDOM,1,1,random,2,0.2407602855701258,4.772396107434841,4.2174415610505065
M3_RANDOM,1,1,random,3,0.3044213789825003,4.802359307435391,4.318878508743748
M3_RANDOM,1,1,random,4,0.2612899525877838,4.881710782447577,4.371289703383829
M3_RANDOM,1,1,random,5,0.12249536342622823,4.7247646196758435,4.0676277247710315
M3_RANDOM,1,1,random,6,0.2160842357291595,4.650957773719075,3.9900892612564056
M3_RANDOM,1,1,random,7,0.25977201845804765,4.852334726709017,4.321235413129106
M3_RANDOM,1,1,random,8,0.31955497497471597,4.531220683607036,3.808776120773008
M3_RANDOM,1,1,random,9,0.2678336231710431,4.763813443367783,4.216873743824917
M3_RANDOM,1,1,random,10,0.27121948354546155,4.523708375242495,3.545649466157531
