method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_alpha,best_gamma,best_kernel,gate_mode,best_val_rmse,parameters,runtime_seconds,device,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,1,2,seed01_fold02,280,50,82,0.1,0.0001,rbf,product,4.8588223624985405,331,0.6624329090118408,cuda,False,0.31258316800441055,4.664253624860518,3.812667988203372,-0.5290184244936031,-0.5334559805823714,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,1,2,seed01_fold02,280,50,82,0.01,1e-05,rbf,product,4.872487600813644,331,0.6585137844085693,cuda,False,0.3442753793233787,4.5830846404278365,3.7977324102195755,0.7198840282023773,0.6645052268373285,0.42857142857142855
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,1,2,seed01_fold02,280,50,82,0.1,0.0001,rbf,product,4.882614471266497,331,0.6527688503265381,cuda,False,0.2967500470433513,4.697993704878309,3.8568863170579,-0.517924635565316,-0.5195225406581563,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,1,2,seed01_fold02,280,50,82,0.1,1e-05,rbf,product,4.883124069411838,331,0.6555373668670654,cuda,False,0.31057448175987545,4.641932049284307,3.8986427861132857,-0.4657712559431791,-0.46772410377860074,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,1,3,seed01_fold03,280,50,82,0.01,1e-05,rbf,product,4.409036047331887,331,0.658087968826294,cuda,False,0.3384146745968615,4.771946211063182,4.009847991867637,-0.3718235178514541,-0.36612485581507626,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,1,3,seed01_fold03,280,50,82,0.01,1e-05,rbf,product,4.575143404994641,331,0.666210412979126,cuda,False,0.38683534440533845,4.7155218219761466,3.980220012407611,0.7542833056025031,0.712178566448998,0.42857142857142855
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,1,3,seed01_fold03,280,50,82,0.1,0.0001,rbf,product,4.449303543927395,331,0.6631648540496826,cuda,False,0.33807002962267624,4.7687110494331915,4.026092602639766,-0.4212259940604269,-0.41393802923243683,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,1,3,seed01_fold03,280,50,82,0.01,1e-05,rbf,product,4.305416116473319,331,0.6550004482269287,cuda,False,0.36674692912421836,4.77594259310714,3.9497159468499574,0.02105802317418764,0.055988456985797956,0.05263157894736842
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,1,4,seed01_fold04,280,50,82,0.1,0.0001,rbf,product,4.551683446140023,331,0.665245771408081,cuda,False,0.1670725784108198,4.734676721772677,3.9700838016374473,-0.33007935505482344,-0.3283247816980924,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,1,4,seed01_fold04,280,50,82,0.01,1e-05,rbf,product,4.47311999906456,331,0.6902034282684326,cuda,False,0.14956846810103938,4.729145165720366,4.092532868999214,0.7389703061604282,0.6960727084720827,0.42857142857142855
