target,seed,fold,baseline_pearson,baseline_rmse,baseline_mae,ridge_alpha,n_trainval,n_test
working_memory,1,2,0.13894561026523145,12.345033684654132,10.201786169333232,100.0,330,82
working_memory,1,3,0.29592842310743384,11.491017145473853,9.44347150422804,10000.0,330,82
working_memory,1,4,0.15153764375968753,10.777483865944529,8.604687919424991,1000000.0,330,82
working_memory,2,0,0.3249421156086953,11.681543360890377,9.706862235099512,10000.0,329,83
working_memory,2,1,0.36936690823116225,10.2819029822442,8.555359921439118,10000.0,329,83
working_memory,2,2,0.17946586065409925,11.486079545892494,9.10073632473552,10000.0,330,82
working_memory,2,3,0.31882565565657023,10.899364420412802,9.284159390275782,10000.0,330,82
working_memory,2,4,0.12603402344560996,11.024686021185595,8.881401347825658,10000.0,330,82
working_memory,3,0,0.35560314233636864,9.175769720956689,7.831042055200335,10000.0,329,83
working_memory,3,1,0.1840020629506472,12.824598081255248,11.033327221005697,100.0,329,83
working_memory,3,2,0.11915585509120857,11.955819064840908,9.43915835015207,10000.0,330,82
working_memory,3,3,0.11661672461251685,11.8690538555053,9.711676934390049,1000000.0,330,82
working_memory,3,4,0.28876720487911145,10.713844146835346,8.286528675712383,10000.0,330,82
working_memory,4,0,0.23142802106562266,10.672468532307212,8.503031070438091,10000.0,329,83
working_memory,4,1,0.18208606933984184,11.555942317772107,9.636412438347202,10000.0,329,83
working_memory,4,2,0.14568339794800994,10.966758053072674,9.153180380616675,10000.0,330,82
working_memory,4,3,0.2713060110290932,11.790605079764722,9.529367017655144,10000.0,330,82
working_memory,4,4,0.2790654089430854,11.588781044208607,9.600258577901243,1000000.0,330,82
working_memory,5,0,0.15042270070728284,11.926245882675193,9.281533250446563,10000.0,329,83
working_memory,5,1,0.18861785645111295,12.415867555638398,10.07351026107786,100.0,329,83
working_memory,5,2,0.059300582063503485,12.11786038825372,9.472043999605201,100.0,330,82
working_memory,5,3,0.21745417750996912,11.435356135221497,9.41340871377307,10000.0,330,82
working_memory,5,4,0.26030406008083884,10.9175535397741,9.112142662201418,10000.0,330,82
working_memory,6,0,0.1339498938052714,11.78373897849485,9.840612005850645,10000.0,329,83
working_memory,6,1,0.2887910158198481,9.992453393567866,8.153039463793798,10000.0,329,83
working_memory,6,2,0.0950514597345632,12.00503586418487,10.160135057682645,10000.0,330,82
working_memory,6,3,0.2569082607865316,10.381623271383669,7.736833705083599,10000.0,330,82
working_memory,6,4,0.34522673893822664,12.419394646221736,10.469487320496953,1000000.0,330,82
working_memory,7,0,0.2983998548230143,11.41856679194256,8.834751619500747,10000.0,329,83
working_memory,7,1,0.20307927287986074,10.42526036538268,8.795963099598037,10000.0,329,83
working_memory,7,2,0.17240006502876315,11.671733917501447,9.423796962927419,10000.0,330,82
working_memory,7,3,0.3206950873749829,11.220745603045971,9.421422038133546,10000.0,330,82
working_memory,7,4,0.2739387444561167,11.278088874944697,9.354219581555428,1000000.0,330,82
working_memory,8,0,0.190481258511821,11.337724716408122,9.147294243169982,10000.0,329,83
working_memory,8,1,0.31860244333043974,10.79085258316081,8.91460639223336,10000.0,329,83
working_memory,8,2,0.3876684529528718,10.356866885784951,8.45758557466391,10000.0,330,82
working_memory,8,3,0.3562966062424552,10.725828298445316,8.67479386357951,10000.0,330,82
working_memory,8,4,0.23140353811970993,11.343329860983856,9.307975279899273,10000.0,330,82
working_memory,9,0,0.28693395235170777,12.360117718847523,10.130221464577966,1000000.0,329,83
working_memory,9,1,0.20096527686033144,11.176979497183202,9.193319701067033,10000.0,329,83
working_memory,9,2,0.24335634966969166,11.098630398156098,8.9676676747634,10000.0,330,82
working_memory,9,3,0.2997165965293075,10.381051158231035,8.439137348599889,10000.0,330,82
working_memory,9,4,0.08255824229547326,11.325930527921107,9.031982254495231,1000000.0,330,82
