target,prior_type,lifting,modality,residual_pearson,seed,fold
fluid_intelligence,unrelated,prod,SC,-0.01668885766622431,0,4
fluid_intelligence,unrelated,mean,FC,0.039226912691232005,0,4
fluid_intelligence,unrelated,mean,SC,-0.018280269948461558,0,4
fluid_intelligence,unrelated,max,FC,0.017614002395401063,0,4
fluid_intelligence,unrelated,max,SC,-0.011290254856032423,0,4
fluid_intelligence,unrelated,bridge,FC,-0.010012389601841282,0,4
fluid_intelligence,unrelated,bridge,SC,-0.012002373976928618,0,4
fluid_intelligence,shuffled,prod,FC,-0.04170528017804622,0,4
fluid_intelligence,shuffled,prod,SC,-0.011537855339975202,0,4
fluid_intelligence,shuffled,mean,FC,-0.05458467688528635,0,4
fluid_intelligence,shuffled,mean,SC,-0.024494595434921235,0,4
fluid_intelligence,shuffled,max,FC,-0.04899104915710294,0,4
fluid_intelligence,shuffled,max,SC,-0.024857874317147883,0,4
fluid_intelligence,shuffled,bridge,FC,-0.04309225579830155,0,4
fluid_intelligence,shuffled,bridge,SC,-0.029797581595666357,0,4
fluid_intelligence,random,prod,FC,-0.0287928221366623,0,4
fluid_intelligence,random,prod,SC,0.0004924322138347319,0,4
fluid_intelligence,random,mean,FC,-0.032141178243149326,0,4
fluid_intelligence,random,mean,SC,0.0003286224917963443,0,4
fluid_intelligence,random,max,FC,-0.022902776121282175,0,4
fluid_intelligence,random,max,SC,0.00158330306415712,0,4
fluid_intelligence,random,bridge,FC,-0.004164536203619353,0,4
fluid_intelligence,random,bridge,SC,-0.00045669675254214614,0,4
fluid_intelligence,matched,prod,FC,0.03708072301094215,1,0
fluid_intelligence,matched,prod,SC,-0.012327042159359964,1,0
fluid_intelligence,matched,mean,FC,0.021114995660688016,1,0
fluid_intelligence,matched,mean,SC,-0.02195901453504703,1,0
fluid_intelligence,matched,max,FC,0.00850014688978274,1,0
fluid_intelligence,matched,max,SC,-0.0273335995082929,1,0
fluid_intelligence,matched,bridge,FC,-0.013860430541259839,1,0
fluid_intelligence,matched,bridge,SC,-0.02382221069080579,1,0
fluid_intelligence,unrelated,prod,FC,0.03082983179148451,1,0
fluid_intelligence,unrelated,prod,SC,-0.03560939398568498,1,0
fluid_intelligence,unrelated,mean,FC,0.004186171867225852,1,0
fluid_intelligence,unrelated,mean,SC,-0.027736242685877485,1,0
fluid_intelligence,unrelated,max,FC,-0.007073494521441828,1,0
fluid_intelligence,unrelated,max,SC,-0.011528977807870973,1,0
fluid_intelligence,unrelated,bridge,FC,-0.031512191512386295,1,0
fluid_intelligence,unrelated,bridge,SC,-0.005160534912260064,1,0
fluid_intelligence,shuffled,prod,FC,-0.027683821415150932,1,0
fluid_intelligence,shuffled,prod,SC,-0.012794500993376066,1,0
fluid_intelligence,shuffled,mean,FC,-0.03807853418276905,1,0
fluid_intelligence,shuffled,mean,SC,-0.0315964493504207,1,0
fluid_intelligence,shuffled,max,FC,-0.03801296266879023,1,0
fluid_intelligence,shuffled,max,SC,-0.0318603079429766,1,0
fluid_intelligence,shuffled,bridge,FC,-0.0321163020117286,1,0
fluid_intelligence,shuffled,bridge,SC,-0.04148090807488563,1,0
fluid_intelligence,random,prod,FC,-0.041396580359654024,1,0
fluid_intelligence,random,prod,SC,-0.010508597495529425,1,0
fluid_intelligence,random,mean,FC,-0.04697707540542462,1,0
fluid_intelligence,random,mean,SC,-0.016759293286084047,1,0
fluid_intelligence,random,max,FC,-0.03453926477997875,1,0
fluid_intelligence,random,max,SC,-0.022520868818637595,1,0
fluid_intelligence,random,bridge,FC,-0.007817732279449983,1,0
fluid_intelligence,random,bridge,SC,-0.013528174381035627,1,0
fluid_intelligence,matched,prod,FC,-0.020922041831546907,1,1
fluid_intelligence,matched,prod,SC,-0.026088219669659407,1,1
fluid_intelligence,matched,mean,FC,-0.04315391235876596,1,1
fluid_intelligence,matched,mean,SC,-0.034492828208927975,1,1
fluid_intelligence,matched,max,FC,-0.048790976360153185,1,1
fluid_intelligence,matched,max,SC,-0.035046596389492674,1,1
fluid_intelligence,matched,bridge,FC,-0.051629460525257846,1,1
fluid_intelligence,matched,bridge,SC,-0.027618184936910064,1,1
fluid_intelligence,unrelated,prod,FC,-0.03212922123064056,1,1
fluid_intelligence,unrelated,prod,SC,-0.04589285069421112,1,1
fluid_intelligence,unrelated,mean,FC,-0.052969689543332615,1,1
fluid_intelligence,unrelated,mean,SC,-0.04461833029396756,1,1
fluid_intelligence,unrelated,max,FC,-0.05373175886178397,1,1
fluid_intelligence,unrelated,max,SC,-0.03053169119594173,1,1
fluid_intelligence,unrelated,bridge,FC,-0.055365813484227075,1,1
fluid_intelligence,unrelated,bridge,SC,-0.02275113915492731,1,1
fluid_intelligence,shuffled,prod,FC,0.010909627035711437,1,1
fluid_intelligence,shuffled,prod,SC,0.00866810470145166,1,1
fluid_intelligence,shuffled,mean,FC,0.009014336991533475,1,1
fluid_intelligence,shuffled,mean,SC,-0.003174799298335684,1,1
fluid_intelligence,shuffled,max,FC,0.0033977672761052622,1,1
fluid_intelligence,shuffled,max,SC,-0.005403471838857574,1,1
fluid_intelligence,shuffled,bridge,FC,0.0012543343310116974,1,1
fluid_intelligence,shuffled,bridge,SC,-0.01867468226159469,1,1
fluid_intelligence,random,prod,FC,0.009965943051126929,1,1
fluid_intelligence,random,prod,SC,-0.0010307972093173004,1,1
fluid_intelligence,random,mean,FC,0.012071262372870187,1,1
