seed,outer_fold,model,pearson,rmse,mae,lf0_w_f0,lf0_w_s,lf1_w_fp,lf1_w_s,lf2_w_f0,lf2_w_s,lf2_w_fp
1,3,A3,0.10562836075595186,5.3602362116827,4.556322485118103,,,,,,,
1,3,LF0,0.29231151079855244,5.138252152032723,4.4436558588237505,,,,,,,
1,3,LF1,0.28331564139356413,4.977861063509075,4.24427489354662,,,,,,,
1,3,LF2,0.27204345494210147,5.049683025199941,4.344713460297557,0.5,0.5,0.65,0.35,0.2,0.35,0.45
1,4,A4,0.19086570678447518,5.068538392095665,4.238181658234563,,,,,,,
1,4,A3,0.2847366838816226,4.703261440694913,4.020414631781848,,,,,,,
1,4,LF0,0.2778051056445768,4.766733617671795,3.9356807001073264,,,,,,,
1,4,LF1,0.3517337366313573,4.569133962899343,3.8395470595341843,,,,,,,
1,4,LF2,0.3160493486261661,4.6480862903382025,3.887509612702199,0.2,0.8,0.4,0.6,0.1,0.65,0.25
2,0,A4,0.3959183360940848,4.804851856364161,4.02080477926023,,,,,,,
2,0,A3,0.25734232681929853,5.030034735288221,4.342788043576053,,,,,,,
2,0,LF0,0.45606804533330014,4.628559485223861,3.8299468351977124,,,,,,,
2,0,LF1,0.4548573823926859,4.687460837244794,4.0170641860468415,,,,,,,
2,0,LF2,0.4591123542617008,4.640993877038737,3.9185371533816857,0.25,0.75,0.5,0.5,0.15,0.6,0.25
2,1,A4,0.2768611435853413,4.723437275937539,4.1005575949646795,,,,,,,
2,1,A3,0.17965542044395788,4.711218726560287,4.145536532622301,,,,,,,
2,1,LF0,0.31015129925694307,4.578091384822643,3.8813151976115363,,,,,,,
2,1,LF1,0.3224290543571169,4.4666957844825195,3.840056849150298,,,,,,,
2,1,LF2,0.31958949772712003,4.488504925141986,3.84598960230201,0.25,0.75,0.45,0.55,0.1,0.6,0.3
2,2,A4,0.31648585444681476,4.587303915947204,3.7125385047058477,,,,,,,
2,2,A3,0.23444946975781128,4.625755250372523,3.704448276370395,,,,,,,
2,2,LF0,0.4169984672151114,4.287176667240254,3.5035985846013924,,,,,,,
2,2,LF1,0.43574407373714596,4.2483889002627615,3.4992249162995406,,,,,,,
2,2,LF2,0.4284856067765199,4.2600964096626885,3.4970524053432563,0.2,0.8,0.4,0.6,0.05,0.6,0.35
2,3,A4,0.456534374628647,4.502795816108271,3.621318460546771,,,,,,,
2,3,A3,0.41111532970485287,4.623803968621616,3.8372422527476755,,,,,,,
2,3,LF0,0.45983561834196096,4.496542004092436,3.6064311632889763,,,,,,,
2,3,LF1,0.4709397094838847,4.511768627865176,3.7062275334324437,,,,,,,
2,3,LF2,0.4645972896976098,4.493199347961611,3.62032320463903,0.2,0.8,0.4,0.6,0.15,0.75,0.1
2,4,A4,0.30214649345152245,4.787530200276909,3.9827566462308117,,,,,,,
2,4,A3,0.19411004816999097,4.818368508550094,4.221191746829526,,,,,,,
2,4,LF0,0.3633474462544707,4.596830914346666,3.8600337575111388,,,,,,,
2,4,LF1,0.36645421068561046,4.528252834495875,3.8507614847583205,,,,,,,
2,4,LF2,0.36645421068561046,4.528252834495875,3.8507614847583205,0.2,0.8,0.45,0.55,0.0,0.55,0.45
