experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard
E0,baseline,none,none,4,2,seed04_fold02,280,50,82,20,4.260239601135254,43.09557485580444,16.78214285714286,4.843888164586422,False,0.1619378924369812,5.204911708831787,4.289405822753906,-0.4847676753997803,-0.45060944477491427,0.0,-0.5957608222961426,-0.5714285714285715,0.0,-0.47747549414634705,-0.45060944477491427,0.0
E0,baseline,none,none,4,3,seed04_fold03,280,50,82,11,4.8498711585998535,33.143845558166504,16.989285714285714,4.849509495499392,False,0.18834100663661957,5.001279830932617,4.085809707641602,-0.3736571967601776,-0.39728781822622417,0.0,-0.443820595741272,-0.38095238095238104,0.0,-0.3729589283466339,-0.39728781822622417,0.0
E0,baseline,none,none,4,4,seed04_fold04,280,50,82,29,4.697969913482666,54.08859944343567,16.90714285714286,4.945988892269066,False,0.13249635696411133,4.764509201049805,3.7657556533813477,-0.5303822159767151,-0.5212255166488936,0.0,-0.6271259784698486,-0.6428571428571429,0.0,-0.5334193110466003,-0.5212255166488936,0.0
E0,baseline,none,none,5,0,seed05_fold00,279,50,83,15,4.874679088592529,38.695189476013184,16.97132616487455,4.901089999941164,False,0.20872987806797028,4.66298246383667,3.8146369457244873,0.13633224368095398,0.10960473333933707,0.17647058823529413,0.0984884649515152,0.19047619047619052,0.5,0.15360169112682343,0.10960473333933707,0.17647058823529413
E0,baseline,none,none,5,1,seed05_fold01,279,50,83,26,4.88585090637207,52.300296783447266,16.74910394265233,4.846917239231855,False,0.3069198429584503,4.78572416305542,4.173275947570801,-0.44998371601104736,-0.43569217414637273,0.0,-0.48129892349243164,-0.5000000000000001,0.0,-0.44325271248817444,-0.43569217414637273,0.0
E0,baseline,none,none,5,2,seed05_fold02,280,50,82,17,4.997313022613525,43.199522733688354,17.05,4.881927312620937,False,0.06909327954053879,4.97780704498291,4.034787178039551,-0.47015079855918884,-0.46085726510627256,0.0,-0.5790632367134094,-0.5476190476190477,0.0,-0.4632321000099182,-0.46085726510627256,0.0
E0,baseline,none,none,5,3,seed05_fold03,280,50,82,14,4.97873592376709,48.880749225616455,16.764285714285716,4.896224076171518,False,0.12751071155071259,4.799107551574707,4.1927995681762695,-0.6048790812492371,-0.6174761215447355,0.0,-0.708466112613678,-0.6666666666666669,0.0,-0.603193461894989,-0.6174761215447355,0.0
E0,baseline,none,none,5,4,seed05_fold04,280,50,82,43,3.8283421993255615,92.12293148040771,16.764285714285716,4.859615967022371,False,0.11179833114147186,5.556427955627441,4.538074970245361,-0.7086859941482544,-0.6661282977962425,0.0,-0.8937405943870544,-0.7857142857142858,0.0,-0.7078388929367065,-0.6661282977962425,0.0
E0,baseline,none,none,6,0,seed06_fold00,279,50,83,10,4.860988140106201,43.37889075279236,16.91756272401434,4.936552256539939,False,0.07468162477016449,4.823355197906494,4.080801486968994,-0.3501704931259155,-0.3473222030141192,0.0,-0.36155372858047485,-0.4047619047619048,0.0,-0.34551894664764404,-0.3473222030141192,0.0
E0,baseline,none,none,6,1,seed06_fold01,279,50,83,2,4.879810333251953,44.79908776283264,16.96415770609319,4.854012705412339,False,0.190873384475708,5.018838405609131,4.280498504638672,-0.5295109748840332,-0.5289463403488351,0.0,-0.536158561706543,-0.4761904761904762,0.0,-0.5187526345252991,-0.5289463403488351,0.0
E0,baseline,none,none,6,2,seed06_fold02,280,50,82,48,4.767420291900635,104.94197463989258,16.978571428571428,4.837307186475398,False,0.12977273762226105,5.071223258972168,4.297769069671631,-0.5385955572128296,-0.5668063432396865,0.0,-0.6684927940368652,-0.6190476190476191,0.0,-0.5301069617271423,-0.5668063432396865,0.0
E0,baseline,none,none,6,3,seed06_fold03,280,50,82,43,4.379062175750732,97.08036422729492,16.857142857142858,4.999387717613069,False,0.08382053673267365,4.679091453552246,3.840531587600708,-0.15373842418193817,-0.2029937392830015,0.0,-0.2023194581270218,-0.19047619047619052,0.2,-0.1342630535364151,-0.2029937392830015,0.0
E0,baseline,none,none,6,4,seed06_fold04,280,50,82,46,4.572862148284912,95.85005617141724,16.714285714285715,4.8818698324744885,False,0.31359121203422546,4.920236587524414,4.264222621917725,-0.4518581032752991,-0.44678898544085527,0.0,-0.49807846546173096,-0.4285714285714286,0.0,-0.44367825984954834,-0.44678898544085527,0.0
E0,baseline,none,none,7,0,seed07_fold00,279,50,83,13,4.491420269012451,49.28444814682007,16.96057347670251,4.941437077204398,False,0.1603212058544159,4.940286159515381,4.113214492797852,-0.529541015625,-0.5277477648714833,0.0,-0.6366074085235596,-0.523809523809524,0.0,-0.5200081467628479,-0.5277477648714833,0.0
