experiment_id,seed,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,gap_mae_top_vs_random,gap_mae_top_vs_bottom
M2_TRUE,4,0.015469678503295762,0.0241853129505399,1.7633716253519247,1.7457566027031954,1.6011216013129588,1.2226415617901054
M3_E0,0,0.0013545493682403874,-0.01960653958740418,-0.13732809685737185,0.4306261981668742,-0.2320021364034884,0.27507936213698125
M3_E0,1,0.008009022698330062,0.01795781733644492,0.9241368851332006,1.2146258044090046,0.980660312953679,1.238475497130337
M3_E0,2,-0.028370925708425983,-0.04914651921305114,0.16250786151966135,0.19003552551325492,0.051529054034464575,0.018134087954847545
M3_E0,3,0.0660422130838831,0.09152143208754172,-0.22992753905728222,0.20473100092698857,-0.2243490517944262,0.12105329741805386
M3_E0,4,0.0242637623037367,0.0072004472662169335,0.47677638858635707,0.8794833092925629,0.28190089708233235,0.656732525870696
M3_RANDOM,0,0.0488735085854299,0.040514112404702464,0.06295739965963723,-0.367215412214111,0.1802049110965132,-0.2782395598247603
M3_RANDOM,1,0.004521320385083061,0.027204713843233745,0.3972443188294382,1.0626728388373936,0.38552616515728744,1.0054173327799911
M3_RANDOM,2,0.0217099327939216,0.019234376723037332,0.12774789340022358,-0.09388557063479022,0.2361678326541929,0.13175256997992113
M3_RANDOM,3,0.05533848916140205,0.09100475998973649,0.15559204460070025,0.2881050689673776,0.18785258140982247,0.2855754391947607
M3_RANDOM,4,0.036136800466142524,0.033795915373454916,0.32764890483225156,0.5843437861047727,0.31510384564338045,0.6058517244222179
M3_SHUFFLED,0,0.0680811537373031,0.07472537068672006,0.2386743771749255,0.5686562358547675,0.3376223772195914,0.6104615009852904
M3_SHUFFLED,1,0.04453963206764144,0.0381635478657591,-0.002074603085768692,0.11343277209615613,0.04117512704713383,0.128496942597208
M3_SHUFFLED,2,0.05696702503667124,0.05383979463862062,0.20006517456173528,0.6021204684534371,0.2496891225877289,0.6368487948388492
M3_SHUFFLED,3,0.01601409573650872,0.01911003161204544,0.7284594865486211,1.008166520416841,0.7504459550332351,0.9826591405293408
M3_SHUFFLED,4,0.0020132614323715194,-0.009659943876452281,0.48637298356286696,1.3660170560567388,0.4640554380210305,1.2719583489616497
M3_TRUE,0,0.05291455907262166,0.051976893922314485,0.32961910289923446,0.3990245114417662,0.3439683026235377,0.3241772516578104
M3_TRUE,1,0.07274497209463816,0.08446044555456442,0.2113691334894036,0.26818929982058604,0.34482866720246974,0.286584260172873
M3_TRUE,2,0.02151888268010358,0.02366992794639602,0.13951151276666002,0.27128073194830465,0.1524895664098432,0.30837479453255834
M3_TRUE,3,0.040819520042104235,0.036679771897448546,0.08700533632142113,0.10880066906007677,0.23117040590389576,0.3034157915400589
M3_TRUE,4,0.04233707559366159,0.03714705620386517,-0.17892325583562044,-0.21920267289238854,-0.10384205770139462,-0.20950170695335188
NCR_RANDOM,0,0.0258891702063193,0.023300668933634937,1.508102118635647,1.5670778248486328,1.4893268135787843,1.4756569096861718
NCR_RANDOM,1,0.0414438579907645,0.035464406683248836,0.3886523675418294,1.3987117311784725,0.45474896860763236,1.3605981825252642
NCR_RANDOM,2,-0.004263198933403223,0.008596499432474269,0.24347648233923386,1.292552855821967,0.18974567744319853,1.104308629083104
NCR_RANDOM,3,0.04769530800935069,0.058192618891272765,1.618122105851279,2.2456681169294668,1.664971990641941,2.257171092009128
NCR_RANDOM,4,0.012759761750528653,0.020218857382087514,0.30721078325823453,1.5773402420205056,0.239232812673477,1.445790855380076
NCR_SHUFFLED,0,0.02972173702271328,0.03750647612685913,3.066268462918343,3.361691803552268,3.0629369330672263,3.297287737838333
NCR_SHUFFLED,1,0.021721321010576448,0.014225436678807254,0.8805682648620555,1.5757350126298402,0.9103063929116179,1.5191017988272475
NCR_SHUFFLED,2,0.016949284324742964,0.030504142539813327,0.6471964332124817,1.7944624495453574,0.5318990334341376,1.5887783356726992
NCR_SHUFFLED,3,0.04159752435314344,0.05576834006033975,2.2300807158793106,2.828349658461129,2.1878954124502505,2.7909475684964336
NCR_SHUFFLED,4,0.008519523109539379,0.023618930598743,5.302786250491692,6.790090368770751,5.489752051969935,7.086716057553405
NCR_TRUE,0,0.0252295158078198,0.02282942010847754,1.4298367056697672,1.4891487152774747,1.423102212214271,1.413804040254116
NCR_TRUE,1,0.04735133639275038,0.05220783580607937,0.7280618474789833,1.60208439640649,0.7499870005539884,1.5644110754443266
NCR_TRUE,2,0.03550249469899425,0.06676187485068132,0.934658864279041,1.3430159424636918,0.711213682046948,1.1685132981537685
NCR_TRUE,3,0.046514038419223185,0.059714611216649206,2.04319144154455,2.567090224123194,2.0706335207795394,2.5637395080770826
NCR_TRUE,4,0.005292827109272221,0.016270694043675295,1.6858065006147362,2.2633274867194215,1.751194264228158,2.549897721720979
