method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_alpha1,best_alpha2,best_val_rmse,runtime_seconds,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,0,3,seed00_fold03,280,50,82,0.1,0.0,3.8595447490682564,6.207455158233643,False,0.44192459326304917,4.6263990783558535,3.749511989250389,-0.07592022560915257,-0.03439049705916273,0.05263157894736842
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,0,4,seed00_fold04,280,50,82,0.1,0.0,4.3242939137098,6.1752028465271,False,0.28275184426653543,4.522229486267992,3.7112168217283528,-0.04252212894419116,0.0053786074546163945,0.1111111111111111
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,0,4,seed00_fold04,280,50,82,0.1,0.0,4.32429391370983,6.362231492996216,False,0.28275184426653455,4.522229486267993,3.7112168217283545,-0.036453221339762434,0.02248106715872833,0.05263157894736842
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,1,0,seed01_fold00,279,50,83,0.1,0.5,4.777199044005708,6.270544052124023,False,0.4814986234143735,4.516353130654466,3.762557583918961,-0.9375286665787123,-0.743920840340866,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,1,0,seed01_fold00,279,50,83,0.1,0.0,4.798861229752357,6.219506025314331,False,0.4755464517842806,4.544227706813105,3.6811748057363123,-0.024808040975907237,-0.02713774643304131,0.17647058823529413
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,1,0,seed01_fold00,279,50,83,0.1,0.0,4.7988612297523785,6.147684097290039,False,0.475546451784282,4.5442277068131,3.6811748057363096,0.006075782698436227,0.04925998539191943,0.05263157894736842
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,1,1,seed01_fold01,279,50,83,1.0,5.0,4.398349963633298,6.34952187538147,False,0.28336363844593837,4.632736124178574,4.026866115741298,-0.8878733494829619,-0.7443403417579392,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,1,1,seed01_fold01,279,50,83,1.0,10.0,4.388728603525414,6.305549621582031,False,0.31450583798945414,4.577432554112513,3.9799960773897105,-0.9244275476750821,-0.7508625899805288,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,1,1,seed01_fold01,279,50,83,1.0,5.0,4.361190240953658,6.125432252883911,False,0.2467282821720081,4.692812594279051,4.098895683946597,-0.7461119495886851,-0.6554491984776842,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,1,2,seed01_fold02,280,50,82,1.0,0.0,4.785381872074188,6.380044460296631,False,0.3464358348057979,4.5815995900807245,3.773858050096841,-0.03546991853659627,0.026203856373604666,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,1,2,seed01_fold02,280,50,82,1.0,0.0,4.785381872074197,6.337197303771973,False,0.34643583480579776,4.581599590080725,3.773858050096841,-0.13131184704366716,-0.09606582450975021,0.05263157894736842
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,1,2,seed01_fold02,280,50,82,0.1,10.0,4.697526994368116,6.843067407608032,False,0.30475532209602935,4.7844008194026095,3.7405556827065736,-0.7698014483597472,-0.6343597432053204,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,1,3,seed01_fold03,280,50,82,1.0,0.0,4.4751656041349985,6.439810514450073,False,0.3949011470582355,4.715564973994418,3.95464137174157,-0.12725306732187794,-0.09599590760690467,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,1,3,seed01_fold03,280,50,82,1.0,0.0,4.475165604134992,6.220829010009766,False,0.394901147058235,4.71556497399442,3.954641371741571,-0.17589860720984915,-0.18271783745779946,0.05263157894736842
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,1,3,seed01_fold03,280,50,82,1.0,0.0,4.475165604134994,6.537601470947266,False,0.394901147058235,4.71556497399442,3.954641371741571,-0.0753554270377038,0.012032445315803638,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,1,4,seed01_fold04,280,50,82,1.0,0.0,4.52771409498248,6.674292802810669,False,0.17908321467096794,4.640601082521901,3.966806437568475,0.076589944256273,0.12193008449810518,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,1,4,seed01_fold04,280,50,82,1.0,0.0,4.527714094982476,6.532309055328369,False,0.1790832146709678,4.640601082521901,3.966806437568475,-0.14682647047229253,-0.14075770762150705,0.05263157894736842
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,1,4,seed01_fold04,280,50,82,1.0,0.0,4.52771409498247,6.996023893356323,False,0.17908321467096777,4.640601082521901,3.966806437568475,0.008664412308367585,0.07460116095798257,0.05263157894736842
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,2,0,seed02_fold00,279,50,83,1.0,0.0,4.723769653754442,6.7012856006622314,False,0.4712129557098481,4.286977904962876,3.5032035931980516,-0.0030724224607776504,0.04493159820722721,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,2,0,seed02_fold00,279,50,83,1.0,10.0,4.687533234642633,6.423503875732422,False,0.47835051925290245,4.316039397552216,3.5499446357700477,-0.9325772990923092,-0.7490247742485894,0.0
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,2,0,seed02_fold00,279,50,83,1.0,0.5,4.723653264476217,6.852872610092163,False,0.4750766430318663,4.28812928763666,3.5134968216017746,-0.4630846395114277,-0.4719563295275439,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,2,1,seed02_fold01,279,50,83,0.1,10.0,4.334441280869264,9.608494520187378,False,0.4145268054338245,4.417093375965132,3.895105817431439,-0.9603517982908443,-0.741573630031052,0.0
