target,prior_type,lifting,modality,metric,value,seed,fold
fluid_intelligence,matched,bridge,FC,ridge_pearson,-0.06806866602684364,0,3
fluid_intelligence,matched,bridge,SC,ridge_pearson,-0.04591393916389498,0,3
fluid_intelligence,unrelated,bridge,FC,ridge_pearson,-0.14431920934602938,0,3
fluid_intelligence,unrelated,bridge,SC,ridge_pearson,-0.03034688159231126,0,3
fluid_intelligence,shuffled,bridge,FC,ridge_pearson,0.009201527587462403,0,3
fluid_intelligence,shuffled,bridge,SC,ridge_pearson,0.013509073531186484,0,3
fluid_intelligence,random,bridge,FC,ridge_pearson,0.014033340463729508,0,3
fluid_intelligence,random,bridge,SC,ridge_pearson,0.003371847427472037,0,3
fluid_intelligence,matched,prod,FC,ridge_pearson,-0.06583258369787731,0,4
fluid_intelligence,matched,prod,SC,ridge_pearson,-0.03213887454965306,0,4
fluid_intelligence,unrelated,prod,FC,ridge_pearson,-0.10777447359847252,0,4
fluid_intelligence,unrelated,prod,SC,ridge_pearson,-0.035086059350807525,0,4
fluid_intelligence,shuffled,prod,FC,ridge_pearson,-0.007204655105781158,0,4
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.05156919050147418,0,4
fluid_intelligence,random,prod,FC,ridge_pearson,-0.025690875588981584,0,4
fluid_intelligence,random,prod,SC,ridge_pearson,0.01370531564806184,0,4
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.08622062719291654,0,4
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.05064356513941012,0,4
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.14139503248264051,0,4
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.04640151162502376,0,4
fluid_intelligence,shuffled,mean,FC,ridge_pearson,-0.005447308586079844,0,4
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.05059913326405542,0,4
fluid_intelligence,random,mean,FC,ridge_pearson,-0.02508584927514597,0,4
fluid_intelligence,random,mean,SC,ridge_pearson,0.014710589898824313,0,4
fluid_intelligence,matched,max,FC,ridge_pearson,-0.10042701800746762,0,4
fluid_intelligence,matched,max,SC,ridge_pearson,-0.04432271151190062,0,4
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.13698570176144273,0,4
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.035747493825986784,0,4
fluid_intelligence,shuffled,max,FC,ridge_pearson,-0.006453129002231052,0,4
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.04299767785711882,0,4
fluid_intelligence,random,max,FC,ridge_pearson,-0.005474020518262612,0,4
fluid_intelligence,random,max,SC,ridge_pearson,0.01665427491442316,0,4
fluid_intelligence,matched,bridge,FC,ridge_pearson,-0.06813169517016722,0,4
fluid_intelligence,matched,bridge,SC,ridge_pearson,-0.04953460262904749,0,4
fluid_intelligence,unrelated,bridge,FC,ridge_pearson,-0.11987054760612087,0,4
fluid_intelligence,unrelated,bridge,SC,ridge_pearson,-0.0396958375532437,0,4
fluid_intelligence,shuffled,bridge,FC,ridge_pearson,0.00013400380513812083,0,4
fluid_intelligence,shuffled,bridge,SC,ridge_pearson,0.021131942429193886,0,4
fluid_intelligence,random,bridge,FC,ridge_pearson,0.004863268989977558,0,4
fluid_intelligence,random,bridge,SC,ridge_pearson,0.0005769048358895759,0,4
fluid_intelligence,matched,prod,FC,ridge_pearson,-0.0821320699687104,1,0
fluid_intelligence,matched,prod,SC,ridge_pearson,-0.04030019851412919,1,0
fluid_intelligence,unrelated,prod,FC,ridge_pearson,-0.12036666716406394,1,0
fluid_intelligence,unrelated,prod,SC,ridge_pearson,-0.047184815844016376,1,0
fluid_intelligence,shuffled,prod,FC,ridge_pearson,0.0009573875241623447,1,0
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.04715908492178483,1,0
fluid_intelligence,random,prod,FC,ridge_pearson,-0.032118328020620895,1,0
fluid_intelligence,random,prod,SC,ridge_pearson,0.010505972488172893,1,0
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.10346887507195662,1,0
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.058537409745261865,1,0
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.15948611761674225,1,0
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.05341369080384257,1,0
fluid_intelligence,shuffled,mean,FC,ridge_pearson,0.004071039746425278,1,0
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.04291793594481437,1,0
fluid_intelligence,random,mean,FC,ridge_pearson,-0.036279813883651965,1,0
fluid_intelligence,random,mean,SC,ridge_pearson,0.016709061945223015,1,0
fluid_intelligence,matched,max,FC,ridge_pearson,-0.11063938887102878,1,0
fluid_intelligence,matched,max,SC,ridge_pearson,-0.05309118091605546,1,0
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.14782257379687444,1,0
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.037556594122620315,1,0
fluid_intelligence,shuffled,max,FC,ridge_pearson,0.003681986512322836,1,0
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.03306612800639974,1,0
fluid_intelligence,random,max,FC,ridge_pearson,-0.013858129215106029,1,0
fluid_intelligence,random,max,SC,ridge_pearson,0.023879881542229517,1,0
fluid_intelligence,matched,bridge,FC,ridge_pearson,-0.07719983067450181,1,0
fluid_intelligence,matched,bridge,SC,ridge_pearson,-0.05266207507207829,1,0
fluid_intelligence,unrelated,bridge,FC,ridge_pearson,-0.13672637678509103,1,0
fluid_intelligence,unrelated,bridge,SC,ridge_pearson,-0.03707297358588847,1,0
fluid_intelligence,shuffled,bridge,FC,ridge_pearson,0.006351849699864937,1,0
fluid_intelligence,shuffled,bridge,SC,ridge_pearson,0.01294204052238239,1,0
fluid_intelligence,random,bridge,FC,ridge_pearson,-0.00566376619926921,1,0
fluid_intelligence,random,bridge,SC,ridge_pearson,0.013414841193089472,1,0
fluid_intelligence,matched,prod,FC,ridge_pearson,-0.08009851670907892,1,1
fluid_intelligence,matched,prod,SC,ridge_pearson,-0.047260520193830924,1,1
fluid_intelligence,unrelated,prod,FC,ridge_pearson,-0.11998064975463912,1,1
fluid_intelligence,unrelated,prod,SC,ridge_pearson,-0.05122490390733752,1,1
fluid_intelligence,shuffled,prod,FC,ridge_pearson,0.017155509757231922,1,1
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.0493904907798148,1,1
fluid_intelligence,random,prod,FC,ridge_pearson,0.0060776106787067356,1,1
fluid_intelligence,random,prod,SC,ridge_pearson,0.025425876670984872,1,1
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.10767391311983628,1,1
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.06462574243843527,1,1
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.16177297361903242,1,1
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.058176966208542014,1,1
fluid_intelligence,shuffled,mean,FC,ridge_pearson,0.013471494316702687,1,1
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.05097838078535658,1,1
fluid_intelligence,random,mean,FC,ridge_pearson,0.008532471563109857,1,1
fluid_intelligence,random,mean,SC,ridge_pearson,0.028966651859529874,1,1
fluid_intelligence,matched,max,FC,ridge_pearson,-0.12223933639056521,1,1
fluid_intelligence,matched,max,SC,ridge_pearson,-0.05548340854037566,1,1
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.15679274031464435,1,1
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.042676580221213005,1,1
fluid_intelligence,shuffled,max,FC,ridge_pearson,0.006154691039729774,1,1
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.044833413487163576,1,1
fluid_intelligence,random,max,FC,ridge_pearson,0.026909955066890756,1,1
fluid_intelligence,random,max,SC,ridge_pearson,0.03241774432466755,1,1
fluid_intelligence,matched,bridge,FC,ridge_pearson,-0.08816573148920462,1,1
fluid_intelligence,matched,bridge,SC,ridge_pearson,-0.05410403241211134,1,1
fluid_intelligence,unrelated,bridge,FC,ridge_pearson,-0.1413659585961185,1,1
fluid_intelligence,unrelated,bridge,SC,ridge_pearson,-0.04059178403350859,1,1
fluid_intelligence,shuffled,bridge,FC,ridge_pearson,0.0006334114561536361,1,1
fluid_intelligence,shuffled,bridge,SC,ridge_pearson,0.02502892599243152,1,1
fluid_intelligence,random,bridge,FC,ridge_pearson,0.005053432890215084,1,1
fluid_intelligence,random,bridge,SC,ridge_pearson,0.0050720403087290795,1,1
fluid_intelligence,matched,prod,FC,ridge_pearson,-0.07962051618678817,1,2
fluid_intelligence,matched,prod,SC,ridge_pearson,-0.019589295587368133,1,2
fluid_intelligence,unrelated,prod,FC,ridge_pearson,-0.12606473501341486,1,2
fluid_intelligence,unrelated,prod,SC,ridge_pearson,-0.025410658389127472,1,2
fluid_intelligence,shuffled,prod,FC,ridge_pearson,-0.028735545734734174,1,2
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.04215749681928731,1,2
fluid_intelligence,random,prod,FC,ridge_pearson,-0.03327493989752345,1,2
fluid_intelligence,random,prod,SC,ridge_pearson,0.020180480055917133,1,2
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.10689153600390058,1,2
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.03522662506155418,1,2
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.17015968910154866,1,2
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.03259432049043797,1,2
fluid_intelligence,shuffled,mean,FC,ridge_pearson,-0.01987368541072332,1,2
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.04299472203763608,1,2
fluid_intelligence,random,mean,FC,ridge_pearson,-0.03640908215774391,1,2
fluid_intelligence,random,mean,SC,ridge_pearson,0.018722971280734593,1,2
fluid_intelligence,matched,max,FC,ridge_pearson,-0.11815467238325303,1,2
fluid_intelligence,matched,max,SC,ridge_pearson,-0.031995142655522835,1,2
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.1604100903834659,1,2
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.023507707948163342,1,2
fluid_intelligence,shuffled,max,FC,ridge_pearson,-0.016308009885811412,1,2
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.03602119651937305,1,2
fluid_intelligence,random,max,FC,ridge_pearson,-0.01395490040743307,1,2
fluid_intelligence,random,max,SC,ridge_pearson,0.01731398615673845,1,2
fluid_intelligence,matched,bridge,FC,ridge_pearson,-0.08737351944948722,1,2
fluid_intelligence,matched,bridge,SC,ridge_pearson,-0.03848624969868829,1,2
fluid_intelligence,unrelated,bridge,FC,ridge_pearson,-0.1488672590174402,1,2
fluid_intelligence,unrelated,bridge,SC,ridge_pearson,-0.02691383677395312,1,2
fluid_intelligence,shuffled,bridge,FC,ridge_pearson,0.004060218744176605,1,2
fluid_intelligence,shuffled,bridge,SC,ridge_pearson,0.020377572230732575,1,2
fluid_intelligence,random,bridge,FC,ridge_pearson,-0.003056599579978947,1,2
fluid_intelligence,random,bridge,SC,ridge_pearson,-0.006165745814809276,1,2
fluid_intelligence,matched,prod,FC,ridge_pearson,-0.07869981495782671,1,3
fluid_intelligence,matched,prod,SC,ridge_pearson,-0.040570666582972724,1,3
fluid_intelligence,unrelated,prod,FC,ridge_pearson,-0.10614447889521847,1,3
fluid_intelligence,unrelated,prod,SC,ridge_pearson,-0.04403403639893737,1,3
fluid_intelligence,shuffled,prod,FC,ridge_pearson,-0.022195326298765,1,3
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.052919615722646356,1,3
fluid_intelligence,random,prod,FC,ridge_pearson,-0.03033578210452186,1,3
fluid_intelligence,random,prod,SC,ridge_pearson,0.01083006092420419,1,3
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.09585568843999112,1,3
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.04890068967767949,1,3
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.13768058950361575,1,3
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.045695009894150415,1,3
fluid_intelligence,shuffled,mean,FC,ridge_pearson,-0.014487941811261687,1,3
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.049027328665305,1,3
fluid_intelligence,random,mean,FC,ridge_pearson,-0.02854165439972394,1,3
fluid_intelligence,random,mean,SC,ridge_pearson,0.01592969402157664,1,3
fluid_intelligence,matched,max,FC,ridge_pearson,-0.10113997466019159,1,3
fluid_intelligence,matched,max,SC,ridge_pearson,-0.03789707650480124,1,3
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.12736912665321537,1,3
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.03136670351961444,1,3
fluid_intelligence,shuffled,max,FC,ridge_pearson,-0.005036178744810702,1,3
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.038059597214725044,1,3
fluid_intelligence,random,max,FC,ridge_pearson,-0.008224245412938163,1,3
fluid_intelligence,random,max,SC,ridge_pearson,0.02482824176497795,1,3
fluid_intelligence,matched,bridge,FC,ridge_pearson,-0.06771421495299002,1,3
fluid_intelligence,matched,bridge,SC,ridge_pearson,-0.03392926935120165,1,3
fluid_intelligence,unrelated,bridge,FC,ridge_pearson,-0.11519773983395842,1,3
fluid_intelligence,unrelated,bridge,SC,ridge_pearson,-0.02706293708066092,1,3
fluid_intelligence,shuffled,bridge,FC,ridge_pearson,0.004777418135994242,1,3
fluid_intelligence,shuffled,bridge,SC,ridge_pearson,0.016172672679928498,1,3
fluid_intelligence,random,bridge,FC,ridge_pearson,0.008320868465094396,1,3
fluid_intelligence,random,bridge,SC,ridge_pearson,0.010736697028623475,1,3
fluid_intelligence,matched,prod,FC,ridge_pearson,-0.08054051654999021,1,4
fluid_intelligence,matched,prod,SC,ridge_pearson,-0.027628303052320814,1,4
fluid_intelligence,unrelated,prod,FC,ridge_pearson,-0.11758142084722682,1,4
fluid_intelligence,unrelated,prod,SC,ridge_pearson,-0.031779375334107685,1,4
fluid_intelligence,shuffled,prod,FC,ridge_pearson,-0.006529053244056611,1,4
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.029117851721137646,1,4
fluid_intelligence,random,prod,FC,ridge_pearson,-0.03443809709288743,1,4
fluid_intelligence,random,prod,SC,ridge_pearson,0.021672998218893656,1,4
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.0940970588143075,1,4
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.041725443949482216,1,4
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.1513175200709425,1,4
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.03282761885214541,1,4
fluid_intelligence,shuffled,mean,FC,ridge_pearson,-0.0009559699240965017,1,4
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.02778640292802024,1,4
fluid_intelligence,random,mean,FC,ridge_pearson,-0.03821933871660179,1,4
fluid_intelligence,random,mean,SC,ridge_pearson,0.02456463360053564,1,4
fluid_intelligence,matched,max,FC,ridge_pearson,-0.09818761576023573,1,4
fluid_intelligence,matched,max,SC,ridge_pearson,-0.037006423950710576,1,4
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.14157424505822985,1,4
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.019093818381734823,1,4
fluid_intelligence,shuffled,max,FC,ridge_pearson,0.00017946078583639356,1,4
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.026140823431745102,1,4
fluid_intelligence,random,max,FC,ridge_pearson,-0.01727607700168064,1,4
fluid_intelligence,random,max,SC,ridge_pearson,0.029461226635601825,1,4
fluid_intelligence,matched,bridge,FC,ridge_pearson,-0.06168488032678138,1,4
fluid_intelligence,matched,bridge,SC,ridge_pearson,-0.039137262926442935,1,4
fluid_intelligence,unrelated,bridge,FC,ridge_pearson,-0.12543619510352727,1,4
fluid_intelligence,unrelated,bridge,SC,ridge_pearson,-0.019258253338780677,1,4
fluid_intelligence,shuffled,bridge,FC,ridge_pearson,0.007696359525721966,1,4
fluid_intelligence,shuffled,bridge,SC,ridge_pearson,0.0104404553222807,1,4
fluid_intelligence,random,bridge,FC,ridge_pearson,-0.004447080927917946,1,4
fluid_intelligence,random,bridge,SC,ridge_pearson,0.004021280463767728,1,4
fluid_intelligence,matched,prod,FC,ridge_pearson,-0.07219639159747696,2,0
fluid_intelligence,matched,prod,SC,ridge_pearson,-0.04197009944615779,2,0
fluid_intelligence,unrelated,prod,FC,ridge_pearson,-0.11320038717308185,2,0
fluid_intelligence,unrelated,prod,SC,ridge_pearson,-0.044096250970063165,2,0
fluid_intelligence,shuffled,prod,FC,ridge_pearson,-0.008058014061531941,2,0
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.05379017878501179,2,0
fluid_intelligence,random,prod,FC,ridge_pearson,-0.007668188213580569,2,0
fluid_intelligence,random,prod,SC,ridge_pearson,0.0018893512786723856,2,0
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.0946491896236892,2,0
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.0543321518710857,2,0
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.1574197169992519,2,0
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.043936444187569326,2,0
fluid_intelligence,shuffled,mean,FC,ridge_pearson,-0.00010974948111000581,2,0
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.05354754860926839,2,0
fluid_intelligence,random,mean,FC,ridge_pearson,-0.011870473634843825,2,0
fluid_intelligence,random,mean,SC,ridge_pearson,0.006090321641671325,2,0
fluid_intelligence,matched,max,FC,ridge_pearson,-0.10572430060522736,2,0
fluid_intelligence,matched,max,SC,ridge_pearson,-0.04453883277042493,2,0
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.1518270293723925,2,0
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.026676755945427063,2,0
fluid_intelligence,shuffled,max,FC,ridge_pearson,0.006127589412384829,2,0
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.045552126816437624,2,0
fluid_intelligence,random,max,FC,ridge_pearson,-0.0011315511234040246,2,0
fluid_intelligence,random,max,SC,ridge_pearson,0.015536478980427749,2,0
