target,prior_type,lifting,seed,marginal_pearson_mean,marginal_pearson_std,marginal_spearman_mean,marginal_spearman_std,ridge_pearson_mean,ridge_pearson_std,ridge_spearman_mean,ridge_spearman_std
fluid_intelligence,unrelated,max,7,0.0801287676307367,0.024484540396579508,0.07699773118741063,0.02682539149568114,-0.027217083101436168,0.006054677451559673,-0.06632290634960172,0.009464064399555109
fluid_intelligence,unrelated,max,8,0.07882187438861601,0.013294835301139127,0.07365972331818998,0.014725081026781666,-0.026815360216977953,0.005485482058925784,-0.06543447662443136,0.0038750361085867976
fluid_intelligence,unrelated,max,9,0.09733811519009598,0.018940890738076692,0.0937957194693822,0.020367774307867088,-0.027294754295497575,0.003449842558546222,-0.07007159748379767,0.00663250161397449
fluid_intelligence,unrelated,mean,0,0.09151026313986761,0.015719138305970864,0.08155692000103089,0.012778618497266492,-0.03732141183139425,0.003271022614759753,-0.07655067756212625,0.0030692537546243973
fluid_intelligence,unrelated,mean,1,0.05725886144958303,0.05651378847342764,0.043452027618873436,0.05612123517094903,-0.03703254346652387,0.007947213760622044,-0.07486678885884161,0.01019584253878753
fluid_intelligence,unrelated,mean,2,0.09375655542606318,0.031452624250895164,0.08248196036999991,0.027526386135427166,-0.03606227913277502,0.005206828282580907,-0.07372981775555427,0.009085743080572074
fluid_intelligence,unrelated,mean,3,0.09339027729128624,0.029646202599857997,0.08060761841718621,0.030743026180263325,-0.03835887092345926,0.005940527632477225,-0.07223153981991347,0.0019620215132796245
fluid_intelligence,unrelated,mean,4,0.11662835170798333,0.02961228963632097,0.10826316313013876,0.02697848614206874,-0.035988696187628115,0.0035073398934235937,-0.07277544991995115,0.00432494279570077
fluid_intelligence,unrelated,mean,5,0.08812398807920944,0.031603607328478445,0.0741700908352407,0.03436880445817914,-0.035930651662915036,0.004189172666642015,-0.07419987834755506,0.008019328925739361
fluid_intelligence,unrelated,mean,6,0.10155450828900063,0.04577095469609449,0.08638068767380581,0.04175944266042792,-0.03619778011663881,0.004797455995164901,-0.07349059952470263,0.006713207295971165
fluid_intelligence,unrelated,mean,7,0.09123049804987839,0.027185831196375475,0.08313817969577882,0.026931103833365753,-0.03684691291425055,0.0060657471322089155,-0.07443930942403963,0.009649839507583812
fluid_intelligence,unrelated,mean,8,0.09124534184686937,0.012354182159749394,0.08098503594005049,0.016087240559359627,-0.03651189469377528,0.005816993845519571,-0.07306804862015844,0.0035467948532278866
fluid_intelligence,unrelated,mean,9,0.10977878591749075,0.021984206770997123,0.09984423878330724,0.025796654274720117,-0.037421496849431204,0.0030707196797919705,-0.07797271752833533,0.0065131998825324125
fluid_intelligence,unrelated,prod,0,0.07882206296485132,0.007478127623619406,0.0818559801437377,0.015866337521944517,-0.03280255931561923,0.0037273587595861063,-0.08910887945349377,0.0038566980316019988
fluid_intelligence,unrelated,prod,1,0.04864667286224374,0.042807337221215096,0.03533959258300187,0.06596062908805689,-0.03225522344551979,0.007277461011962354,-0.08700912975331618,0.010246037963197447
fluid_intelligence,unrelated,prod,2,0.07901067215250421,0.02609997174997,0.07808420899644757,0.037784419880824656,-0.03264451871330546,0.0033620236028935485,-0.0871287381440153,0.007986394613888202
fluid_intelligence,unrelated,prod,3,0.07950401883273933,0.02065323349918895,0.08223561915631535,0.04043374396752207,-0.03295914694479085,0.0028554385907193576,-0.08434229995338832,0.00240019672829113
fluid_intelligence,unrelated,prod,4,0.10144265004659514,0.03254693378387774,0.11046096768220046,0.02901949118927211,-0.03168872653447948,0.003143392813725054,-0.08614603553898151,0.004021241622229808
fluid_intelligence,unrelated,prod,5,0.07862565362127093,0.019408973948795955,0.07156328274222834,0.03995498507809769,-0.031381173201006154,0.0028508515280983547,-0.08644441862857807,0.00941242841282038
fluid_intelligence,unrelated,prod,6,0.08533069456542156,0.03426930999614253,0.08412785305517703,0.04386794061200897,-0.030873332561916343,0.004161398692594302,-0.08579486439696557,0.007644944153939914
fluid_intelligence,unrelated,prod,7,0.07775772882938084,0.02290134815155114,0.08216950047076606,0.030976502169227663,-0.03154674677920012,0.0043190781610776335,-0.08741154826949368,0.009997963483344786
fluid_intelligence,unrelated,prod,8,0.08035899222893954,0.006845526584007466,0.08106838737175047,0.014545295470620593,-0.03164990947642888,0.0057647039825347015,-0.08621580970481559,0.003302587974664621
fluid_intelligence,unrelated,prod,9,0.09353262861999503,0.01766312440402551,0.09814686683130594,0.03177181163534118,-0.03211325547241523,0.0020412096085532043,-0.09013146327230995,0.006590704995580826
working_memory,matched,bridge,0,0.06518241561089559,0.02014795105939541,0.065015525660696,0.021182590660403927,-0.021048577514000483,0.004747685422422032,-0.05381289804485058,0.005357619022111352
working_memory,matched,bridge,1,0.06485051161624923,0.025714329651425793,0.0647240778075023,0.022277408996898965,-0.021594753205343792,0.006518685426387628,-0.0571920759177915,0.0076183070231814875
working_memory,matched,bridge,2,0.05186433685498093,0.030717236634485834,0.05000546075191611,0.03003334999964486,-0.02151366525663303,0.0042220486870894365,-0.05792651789359219,0.004319215241141504
working_memory,matched,bridge,3,0.07163099877241863,0.01707540301019613,0.06497621416381659,0.018170710946687707,-0.023391941233413316,0.0031845980226872556,-0.058563318293409196,0.007042443748746747
working_memory,matched,bridge,4,0.08055959182578286,0.013415743671332548,0.07588181591737064,0.017985656350585806,-0.020631449325408564,0.0023853201490457833,-0.05497698910050749,0.011387733016286547
working_memory,matched,bridge,5,0.05776670154714671,0.019635753353494344,0.058655799871982606,0.019915003191022677,-0.021201907901059868,0.0032761623954071905,-0.05655656839733603,0.007789597307276334
working_memory,matched,bridge,6,0.05343883423934122,0.02031745682060635,0.054539112894894125,0.02266342843443783,-0.021829987231696844,0.00460743605703368,-0.05594377352051867,0.0015098092263074333
working_memory,matched,bridge,7,0.06742255186258207,0.020002815022796456,0.06642320428216535,0.019113679592021336,-0.020974532001756176,0.005847855643674466,-0.05752328155654699,0.0040794375460610245
working_memory,matched,bridge,8,0.07104181856341099,0.016106813699350995,0.06878559651600086,0.01415911596514767,-0.022972042200744572,0.003688236458250268,-0.05548386881263355,0.007306658220188698
working_memory,matched,bridge,9,0.061382185070898654,0.03306897828591979,0.060324034881021796,0.03673538074856477,-0.02299005969427879,0.005647624061232575,-0.056566782314145705,0.006457412814301638
working_memory,matched,max,0,0.07082674662985569,0.023054407977936665,0.07064159344966739,0.022465714827069896,-0.02386829709554575,0.0027563022285153277,-0.06127965177838962,0.005703763006781357
working_memory,matched,max,1,0.07174643637989372,0.026940930151634113,0.07106364149633672,0.02583830586496848,-0.024587894980616164,0.006471644363049066,-0.0646138275512003,0.006511108533416397
working_memory,matched,max,2,0.053352399835022754,0.033049569922774566,0.0529829339495139,0.0334340884024999,-0.024205329816015975,0.0025493697184589977,-0.06480075185870396,0.004998169184729383
working_memory,matched,max,3,0.07516209767848807,0.02153596823729775,0.06879328330142778,0.017357524186765973,-0.02520678808220978,0.0020016734720623426,-0.06507850788415767,0.0057391328744725275
working_memory,matched,max,4,0.08490429505473623,0.011391937886497056,0.08159864791389615,0.016686273731253476,-0.02349433673528355,0.002244385920181993,-0.06185207586360837,0.0118065209745172
