target,prior_type,lifting,seed,fold,fraction,k,observed_mean,null_mean,null_std,enrichment_ratio,z_score,p_value
fluid_intelligence,unrelated,prod,0,1,0.3,4002,0.05833428406842485,0.05425276572760292,0.0007384431310665395,1.0752315257311449,5.527193861126396,0.0
fluid_intelligence,shuffled,prod,0,1,0.05,667,0.04853012166578971,0.05439214863018974,0.0017164244195014893,0.892226596815365,-3.415254932170315,1.0
fluid_intelligence,shuffled,prod,0,1,0.1,1334,0.04815184775937494,0.05421787616541469,0.0012338739391528286,0.8881175576200597,-4.9162464766900325,1.0
fluid_intelligence,shuffled,prod,0,1,0.2,2668,0.049442638986996065,0.054248074216068636,0.0008486505690287318,0.9114174042394085,-5.662442711341513,1.0
fluid_intelligence,shuffled,prod,0,1,0.3,4002,0.050098050548404154,0.05425276572760292,0.0007384431310665395,0.9234192925747026,-5.6263170505737845,1.0
fluid_intelligence,random,prod,0,1,0.05,667,0.05161572304690637,0.05439214863018974,0.0017164244195014893,0.9489553979167069,-1.6175635534769102,0.946
fluid_intelligence,random,prod,0,1,0.1,1334,0.052436876063615113,0.05421787616541469,0.0012338739391528286,0.9671510537158284,-1.4434214430547088,0.92
fluid_intelligence,random,prod,0,1,0.2,2668,0.05350040358448071,0.054248074216068636,0.0008486505690287318,0.9862175636206002,-0.8810111709977697,0.815
fluid_intelligence,random,prod,0,1,0.3,4002,0.053996209322012136,0.05425276572760292,0.0007384431310665395,0.9952710907517799,-0.34742879281744377,0.644
fluid_intelligence,matched,mean,0,1,0.05,667,0.06119103390183565,0.05439214863018974,0.0017164244195014893,1.1249975491476036,3.9610746586910843,0.0
fluid_intelligence,matched,mean,0,1,0.1,1334,0.0571396009128509,0.05421787616541469,0.0012338739391528286,1.0538885871981087,2.3679280797860534,0.006
fluid_intelligence,matched,mean,0,1,0.2,2668,0.05567031971391894,0.054248074216068636,0.0008486505690287318,1.0262174375478388,1.675890584128217,0.05
fluid_intelligence,matched,mean,0,1,0.3,4002,0.056556125344294605,0.05425276572760292,0.0007384431310665395,1.0424560773225202,3.119210565835892,0.001
