target,prior_type,lifting,seed,fold,marginal_pearson,marginal_spearman,ridge_pearson,ridge_spearman,ridge_alpha,n_train,n_val,n_test
fluid_intelligence,shuffled,max,1,2,-0.07081436969394125,-0.0629420222015594,0.023850640623433613,-0.012602570495942546,1000.0,280,50,82
fluid_intelligence,random,max,1,2,-0.050156595073993074,-0.05199716784636656,0.011193433285825076,-0.006099338146265745,1000.0,280,50,82
fluid_intelligence,matched,bridge,1,2,-0.0070086772719045905,-0.006562787693570546,-0.030120035507309996,-0.039609027880157716,1000.0,280,50,82
fluid_intelligence,unrelated,bridge,1,2,-0.01607676879602061,-0.019058118284366595,-0.024946838716121966,-0.06789127931883616,1000.0,280,50,82
fluid_intelligence,shuffled,bridge,1,2,-0.05911241112963796,-0.05377591987012603,0.014080448248647523,-0.012855339331023528,1000.0,280,50,82
fluid_intelligence,random,bridge,1,2,-0.004909016090829074,-0.007055202295128116,-0.00434128407200508,-0.0006786424080746846,1000.0,280,50,82
fluid_intelligence,matched,prod,1,3,0.0660456578244878,0.07518255322268089,-0.031108769784291584,-0.03298607636962993,1000.0,280,50,82
fluid_intelligence,unrelated,prod,1,3,0.08501719126164996,0.08262811314528057,-0.034675941725306456,-0.08438337368345807,1000.0,280,50,82
fluid_intelligence,shuffled,prod,1,3,-0.053136118790877984,-0.07967937673576073,0.035086887731378934,-0.005654086276263051,1000.0,280,50,82
fluid_intelligence,random,prod,1,3,-0.04189429421943235,-0.03850675466780895,0.006046193734848674,-0.016708023451622468,1000.0,280,50,82
fluid_intelligence,matched,mean,1,3,0.08191694197678966,0.07776846792139944,-0.037539916422011224,-0.04086384141267445,1000.0,280,50,82
fluid_intelligence,unrelated,mean,1,3,0.09949061582173603,0.09155059022743398,-0.03719477719560921,-0.06994245204575814,1000.0,280,50,82
fluid_intelligence,shuffled,mean,1,3,-0.06302934250566727,-0.05934766209510302,0.0327733840250886,-0.004675339227281109,1000.0,280,50,82
fluid_intelligence,random,mean,1,3,-0.045415453561496864,-0.042194229445364835,0.009600334686093628,-0.014785051671444345,1000.0,280,50,82
