edge_idx,roi_i,roi_j,lor_mean,lor_sd,delta_pmi,pmi_fluid,pmi_background
3786,39,82,-0.05561555665131357,0.2487203305576555,-4.062999185556695,-5.930399812740331,-1.8674006271836352
3787,39,83,1.0566955763749575,0.2487203305576554,5.462191143666821,3.594724301411182,-1.8674668422556393
3788,39,84,0.0,0.0,-2.6838565166737482,-6.622217400129764,-3.9383608834560158
3789,39,85,0.0,0.0,-2.7803678039004582,-5.930399812740331,-3.1500320088398723
3790,39,86,-0.05561555665131357,0.24872033055765547,1.3780119301207052,0.0,-1.3780119301207052
3791,39,87,0.0,0.0,-4.055935938109598,-5.930399812740331,-1.8744638746307327
3792,39,88,0.0,0.0,0.3167489360927359,0.0,-0.3167489360927359
3793,39,89,0.0,0.0,0.9444681422148161,0.0,-0.9444681422148161
3794,39,90,0.0,0.0,3.046270248743622,0.0,-3.046270248743622
3795,39,91,0.0,0.0,-2.9935705684310787,-5.930399812740331,-2.936829244309252
3796,39,92,0.0,0.0,-6.172137394689998,-7.027238917375584,-0.8551015226855856
3797,39,93,0.0,0.0,-4.7586155690340135,-5.930399812740331,-1.1717842437063175
3798,39,94,-0.11123111330262714,0.34236214298047946,-3.994580957640364,-5.930399812740331,-1.9358188550999667
3799,39,95,0.0,0.0,2.0471368422541945,0.0,-2.0471368422541945
3800,39,96,-0.11123111330262714,0.34236214298047946,1.494884051165738,0.0,-1.494884051165738
3801,39,97,0.0,0.0,1.799415104349822,0.0,-1.799415104349822
3802,39,98,0.0,0.0,-1.629037716540676,-5.930399812740331,-4.301362096199655
3803,39,99,0.0,0.0,-2.7236457586638645,-6.622217400129764,-3.8985716414658995
3804,39,100,0.0,0.0,-4.096393829021037,-5.930399812740331,-1.834005983719294
3805,39,101,0.0,0.0,-4.98602001600409,-5.930399812740331,-0.9443797967362405
3806,39,102,0.0,0.0,1.1372595794088498,0.0,-1.1372595794088498
3807,39,103,0.0,0.0,-3.745098098224261,-5.930399812740331,-2.1853017145160694
3808,39,104,0.0,0.0,0.9242502730057925,0.0,-0.9242502730057925
3809,39,105,0.0,0.0,-6.413969990645832,-7.027238917375584,-0.6132689267297524
3810,39,106,0.0,0.0,1.1717842437063175,0.0,-1.1717842437063175
3811,39,107,0.0,0.0,1.5230578440965212,0.0,-1.5230578440965212
3812,39,108,0.0,0.0,0.8550353076135817,0.0,-0.8550353076135817
3813,39,109,-0.11123111330262714,0.34236214298047946,0.6946796225372233,0.0,-0.6946796225372233
3814,39,110,-0.05561555665131357,0.2487203305576555,2.8261423578336284,0.0,-2.8261423578336284
3815,39,111,0.0,0.0,2.784370655595889,0.0,-2.784370655595889
3816,39,112,0.0,0.0,-3.2007790783641727,-5.930399812740331,-2.729620734376158
3817,39,113,0.0,0.0,1.1372595794088498,0.0,-1.1372595794088498
3818,39,114,1.1123111330262712,2.278129578503827e-16,6.136200810142709,2.902906714021749,-3.23329409612096
3819,39,115,0.0,0.0,1.192013189162037,0.0,-1.192013189162037
3820,40,41,0.11184340162460822,0.6607085175056729,1.1521672460102157,2.210424993566967,1.0582577475567514
3821,40,42,-0.05561555665131357,0.2487203305576555,-1.8697976762682664,-6.622217400129764,-4.752419723861498
3822,40,43,-0.22246222660525428,0.45648285730730587,2.5569885034290065,0.0,-2.5569885034290065
3823,40,44,-0.11123111330262714,0.34236214298047934,2.4710951957731924,0.0,-2.4710951957731924
3824,40,45,1.1123111330262712,2.278129578503827e-16,4.415616426352155,1.805181803938508,-2.610434622413648
3825,40,46,-0.05561555665131357,0.24872033055765547,3.9949326242024625,0.0,-3.9949326242024625
3826,40,47,-0.11123111330262714,0.34236214298047934,-3.221015996055508,-6.622217400129764,-3.401201404074256
3827,40,48,0.0,0.0,-3.4314079042641303,-7.314699120584546,-3.8832912163204156
3828,40,49,-0.11123111330262714,0.34236214298047934,4.212246250107422,0.0,-4.212246250107422
3829,40,50,-0.05561555665131357,0.24872033055765547,6.018961815142797,0.0,-6.018961815142797
3830,40,51,-0.11123111330262714,0.34236214298047934,-4.588324703733126,-7.314699120584546,-2.72637441685142
3831,40,52,-0.2749337001979201,0.5768521070366653,-4.2782846509478585,-8.00751340495427,-3.7292287540064115
3832,40,53,0.0,0.0,-1.2933312237828387,-7.719942310213005,-6.426611086430166
3833,40,54,-0.11123111330262714,0.3423621429804793,-1.257703509920474,-6.622217400129764,-5.36451389020929
3834,40,55,-0.38930889655919493,0.544321115450321,-4.282531685999677,-7.314699120584546,-3.0321674345848684
3835,40,56,-0.05561555665131357,0.2487203305576555,-0.7763133934516757,-6.622217400129764,-5.845904006678088
3836,40,57,-0.05561555665131357,0.2487203305576555,-2.9785327473458234,-6.622217400129764,-3.6436846527839406
3837,40,58,0.0,0.0,-1.6921612066125205,-8.230590363729986,-6.5384291571174655
3838,40,59,-0.05561555665131357,0.24872033055765547,-2.322262445777424,-8.00751340495427,-5.685250959176846
3839,40,60,-0.11123111330262714,0.3423621429804793,-3.177748582630314,-8.566986489162442,-5.389237906532128
3840,40,61,-0.05561555665131357,0.24872033055765547,-1.752507210199016,-7.719942310213005,-5.967435100013989
3841,40,62,-0.27807778325656785,0.4941571885252923,-4.853921186040282,-7.314699120584546,-2.4607779345442635
3842,40,63,-0.05561555665131357,0.24872033055765547,-2.2055643782498215,-7.314699120584546,-5.109134742334724
3843,40,64,0.863613169624684,0.5208570025792872,3.9566222302143403,1.2945337504215266,-2.6620884797928137
3844,40,65,0.0,0.0,-3.565567774993955,-7.719942310213005,-4.15437453521905
3845,40,66,-0.05561555665131357,0.2487203305576555,-3.4182049001446266,-7.314699120584546,-3.8964942204399193
3846,40,67,1.1123111330262712,2.278129578503827e-16,6.140877334200054,1.5176107091972415,-4.623266625002812
3847,40,68,0.0,0.0,-4.396339931103869,-6.622217400129764,-2.2258774690258956
3848,40,69,0.0,0.0,-5.066776964346488,-7.314699120584546,-2.2479221562380576
3849,40,70,-0.33369333990788136,0.5229668117651136,-3.240552731866978,-6.622217400129764,-3.381664668262786
3850,40,71,0.0,0.0,-1.120320697607439,-8.00751340495427,-6.8871927073468315
3851,40,72,-0.05561555665131357,0.2487203305576555,-1.2141352851583083,-7.314699120584546,-6.100563835426238
3852,40,73,-0.1668466699539407,0.40749245678960794,-2.3937743792463895,-7.314699120584546,-4.9209247413381565
3853,40,74,-0.35992907670421426,0.5746877950472472,-4.552309354318379,-7.314699120584546,-2.7623897662661667
3854,40,75,-0.22246222660525428,0.45648285730730587,-4.2029936454097125,-7.314699120584546,-3.111705475174834
3855,40,76,-0.1668466699539407,0.40749245678960794,-1.807502143868005,-7.719942310213005,-5.912440166345
3856,40,77,-0.22246222660525428,0.45648285730730587,-2.807068008744956,-7.719942310213005,-4.912874301468049
3857,40,78,0.0,0.0,-1.9381508775591723,-6.622217400129764,-4.684066522570592
3858,40,79,-0.1668466699539407,0.40749245678960794,4.796141399706648,0.0,-4.796141399706648
3859,40,80,0.9748442829273112,0.43159112319249826,8.90035011091895,2.902906714021749,-5.9974433968972
3860,40,81,-0.05561555665131357,0.24872033055765547,5.770872373747436,0.0,-5.770872373747436
3861,40,82,-0.05561555665131357,0.24872033055765547,-3.425564272370318,-6.622217400129764,-3.196653127759446
3862,40,83,-0.22246222660525428,0.45648285730730587,-4.464908579253683,-6.622217400129764,-2.1573088208760813
3863,40,84,0.6705307628744104,0.6342210209749156,4.988569526549112,2.210424993566967,-2.778144532982145
3864,40,85,-0.11123111330262714,0.3423621429804793,-3.1349599444266674,-6.622217400129764,-3.4872574557030966
3865,40,86,-0.1668466699539407,0.40749245678960794,0.9009183925707427,0.0,-0.9009183925707427
3866,40,87,-0.05561555665131357,0.2487203305576555,-4.040509655819241,-6.622217400129764,-2.581707744310523
3867,40,88,0.0,0.0,0.26199532633954875,0.0,-0.26199532633954875
3868,40,89,-0.05561555665131357,0.2487203305576555,0.4682119365072405,0.0,-0.4682119365072405
3869,40,90,-0.05561555665131357,0.2487203305576555,4.0980829339813525,0.0,-4.0980829339813525
3870,40,91,0.0,0.0,-1.4580375853639502,-6.622217400129764,-5.164179814765814
3871,40,92,0.0,0.0,-5.95505187016065,-7.719942310213005,-1.7648904400523544
3872,40,93,0.0,0.0,-4.969858982583991,-6.622217400129764,-1.6523584175457724
3873,40,94,-0.1668466699539407,0.4074924567896079,-4.6618919907424825,-6.622217400129764,-1.960325409387281
3874,40,95,-0.11123111330262714,0.34236214298047934,0.9988897541858901,0.0,-0.9988897541858901
3875,40,96,-0.05561555665131357,0.2487203305576555,3.087256413597474,0.0,-3.087256413597474
3876,40,97,0.0,0.0,3.285299022928798,0.0,-3.285299022928798
3877,40,98,1.001080019723644,0.3423621429804794,8.015774128286848,2.902906714021749,-5.112867414265099
3878,40,99,-0.1668466699539407,0.40749245678960794,-2.6114051408037557,-7.314699120584546,-4.70329397978079
3879,40,100,0.0,0.0,-4.6439807112429055,-6.622217400129764,-1.9782366888868588
3880,40,101,-0.05561555665131357,0.2487203305576555,-5.857485472985507,-6.622217400129764,-0.7647319271442571
3881,40,102,0.0,0.0,1.3414764929950036,0.0,-1.3414764929950036
3882,40,103,-0.05561555665131357,0.2487203305576555,-4.490403753330968,-6.622217400129764,-2.1318136467987965
3883,40,104,-0.05561555665131357,0.2487203305576555,1.205504782814666,0.0,-1.205504782814666
3884,40,105,0.0,0.0,-6.810087177774232,-7.719942310213005,-0.9098551324387728
3885,40,106,0.0,0.0,1.8602124166021277,0.0,-1.8602124166021277
3886,40,107,0.0,0.0,1.2664718073795256,0.0,-1.2664718073795256
3887,40,108,0.0,0.0,1.559773735123302,0.0,-1.559773735123302
3888,40,109,0.0,0.0,1.9091100910600436,0.0,-1.9091100910600436
3889,40,110,0.0,0.0,4.646680617560599,0.0,-4.646680617560599
3890,40,111,0.0,0.0,4.03689425945109,0.0,-4.03689425945109
3891,40,112,-0.05561555665131357,0.2487203305576555,-3.8301522293584975,-6.622217400129764,-2.7920651707712665
3892,40,113,0.0,0.0,1.5688588095585092,0.0,-1.5688588095585092
3893,40,114,-0.11123111330262714,0.34236214298047946,-4.583058898414457,-7.314699120584546,-2.731640222170089
3894,40,115,0.0,0.0,1.032428752073794,0.0,-1.032428752073794
3895,41,42,-0.05561555665131357,0.2487203305576555,-2.0821944032119064,-5.930399812740331,-3.848205409528424
3896,41,43,-0.05561555665131357,0.2487203305576555,3.194213310946191,0.0,-3.194213310946191
3897,41,44,0.0,0.0,2.631373383923884,0.0,-2.631373383923884
3898,41,45,1.1123111330262712,2.278129578503827e-16,4.809225161034865,2.497885196775928,-2.311339964258937
3899,41,46,-0.05561555665131357,0.2487203305576555,3.200131971014541,0.0,-3.200131971014541
3900,41,47,0.0,0.0,-1.9686687230549773,-5.930399812740331,-3.9617310896853533
3901,41,48,1.1123111330262712,2.278129578503827e-16,6.132610229898372,2.902906714021749,-3.229703515876623
3902,41,49,-0.05561555665131357,0.24872033055765547,3.8277111831316626,0.0,-3.8277111831316626
3903,41,50,0.0,0.0,5.6201799238093555,0.0,-5.6201799238093555
3904,41,51,-0.05561555665131357,0.2487203305576555,-4.263120858492734,-6.622217400129764,-2.3590965416370304
3905,41,52,-0.05561555665131357,0.2487203305576555,-2.976749617040902,-7.314699120584546,-4.337949503543644
3906,41,53,0.0,0.0,-1.475593519610272,-7.027238917375584,-5.551645397765312
3907,41,54,0.0,0.0,-0.4886345905994123,-5.930399812740331,-5.441765222140918
3908,41,55,-0.05561555665131357,0.2487203305576555,-1.6768874545107648,-6.622217400129764,-4.945329945618999
3909,41,56,-0.11123111330262714,0.34236214298047946,-1.1303248562289037,-5.930399812740331,-4.800074956511427
3910,41,57,-0.05561555665131357,0.2487203305576555,-3.10172901767754,-5.930399812740331,-2.8286707950627905
3911,41,58,-0.05561555665131357,0.2487203305576555,-2.316011755079691,-7.537709526720757,-5.221697771641066
3912,41,59,-0.05561555665131357,0.2487203305576555,-2.5247491340798094,-7.314699120584546,-4.789949986504737
