edge_idx,roi_i,roi_j,fip3_score
464,4,15,0.0
465,4,16,0.0
466,4,17,0.0
467,4,18,0.0
468,4,19,0.42081932813098244
469,4,20,0.0
470,4,21,0.15470476591266588
471,4,22,0.0
472,4,23,0.0
473,4,24,0.0
474,4,25,0.0
475,4,26,0.15395231553941377
476,4,27,0.12228436757380413
477,4,28,0.0
478,4,29,0.0
479,4,30,0.0
480,4,31,0.0
481,4,32,0.2371646465884262
482,4,33,0.0
483,4,34,0.0
484,4,35,0.0
485,4,36,0.2754870628179464
486,4,37,0.0
487,4,38,0.33127836708424724
488,4,39,0.0
489,4,40,0.0
490,4,41,0.0
491,4,42,0.0
492,4,43,0.06401208707734059
493,4,44,0.2541271560192847
494,4,45,0.7655462965905759
495,4,46,0.3306192789202188
496,4,47,0.0
497,4,48,0.0
498,4,49,0.2810007473919473
499,4,50,0.4036056030335423
500,4,51,0.0
501,4,52,0.0
502,4,53,0.0
503,4,54,0.0
504,4,55,0.0
505,4,56,0.0
506,4,57,0.7322850550581173
507,4,58,0.7591555333189537
508,4,59,0.0
509,4,60,0.0
510,4,61,0.0
511,4,62,0.0
512,4,63,0.0
513,4,64,0.0
514,4,65,0.0
515,4,66,0.0
516,4,67,0.0
517,4,68,0.0
518,4,69,0.0
519,4,70,0.0
520,4,71,0.0
521,4,72,0.0
522,4,73,0.0
523,4,74,0.0
524,4,75,0.0
525,4,76,0.0
526,4,77,0.0
527,4,78,0.0
528,4,79,0.42362268541272263
529,4,80,0.0
530,4,81,0.2713358743612526
531,4,82,0.0
532,4,83,0.0
533,4,84,0.0
534,4,85,0.0
535,4,86,0.15595805629210024
536,4,87,0.0
537,4,88,0.019048364035701405
538,4,89,0.09936383109968565
539,4,90,0.32068610272994746
540,4,91,0.0
541,4,92,0.0
542,4,93,0.0
543,4,94,0.0
544,4,95,0.038449230971767376
545,4,96,0.007096475181626545
546,4,97,0.09884522723183309
547,4,98,0.0
548,4,99,0.7386134855802673
549,4,100,0.0
550,4,101,0.0
551,4,102,0.07823682985242612
552,4,103,0.0
553,4,104,0.18401665912708925
554,4,105,0.0
555,4,106,0.01931915527921392
556,4,107,0.12074886744947273
557,4,108,0.01958990901482603
558,4,109,0.09754804001118433
559,4,110,0.17414278225425203
560,4,111,0.281229956682293
561,4,112,0.0
562,4,113,0.0
563,4,114,0.0
564,4,115,0.0198606252386595
565,5,6,0.0
566,5,7,0.0
567,5,8,0.0
568,5,9,0.0
569,5,10,0.0
570,5,11,0.0
571,5,12,0.0
572,5,13,0.0
573,5,14,0.178957212668658
574,5,15,0.0
575,5,16,0.0
576,5,17,0.0
577,5,18,0.0
578,5,19,0.43296762069437233
579,5,20,0.0
580,5,21,0.21445641476819935
581,5,22,0.0
582,5,23,0.815566917434111
583,5,24,0.0
584,5,25,0.7371756744685626
585,5,26,0.055264353500926136
586,5,27,0.03871731166949628
587,5,28,0.0
588,5,29,0.0
589,5,30,0.0
590,5,31,0.0
591,5,32,0.28785862520190614
592,5,33,0.0
593,5,34,0.7329767099816819
594,5,35,0.0
595,5,36,0.41579086723481873
596,5,37,0.0
597,5,38,0.2235841402050965
598,5,39,0.0
599,5,40,0.0
600,5,41,0.0
601,5,42,0.0
602,5,43,0.1736474046505949
603,5,44,0.20962866156870472
604,5,45,0.0
605,5,46,0.0
606,5,47,0.0
607,5,48,0.0
608,5,49,0.2574004124358342
609,5,50,0.41235510611758697
610,5,51,0.0
611,5,52,0.0
612,5,53,0.7339240512658303
613,5,54,0.0
614,5,55,0.0
615,5,56,0.0
616,5,57,0.0
617,5,58,0.0
618,5,59,0.0
619,5,60,0.7658514851246648
620,5,61,0.0
621,5,62,0.0
622,5,63,0.0
623,5,64,0.0
624,5,65,0.7649460541375755
625,5,66,0.0
626,5,67,0.0
627,5,68,0.0
628,5,69,0.0
629,5,70,0.0
630,5,71,0.0
631,5,72,0.771712808114641
632,5,73,0.0
633,5,74,0.0
634,5,75,0.0
635,5,76,0.0
636,5,77,0.0
637,5,78,0.0
638,5,79,0.3816784011632075
639,5,80,0.0
640,5,81,0.42522053931871423
641,5,82,0.0
642,5,83,0.0
643,5,84,0.0
644,5,85,0.0
645,5,86,0.1494301213682257
646,5,87,0.0
647,5,88,0.06955719299029085
648,5,89,0.09365067540334067
649,5,90,0.33566228033095863
650,5,91,0.0
651,5,92,0.0
652,5,93,0.0
653,5,94,0.0
654,5,95,0.17488554841583034
655,5,96,0.0766618194615897
656,5,97,0.24142540838965615
657,5,98,0.0
658,5,99,0.0
659,5,100,0.0
660,5,101,0.0
661,5,102,0.02121364354533426
662,5,103,0.0
663,5,104,0.0
664,5,105,0.0
665,5,106,0.15896190290050619
666,5,107,0.07061149198151816
667,5,108,0.10117772442473694
668,5,109,0.1881935892026336
669,5,110,0.25365888136188597
670,5,111,0.412557576672032
671,5,112,0.0
672,5,113,0.10531663223304272
673,5,114,0.0
674,5,115,0.021484134616993104
675,6,7,0.0
676,6,8,0.0
677,6,9,0.0
678,6,10,0.0
679,6,11,0.0
680,6,12,0.0
681,6,13,0.0
682,6,14,0.3267438795096201
683,6,15,0.0
684,6,16,0.6722533456025984
685,6,17,0.0
686,6,18,0.0
687,6,19,0.633996608238139
688,6,20,0.0
689,6,21,0.2928634875180376
690,6,22,0.0
691,6,23,0.0
692,6,24,0.0
693,6,25,0.0
694,6,26,0.13578669610313943
695,6,27,0.17612269106066417
696,6,28,0.0
697,6,29,0.0
698,6,30,0.0
699,6,31,0.7688928744468128
700,6,32,0.49181327325412266
701,6,33,0.0
702,6,34,0.0
703,6,35,0.0
