edge_idx,roi_i,roi_j,fip1_score
440,3,102,0.09164942709274321
441,3,103,0.0
442,3,104,0.028870250436347045
443,3,105,0.5987750272225215
444,3,106,0.067000769880579
445,3,107,0.09682428330303183
446,3,108,0.04194357138865514
447,3,109,0.04875259271798227
448,3,110,0.25329559345096936
449,3,111,0.27018196634770064
450,3,112,0.0
451,3,113,0.041262669255722424
452,3,114,0.0
453,3,115,0.039219962856924286
454,4,5,0.0
455,4,6,0.0
456,4,7,0.0
457,4,8,0.0
458,4,9,0.0
459,4,10,0.0
460,4,11,0.0
461,4,12,0.0
462,4,13,0.0
463,4,14,0.06986055883889639
464,4,15,0.0
465,4,16,0.0
466,4,17,0.0
467,4,18,0.0
468,4,19,0.24049463335183435
469,4,20,0.0
470,4,21,0.08034645168606017
471,4,22,0.0
472,4,23,0.0
473,4,24,0.0
474,4,25,0.0
475,4,26,0.07993791040630054
476,4,27,0.06291535708298271
477,4,28,0.0
478,4,29,0.0
479,4,30,0.0
480,4,31,0.0
481,4,32,0.1263754358723116
482,4,33,0.0
483,4,34,0.0
484,4,35,0.0
485,4,36,0.1487090258325046
486,4,37,0.0
487,4,38,0.18248177162596718
488,4,39,0.0
489,4,40,0.0
490,4,41,0.0
491,4,42,0.0
492,4,43,0.03241094152759715
493,4,44,0.13618042658654267
494,4,45,0.7180145544865483
495,4,46,0.18207323034620754
496,4,47,0.0
497,4,48,0.0
498,4,49,0.15197735607058163
499,4,50,0.22891929709197822
500,4,51,0.0
501,4,52,0.0
502,4,53,0.0
503,4,54,0.0
504,4,55,0.0
505,4,56,0.0
506,4,57,0.7830813995441482
507,4,58,0.7363169867991795
508,4,59,0.0
509,4,60,0.0
510,4,61,0.0
511,4,62,0.0
512,4,63,0.0
513,4,64,0.0
514,4,65,0.0
515,4,66,0.0
516,4,67,0.0
517,4,68,0.0
518,4,69,0.0
519,4,70,0.0
520,4,71,0.0
521,4,72,0.0
522,4,73,0.0
523,4,74,0.0
524,4,75,0.0
525,4,76,0.0
526,4,77,0.0
527,4,78,0.0
528,4,79,0.24240115932404593
529,4,80,0.0
530,4,81,0.1462577781539468
531,4,82,0.0
532,4,83,0.0
533,4,84,0.0
534,4,85,0.0
535,4,86,0.08102735381899288
536,4,87,0.0
537,4,88,0.009532629861057986
538,4,89,0.05079529911678042
539,4,90,0.17594511114981312
540,4,91,0.0
541,4,92,0.0
542,4,93,0.0
543,4,94,0.0
544,4,95,0.01933762057528906
545,4,96,0.0035406910912501094
546,4,97,0.05052293826360733
547,4,98,0.0
548,4,99,0.7742567993910402
549,4,100,0.0
550,4,101,0.0
551,4,102,0.03976468456327046
552,4,103,0.0
553,4,104,0.0964157420232722
554,4,105,0.0
555,4,106,0.00966881028764453
556,4,107,0.062098274523463455
557,4,108,0.009804990714231071
558,4,109,0.049842036130674616
559,4,110,0.0909685249598105
560,4,111,0.15211353649716816
561,4,112,0.0
562,4,113,0.0
563,4,114,0.0
564,4,115,0.009941171140817615
565,5,6,0.0
566,5,7,0.0
567,5,8,0.0
568,5,9,0.0
569,5,10,0.0
570,5,11,0.0
571,5,12,0.0
572,5,13,0.0
573,5,14,0.17826017840178435
574,5,15,0.0
575,5,16,0.0
576,5,17,0.0
577,5,18,0.0
578,5,19,0.24880163937361344
579,5,20,0.0
580,5,21,0.11343829534659004
581,5,22,0.0
582,5,23,0.8123903028685241
583,5,24,0.0
584,5,25,0.7343043920086504
585,5,26,0.027916987450241248
586,5,27,0.019473801001875603
587,5,28,0.0
588,5,29,0.0
589,5,30,0.0
590,5,31,0.0
591,5,32,0.15606276886817788
592,5,33,0.0
593,5,34,0.7821579768905613
594,5,35,0.0
595,5,36,0.23709012268717078
596,5,37,0.0
597,5,38,0.11861315155687865
598,5,39,0.0
599,5,40,0.0
600,5,41,0.0
601,5,42,0.0
602,5,43,0.09069616410663742
603,5,44,0.11071468681485919
604,5,45,0.0
605,5,46,0.0
606,5,47,0.0
607,5,48,0.0
608,5,49,0.13808695255875425
609,5,50,0.23477505543519955
610,5,51,0.0
611,5,52,0.0
612,5,53,0.7808778266254979
613,5,54,0.0
614,5,55,0.0
615,5,56,0.0
616,5,57,0.0
617,5,58,0.0
618,5,59,0.0
619,5,60,0.7169546801306248
620,5,61,0.0
621,5,62,0.0
622,5,63,0.0
623,5,64,0.0
624,5,65,0.7200323035163305
625,5,66,0.0
626,5,67,0.0
627,5,68,0.0
628,5,69,0.0
629,5,70,0.0
630,5,71,0.0
631,5,72,0.6459439121109974
632,5,73,0.0
633,5,74,0.0
634,5,75,0.0
635,5,76,0.0
636,5,77,0.0
637,5,78,0.0
638,5,79,0.2144841718738047
639,5,80,0.0
640,5,81,0.24349060273673828
641,5,82,0.0
642,5,83,0.0
643,5,84,0.0
644,5,85,0.0
645,5,86,0.07748666272774278
646,5,87,0.0
647,5,88,0.03527073048591455
648,5,89,0.04779932973187647
649,5,90,0.18520538015769802
650,5,91,0.0
651,5,92,0.0
652,5,93,0.0
653,5,94,0.0
654,5,95,0.09137706623957013
655,5,96,0.038947602003751206
656,5,97,0.12882668355086935
657,5,98,0.0
658,5,99,0.0
659,5,100,0.0
660,5,101,0.0
661,5,102,0.010622073273750329
662,5,103,0.0
663,5,104,0.0
664,5,105,0.0
665,5,106,0.08266151893803139
666,5,107,0.03581545219226072
667,5,108,0.05174856210288621
