set,study_id,n_peaks
background,17331476,64
background,17332416,33
background,17336346,116
background,17339967,63
background,17350289,20
background,17350862,5
background,17358019,53
background,17360900,9
background,17363277,23
background,17363278,55
background,17372275,200
background,17372276,45
background,17376704,6
background,17376855,32
background,17379262,25
background,17383616,10
background,17389911,24
background,17392459,12
background,17392464,24
background,17397807,11
background,17397882,4
background,17398078,31
background,17398080,76
background,17400195,163
background,17400477,22
background,17400480,22
background,17403529,196
background,17404390,9
background,17408704,26
background,17415777,21
background,17418591,31
background,17433880,47
background,17434917,14
background,17442593,20
background,17442821,45
background,17448450,45
background,17449068,32
background,17449320,12
background,17451759,85
background,17462914,50
background,17466401,54
background,17468013,31
background,17481919,75
background,17483530,114
background,17494060,93
background,17498973,7
background,17499164,50
background,17499166,70
background,17499168,48
background,17499318,29
background,17499485,39
background,17505817,13
background,17507555,2
background,17507573,21
background,17517680,47
background,17521924,19
background,17524667,197
background,17525980,21
background,17531309,13
background,17532647,36
background,17538952,24
background,17543896,40
background,17544015,39
background,17548799,53
background,17548801,102
background,17553991,20
background,17554002,20
background,17555989,148
background,17560689,17
background,17560794,17
background,17561345,7
background,17566766,62
background,17566768,53
background,17570347,43
background,17574445,27
background,17575278,181
background,17579718,15
background,17582746,34
background,17585887,30
background,17588725,16
background,17588776,32
background,17596454,13
background,17596966,16
background,17598164,35
background,17601497,22
background,17601709,62
background,17602140,12
background,17603027,46
background,17604009,7
background,17607327,11
background,17610823,10
background,17610824,15
background,17615131,19
background,17617382,13
background,17617658,14
background,17618089,15
background,17618423,12
background,17618656,67
background,17621607,34
background,17627851,152
background,17629502,608
background,17631361,158
background,17634374,33
background,17636559,59
background,17640530,8
background,17644001,169
background,17644222,5
background,17652461,68
background,17652462,126
background,17659885,40
background,17675111,15
background,17681983,61
background,17689504,19
background,17689571,337
background,17689983,4
background,17692981,16
background,17707351,9
background,17707869,29
background,17709121,14
background,17709202,15
background,17716696,51
background,17717689,37
background,17719567,36
background,17720687,28
background,17725995,42
background,17765211,24
background,17765877,224
background,17765933,8
background,17803973,8
background,17804259,33
background,17828390,10
background,17849020,68
background,17855057,19
background,17874333,37
background,17880400,61
background,17880929,3
background,17888408,1
background,17888409,34
background,17888411,90
background,17888686,106
background,17888688,9
background,17889565,28
background,17894398,44
background,17894934,5
background,17897405,679
background,17897686,12
background,17898151,79
background,17905481,33
background,17905600,7
background,17906328,97
background,17908169,5
background,17909772,8
background,17913474,49
background,17913513,63
background,17913907,27
background,17915262,6
background,17915264,8
background,17916334,10
background,17916338,17
background,17919932,412
background,17919934,4
background,17921456,62
background,17928317,32
background,17936643,38
background,17940037,24
background,17942721,42
background,17942734,13
background,17942736,17
background,17942738,57
background,17947346,80
background,17947348,16
background,17948885,31
background,17948887,26
background,17949905,17
background,17950625,26
background,17950764,9
background,17951077,201
background,17962925,13
background,17963797,49
background,17963998,40
background,17964813,29
background,17965128,19
background,17971871,6
background,17979123,8
background,17981055,12
background,17990304,19
background,17996463,94
background,17996464,25
background,17996465,86
background,17996813,138
background,17996854,23
background,17997284,4
background,18003884,58
