target,seed,fold,model_id,prior_type,pearson,rmse,mae,n_train,n_val,n_test,selected_lambda_fc,selected_lambda_sc,selected_lambda_l,selected_gamma,selected_lifting
fluid_intelligence,2,2,A2_fc_laplacian,matched,0.38004627085756165,4.417656967927982,3.6021689384968467,280,50,82,0.1,0.1,1.0,0.0,prod
fluid_intelligence,2,2,A2_fc_laplacian,random,0.3709158804534728,4.448630930547794,3.598651367025226,280,50,82,0.1,0.1,1.0,0.0,prod
fluid_intelligence,2,2,A3_msancr,matched,0.3800659141971946,4.419510601373586,3.5881002743771373,280,50,82,0.1,0.1,1.0,1.0,prod
fluid_intelligence,2,2,A3_msancr,random,0.3749994946338979,4.4434906243078505,3.5847204066502414,280,50,82,0.1,0.1,1.0,1.0,prod
fluid_intelligence,2,2,A4_modality_ridge,matched,0.37311793894540873,4.446246923413303,3.594486124250217,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,2,2,A4_modality_ridge,random,0.37311793894540873,4.446246923413303,3.594486124250217,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,2,3,A0_ridge,matched,0.46634775587964816,4.511025751640092,3.6460109331105546,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,3,A0_ridge,random,0.46634775587964816,4.511025751640092,3.6460109331105546,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,3,A1_aniso_ridge,matched,0.453669344467346,4.496397166325543,3.629803295991681,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,3,A1_aniso_ridge,random,0.4515159728713375,4.515873982440344,3.658650151908631,280,50,82,10.0,0.1,0.0,1.0,prod
fluid_intelligence,2,3,A2_fc_laplacian,matched,0.43643002494933253,4.545878736716905,3.6502603055313316,280,50,82,10.0,0.1,1.0,0.0,prod
fluid_intelligence,2,3,A2_fc_laplacian,random,0.43642308753648784,4.545864968087812,3.6503459644484426,280,50,82,10.0,0.1,1.0,0.0,prod
fluid_intelligence,2,3,A3_msancr,matched,0.4466871375030402,4.523170597555192,3.641685054699761,280,50,82,10.0,0.1,1.0,1.0,prod
